time,T_secondary,Text_avg,htc_equiv_cond,total_condenser_power
0,900,950,0,0
0.1,900,950,2.4925543152834,2744.2580732959
0.22,900,950,9.2557805154101,2687.6501369893
0.364,900,950,24.97409787691,2639.3799629901
0.4792,900,950,42.24090154761,2607.1175706135
0.57136,900,950,57.669602343828,2583.619441359
0.66352,900,950,73.557961250944,2561.7157930476
0.774112,900,950,92.531346712679,2537.400331528
0.9068224,900,950,114.4969136991,2510.8865752042
1.0395328,900,950,135.00907605417,2486.9807591476
1.1722432,900,950,153.86781376127,2465.3570206126
1.33149568,900,950,174.63804434715,2442.0409473454
1.49074816,900,950,193.48845192603,2421.2355891812
1.65000064,900,950,210.47912359958,2402.5914991798
1.841103616,900,950,228.78585006555,2382.6500138583
2.032206592,900,950,244.88003237569,2364.9591008193
2.2615301632,900,950,261.67355304409,2346.2099935692
2.53671844864,900,950,278.74039994604,2326.6666373418
2.81190673408,900,950,292.73387711552,2309.7590989765
3.142132676608,900,950,306.52481555412,2292.2953536321
3.5384038076416,900,950,319.86243876764,2274.6466990736
3.9346749386752,900,950,330.28306364082,2259.9114832902
4.4102002959155,900,950,340.21591685026,2245.3183135579
4.9808307246039,900,950,349.4726957012,2231.3392757763
5.66558723903,900,950,357.73660608774,2218.4682249302
6.4872950563412,900,950,364.76104944989,2207.1606141027
7.4733444371148,900,950,370.41733477767,2197.7772062813
8.656603694043,900,950,374.67969533223,2190.5106085038
10.076514802357,900,950,377.6263847642,2185.3358970476
11.780408132334,900,950,379.44573825013,2182.0119876163
13.825080128306,900,950,380.41156679779,2180.1390103138
16.278686523472,900,950,380.82133190037,2179.2552337344
19.223014197672,900,950,380.93409514822,2178.9400638098
22.756207406711,900,950,380.92919573985,2178.8841997125
26.996039257559,900,950,380.90119884469,2178.9080451137
32.083837478576,900,950,380.882878493,2178.9354734872
38.189195343796,900,950,380.87621275765,2178.9491050956
45.515624782061,900,950,380.87518455663,2178.9529618881
