time,ch_avg,ch_max,ch_min,eigenvalue,fuel_temp_avg,fuel_temp_max,fuel_temp_min,fuel_volume,integrated_power,mod_temp_avg,mod_temp_max,mod_temp_min,power_scaling
0,0,0,0,0,0,0,0,0,166666,0,0,0,1.2019617934511e+31
1,1.8,1.8,1.8,1.2622697730573,1000,1000,1000,0.072382294738709,166666,1000,1000,1000,2.380071177435e+14
2,1.8,1.8,1.8,1.2622981827398,1000,1000,1000,0.072382294738709,166666,1000,1000,1000,2.3800890217432e+14
3,1.8,1.8,1.8,1.2622981930453,1000,1000,1000,0.072382294738709,166666,1000,1000,1000,2.3800890294717e+14
