time,ch_avg,ch_max,ch_min,eigenvalue,fuel_temp_avg,fuel_temp_max,fuel_temp_min,fuel_volume,integrated_power,mod_temp_avg,mod_temp_max,mod_temp_min,power_scaling
0,0,0,0,0,0,0,0,0,166666,0,0,0,1.2044351938562e+31
1,1.8,1.8,1.8,1.2636135256386,1000,1000,1000,0.072382294738709,166666,1000,1000,1000,2.3787554059973e+14
2,1.7999135032769,1.8540697511211,1.7812262251969,1.2642650321694,952.97961261889,977.75643256812,912.25121677698,0.072382294738709,166666,946.98627717205,972.98687952862,910.77000720496,2.3745918078586e+14
3,1.7999039266182,1.853448940741,1.7820592588333,1.2642802615325,952.95693386283,976.90394063806,912.49616071293,0.072382294738709,166666,946.96828342953,972.19074741165,910.95171566792,2.3746727998807e+14
4,1.7999047270819,1.8534664857668,1.7820230295071,1.2642797585033,952.9575405668,976.93636092275,912.48961467337,0.072382294738709,166666,946.96883210768,972.22119026034,910.94697538157,2.3746692872831e+14
