time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_power,dt,dt_max_pp,init_prompt_power,max_T_solid,power_peak,power_scaling,prompt_power,total_power
0,0,0,0,0,0,0,1.1984882199606e-10,16065000,0,0,233935000,0,0,1.9519173914591e+18,233935000,250000000
0.05,652.74997625551,897.92450632291,1124.6640845971,884.93717526846,1121.4570487625,669.78089625218,1.1984882199606e-10,16065021.248066,0.05,0.5,233935000,1113.5760767519,1.9905876370983,1.9519173914591e+18,233991314.705,250056335.95307
0.15,652.60504377158,897.91798676932,1124.6648186685,884.92568455845,1121.4562438448,669.77694413813,1.1984882199606e-10,16065248.322939,0.1,0.5,233935000,1113.5686959711,1.9912487709772,1.9519173914591e+18,234082092.98126,250147341.30419
0.35,652.48404102288,897.89346920889,1124.6493563931,884.89322600799,1121.4417340061,669.7672742281,1.1984882199606e-10,16066261.099054,0.2,0.5,233935000,1113.5501403731,1.9923984580801,1.9519173914591e+18,234228524.80871,250294785.90777
0.75,652.47410870308,897.84971688059,1124.6162458322,884.83656192697,1121.4116281916,669.75068007893,1.1984882199606e-10,16069769.812906,0.4,0.5,233935000,1113.5156074549,1.994363825481,1.9519173914591e+18,234472295.90312,250542065.71603
1.25,652.54964880701,897.81864561927,1124.5853106527,884.79305555651,1121.3829880147,669.7374296955,1.1984882199606e-10,16074540.096383,0.5,0.5,233935000,1113.4824006645,1.9962113818067,1.9519173914591e+18,234702321.38264,250776861.47902
1.75,652.65526994334,897.811837355,1124.5657045434,884.77825370728,1121.3642076195,669.732174212,1.1984882199606e-10,16078221.706617,0.5,0.5,233935000,1113.4601621583,1.9973293170263,1.9519173914591e+18,234844945.06249,250923166.76911
2.25,652.78001741714,897.82760418334,1124.5566559676,884.7913534089,1121.3548571984,669.73493178172,1.1984882199606e-10,16081131.180558,0.5,0.5,233935000,1113.4490265366,1.9976358488584,1.9519173914591e+18,234889559.44196,250970690.62252
2.75,652.92176678979,897.86532261386,1124.5578608407,884.83189490272,1121.3547634124,669.74564035708,1.1984882199606e-10,16082985.40715,0.5,0.5,233935000,1113.4489739559,1.9970544637842,1.9519173914591e+18,234826845.3,250909830.70715
3.25,653.08057817812,897.92343843863,1124.5686457962,884.89891459133,1121.3635040886,669.76420772907,1.1984882199606e-10,16082913.739678,0.5,0.5,233935000,1113.4599257083,1.9955279641997,1.9519173914591e+18,234650240.38266,250733154.12233
3.75,653.25621072175,898.00079610568,1124.5884161052,884.9916573306,1121.3806940448,669.79053712966,1.1984882199606e-10,16080635.417993,0.5,0.5,233935000,1113.4817799002,1.993011836449,1.9519173914591e+18,234354290.68298,250434926.10097
4.25,653.44944176329,898.09678847135,1124.6168463964,885.10955648697,1121.4061031306,669.82453133709,1.1984882199606e-10,16075942.537391,0.5,0.5,233935000,1113.5144200261,1.9894699953153,1.9519173914591e+18,233934597.26244,250010539.79983
4.75,653.66190896838,898.21045229999,1124.6534511662,885.25193475857,1121.4468602548,669.86608628732,1.1984882199606e-10,16068587.074773,0.5,0.5,233935000,1113.5577089856,1.9848748063661,1.9519173914591e+18,233387789.82776,249456376.90254
5.25,653.89402653963,898.34102702966,1124.6978259048,885.41819442004,1121.4993308477,669.9151008304,1.1984882199606e-10,16058351.259016,0.5,0.5,233935000,1113.6114952248,1.9792044709281,1.9519173914591e+18,232711219.13844,248769570.39746
5.75,654.14596624622,898.48784115793,1124.7495964124,885.6077812411,1121.5608821707,669.97147420404,1.1984882199606e-10,16045045.784112,0.5,0.5,233935000,1113.6756131004,1.972443238341,1.9519173914591e+18,231902973.21919,247948019.0033
6.25,654.4198264399,898.65034169685,1124.8084318561,885.82020381693,1121.6312028115,670.03510391803,1.1984882199606e-10,16028504.921842,0.5,0.5,233935000,1113.7498840208,1.9645833163006,1.9519173914591e+18,230962082.77497,246990587.69681
