time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_power,dt,dt_max_pp,init_prompt_power,max_T_solid,power_peak,power_scaling,prompt_power,total_power
0,0,0,0,0,0,0,1.1984882199606e-10,16065000,0,0,233935000,0,0,1.9519173914591e+18,233935000,250000000
0.05,652.81861880584,897.92832317552,1124.6666123498,884.94107255514,1121.4591369227,669.78184920522,1.1984882199606e-10,16065019.627678,0.05,0.5,233935000,1113.5779687813,1.9905679362007,1.9519173914591e+18,233989096.996,250054116.62368
0.15,652.8185855675,897.93679688028,1124.6772913976,884.94539227146,1121.4665474312,669.78187361035,1.1984882199606e-10,16065168.101079,0.1,0.5,233935000,1113.5780915274,1.9910713261662,1.9519173914591e+18,234061294.79007,250126462.89115
0.35,652.81861913997,897.94502677087,1124.6835557202,884.94967877272,1121.4708466777,669.7819427183,1.1984882199606e-10,16065593.118912,0.2,0.5,233935000,1113.5783802881,1.9915846834439,1.9519173914591e+18,234130898.77222,250196491.89114
0.75,652.81885480007,897.95194613601,1124.6882198356,884.95351873721,1121.4746094763,669.78211750987,1.1984882199606e-10,16066510.665028,0.4,0.5,233935000,1113.5790181637,1.9920000240706,1.9519173914591e+18,234184832.16854,250251342.83356
1.25,652.81885518831,897.9519512126,1124.688164877,884.95350377913,1121.4745641247,669.78211798909,1.1984882199606e-10,16066808.459186,0.5,0.5,233935000,1113.5790179547,1.9920020732861,1.9519173914591e+18,234184832.18683,250251640.64601
1.75,652.81943361372,897.95838837987,1124.6931413742,884.9576968799,1121.4788505316,669.78259048662,1.1984882199606e-10,16068170.570195,0.5,0.5,233935000,1113.5806811777,1.9923125775205,1.9519173914591e+18,234224431.79582,250292602.36602
2.25,652.81943412032,897.95840081972,1124.6930871098,884.95768621216,1121.4788064539,669.78259110806,1.1984882199606e-10,16068434.487354,0.5,0.5,233935000,1113.5806806543,1.9923144310427,1.9519173914591e+18,234224431.81288,250292866.30024
2.75,652.82004849232,897.9635857722,1124.6972258396,884.96136180281,1121.4824789398,669.78312020419,1.1984882199606e-10,16069427.828437,0.5,0.5,233935000,1113.5824511612,1.9925223996436,1.9519173914591e+18,234250940.44426,250320368.27269
3.25,652.8200488735,897.96359521356,1124.6971816824,884.96135346512,1121.482443148,669.78312067795,1.1984882199606e-10,16069629.692366,0.5,0.5,233935000,1113.5824506642,1.9925238334094,1.9519173914591e+18,234250940.4574,250320570.14977
3.75,652.82070737771,897.96808987581,1124.7008648056,884.96475827206,1121.4857861286,669.783688145,1.1984882199606e-10,16070415.087714,0.5,0.5,233935000,1113.5842983714,1.9926742555215,1.9519173914591e+18,234270125.86301,250340540.95072
4.25,652.82070781238,897.96811525708,1124.7008369993,884.96475992286,1121.4857630814,669.7836886672,1.1984882199606e-10,16070580.838512,0.5,0.5,233935000,1113.5842981343,1.9926754393563,1.9519173914591e+18,234270125.87438,250340706.71289
4.75,652.82139924507,897.97217376175,1124.7042423443,884.96800125743,1121.4889078677,669.78428408318,1.1984882199606e-10,16071236.941029,0.5,0.5,233935000,1113.5862063704,1.9927861660744,1.9519173914591e+18,234284280.76712,250355517.70815
5.25,652.82139950602,897.97217975435,1124.7042031014,884.96799468252,1121.4888762481,669.7842844194,1.1984882199606e-10,16071378.730453,0.5,0.5,233935000,1113.5862058956,1.9927871803805,1.9519173914591e+18,234284280.77662,250355659.50707
