time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_power,dt,dt_max_pp,init_prompt_power,max_T_solid,power_peak,power_scaling,prompt_power,total_power
9.0390625,656.69738501543,900.63730348807,1125.8175614402,888.51963725035,1122.8094043326,670.8582846806,1.1984882199606e-10,15720916.133292,0.5,0.5,233935000,1114.9818555919,1.8544122898747,1.9519173914591e+18,217670704.44676,233391620.58006
9.5390625,657.06850109951,900.9264167437,1125.9385388438,888.92252046571,1122.9572782116,670.98351615212,1.1984882199606e-10,15667580.238322,0.5,0.5,233935000,1115.1465668887,1.836823634507,1.9519173914591e+18,215556599.51917,231224179.7575
10.0390625,657.45875534183,901.22815799581,1126.0637980555,889.34441032564,1123.1109694147,671.11495496902,1.1984882199606e-10,15610396.660774,0.5,0.5,233935000,1115.3185952261,1.8182661596523,1.9519173914591e+18,213325987.77168,228936384.43245
10.5390625,657.87060307097,901.54240845015,1126.1931183745,889.78503034199,1123.2702184787,671.252500475,1.1984882199606e-10,15549375.845171,0.5,0.5,233935000,1115.4976027016,1.7987686240032,1.9519173914591e+18,210982391.55956,226531767.40473
11.0390625,658.30600303992,901.86921698669,1126.3263427857,890.24419286622,1123.4348141498,671.3960603564,1.1984882199606e-10,15484554.662686,0.5,0.5,233935000,1115.6832450233,1.778361392375,1.9519173914591e+18,208529515.32084,224014069.98352
11.5390625,658.76832865034,902.20856379225,1126.4632874676,890.72169105402,1123.60452685,671.54554349412,1.1984882199606e-10,15415974.297958,0.5,0.5,233935000,1115.8751670777,1.7570770728842,1.9519173914591e+18,205971327.87546,221387302.17342
12.0390625,659.26036246657,902.56053205997,1126.6038117664,891.21736454599,1123.7791595095,671.70085879682,1.1984882199606e-10,15343725.492687,0.5,0.5,233935000,1116.0729968279,1.7349542485837,1.9519173914591e+18,203312483.99684,218656209.48953
12.5390625,659.78166651406,902.92516504834,1126.747783339,891.73100913085,1123.9585197839,671.86190900399,1.1984882199606e-10,15267830.984196,0.5,0.5,233935000,1116.2763343824,1.7120300429351,1.9519173914591e+18,200557546.22567,215825377.20987
13.0390625,660.28031502051,895.58035419348,1124.506536378,888.24919441693,1122.2934058524,671.97112624416,1.1984882199606e-10,14706224.277278,0.5,0.5,233935000,1116.4458180947,1.1146732324818,1.9519173914591e+18,129879311.1776,144585535.45488
13.5390625,660.13221435678,886.05857076828,1120.9039479865,883.42911073952,1119.8531465853,672.01963152412,1.1984882199606e-10,14161762.880006,0.5,0.5,233935000,1116.5608741818,0.43685636911947,1.9519173914591e+18,44754414.654795,58916177.5348
13.7890625,660.09324212588,883.96352381522,1119.8216572201,882.46391888864,1119.0522930726,672.03539122657,1.1984882199606e-10,13774369.156172,0.25,0.5,233935000,1116.6043069715,0.27664250838577,1.9519173914591e+18,25360674.271455,39135043.427627
14.1640625,660.10206104049,882.47388524751,1118.6931299749,881.74014227389,1118.1969041174,672.05156622393,1.1984882199606e-10,13467250.118756,0.375,0.5,233935000,1116.6508954039,0.1601193394254,1.9519173914591e+18,12383869.192005,25851119.310761
14.6640625,660.16206508357,881.78044945221,1117.7878655511,881.41916729325,1117.5135110278,672.06790402447,1.1984882199606e-10,13085171.991918,0.5,0.5,233935000,1116.6906747451,0.14882429556148,1.9519173914591e+18,6244656.3252859,19329828.317204
15.1640625,660.16199601628,881.83976902896,1117.8217962759,881.48029800373,1117.5500437804,672.06770584519,1.1984882199606e-10,12893168.204969,0.5,0.5,233935000,1116.6901769654,0.14309720952044,1.9519173914591e+18,3732086.0386266,16625254.243596
15.6640625,660.25612696024,881.52795387478,1117.0865743082,881.32160139734,1116.9948451249,672.08191624324,1.1984882199606e-10,12719553.657979,0.5,0.5,233935000,1116.7120029674,0.13841023894864,1.9519173914591e+18,3178521.6991743,15898075.357153
16.1640625,660.50562238141,881.59078993037,1116.9037219741,881.4304651276,1116.8658068701,672.10903259331,1.1984882199606e-10,12288511.03808,0.5,0.505859375,233935000,1116.7432020792,0.13235577516638,1.9519173914591e+18,2930204.1463785,15218715.184459
16.669921875,660.63729532192,881.61637477907,1116.9056763972,881.46751956654,1116.8706811854,672.12206980502,1.1984882199606e-10,11949938.292999,0.505859375,0.52392578125,233935000,1116.7576597315,0.12735224545535,1.9519173914591e+18,2721172.6710934,14671110.964092
17.19384765625,660.76693115453,881.64509509741,1116.9095225985,881.50641952837,1116.876758879,672.13525397196,1.1984882199606e-10,11665767.633448,0.52392578125,0.54263741629464,233935000,1116.7720310627,0.12299771450467,1.9519173914591e+18,2535519.8553402,14201287.488788
17.736485072545,660.89117650648,881.67654974446,1116.9148645931,881.54697864835,1116.883751588,672.14860657503,1.1984882199606e-10,11416365.603931,0.54263741629464,0.56201732401945,233935000,1116.7863408634,0.11911410563817,1.9519173914591e+18,2369390.2382558,13785755.842186
18.298502396564,660.89115438641,881.67622302912,1116.9147394264,881.54665619821,1116.8836435073,672.14853402844,1.1984882199606e-10,11339758.409862,0.56201732401945,0.58208937130586,233935000,1116.7862403528,0.11675363813408,1.9519173914591e+18,2219997.4760864,13559755.885948
18.88059176787,661.11646405258,881.74781992401,1116.929614575,881.63384433332,1116.9003068642,672.1761670921,1.1984882199606e-10,11115533.603043,0.58208937130586,0.60287827742393,233935000,1116.8152331409,0.11340199365874,1.9519173914591e+18,2084648.9041732,13200182.507216
19.483470045294,661.11644006966,881.74750515857,1116.9294971222,881.63353328559,1116.9002055174,672.17609648387,1.1984882199606e-10,11045537.740816,0.60287827742393,0.62440964447478,233935000,1116.8151377415,0.11139941775887,1.9519173914591e+18,1961991.4141152,13007529.154931
20.107879689769,661.30689870704,881.8284678045,1116.9485735632,881.72733530532,1116.9208995842,672.204831845,1.1984882199606e-10,10838257.886073,0.62440964447478,0.64670998892031,233935000,1116.8444030254,0.10844277933901,1.9519173914591e+18,1850009.2211758,12688267.107248
20.754589678689,661.30687335331,881.82815604274,1116.9484589714,881.72702699493,1116.9207850412,672.20476144641,1.1984882199606e-10,10772956.213591,0.64670998892031,0.66980677423889,233935000,1116.8443093393,0.10671509774207,1.9519173914591e+18,1747891.1908551,12520847.404446
21.424396452928,661.47178998158,881.91746213823,1116.9709636141,881.82704824917,1116.9463313796,672.23467740733,1.1984882199606e-10,10578438.24978,0.66980677423889,0.69372844474742,233935000,1116.8739653573,0.1040667440728,1.9519173914591e+18,1654087.5896598,12232525.83944
22.118124897675,661.47176331343,881.91714872385,1116.9708493271,881.82673806359,1116.9462171523,672.2346063637,1.1984882199606e-10,10516902.955082,0.69372844474742,0.71850446063126,233935000,1116.8738716166,0.10255698431182,1.9519173914591e+18,1568087.3591044,12084990.314186
22.836629358307,661.6208866162,882.01412907053,1116.9962900848,881.93276348979,1116.974203612,672.26578036309,1.1984882199606e-10,10333215.351669,0.71850446063126,0.74416533422523,233935000,1116.9040538931,0.10016003885866,1.9519173914591e+18,1488629.6533914,11821845.00506
23.580794692532,661.62085848704,882.01381208486,1116.9961749737,881.93244954638,1116.9740885677,672.26570832753,1.1984882199606e-10,10275040.58491,0.74416533422523,0.77074266759042,233935000,1116.9039593106,0.098826471688849,1.9519173914591e+18,1415383.6638485,11690424.248758
24.351537360122,661.76201025398,882.11803890722,1117.0242182501,882.04440000209,1117.0042893258,672.29822407619,1.1984882199606e-10,10101371.681487,0.77074266759042,0.79826919143294,233935000,1116.9380538288,0.096640948247165,1.9519173914591e+18,1347288.9655246,11448660.647011
25.149806551555,661.76198064476,882.11771782002,1117.024101923,882.0440817991,1117.0041730699,672.29815102625,1.1984882199606e-10,10046390.601459,0.79826919143294,0.82677880541268,233935000,1116.9379425458,0.095451418377986,1.9519173914591e+18,1284139.9905817,11330530.59204
25.976585356968,661.90196645537,882.22894410623,1117.0545136608,882.16198651327,1117.0364376354,672.33210086205,1.1984882199606e-10,9882388.3945248,0.82677880541268,0.85630661989171,233935000,1116.9763491507,0.093447193161481,1.9519173914591e+18,1225032.2688868,11107420.663412
