time,He_Heat_Ext,Tf_outlet_vol,area_pp_reactor_inlet,barrel_average_temperature,barrel_max_temperature,bed_solid_average_temperature,bypass_mfr,core_volume,dt_max_pp,outlet_mfr,outlet_vfr,ref_average_temperature,ref_max_temperature,right_Temp,rpv_average_temperature,rpv_convective_out,rpv_flux2,rpv_max_temperature,rpv_radiation_out,rpv_tot_out,set_inlet_mfr,total_power
0,0,0,2.5509732347149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
0.05,249748890.76819,33355.852966303,2.5509732347149,476.16460225238,536.88089302105,863.4942328168,-1.6482806485663,77.754418176347,1,106.06142090509,32.576309128377,592.19152595327,1058.7351271872,443.6292334275,445.62525452627,31.819014016501,12033.55650031,480.92801419265,357.22142300111,389.04043701761,95.630769230769,249922235.50289
0.05,249748890.76008,33355.852046579,2.5509732347149,476.16460225238,536.88089302105,863.49422849865,-1.6482806440969,77.754418176347,1,106.06141798411,32.576308230664,592.19152595323,1058.7351271872,443.6292334275,445.62525452627,31.819014016501,12033.55650031,480.92801419265,357.22142300111,389.04043701761,95.630769230769,249909835.72249
0.05,249748892.00341,33355.864503703,2.5509732347149,476.16460225238,536.88089302105,863.49428214471,-1.648280692997,77.754418176347,1,106.06145707683,32.576320317343,592.19152595371,1058.7351271872,443.6292334275,445.62525452627,31.819014016501,12033.55650031,480.92801419265,357.22142300111,389.04043701761,95.630769230769,250063871.12067
0.05,249748891.97811,33355.863934946,2.5509732347149,476.16460225238,536.88089302105,863.49427956177,-1.6482806904069,77.754418176347,1,106.06145527892,32.576319763492,592.19152595369,1058.7351271872,443.6292334275,445.62525452627,31.819014016501,12033.55650031,480.92801419265,357.22142300111,389.04043701761,95.630769230769,250056454.24966
0.05,249748891.97656,33355.863925101,2.5509732347149,476.16460225238,536.88089302105,863.49427952053,-1.6482806904112,77.754418176347,1,106.06145524825,32.576319753975,592.19152595369,1058.7351271872,443.6292334275,445.62525452627,31.819014016501,12033.55650031,480.92801419265,357.22142300111,389.04043701761,95.630769230769,250056335.95307
0.15,249388014.17174,35514.871836172,2.5509732347149,476.16460109288,536.88092906095,863.47799537403,-1.9588174019661,77.754418176347,1,112.23767452545,34.70939953553,592.19152624232,1058.7351471278,443.62923086214,445.62525197658,31.819013204122,12033.55650031,480.92803718703,357.22141013121,389.04042333534,94.892307692308,250138355.42329
0.15,249388014.06476,35514.87087851,2.5509732347149,476.16460109288,536.88092906095,863.47799060111,-1.9588173938603,77.754418176347,1,112.23767154627,34.709398606864,592.19152624225,1058.7351471278,443.62923086214,445.62525197658,31.819013204122,12033.55650031,480.92803718703,357.22141013121,389.04042333534,94.892307692308,250131495.47049
0.15,249388014.23498,35514.872976867,2.5509732347149,476.16460109288,536.88092906095,863.4780010698,-1.9588174120719,77.754418176347,1,112.23767810217,34.709400646053,592.1915262424,1058.7351471278,443.62923086214,445.62525197658,31.819013204122,12033.55650031,480.92803718703,357.22141013121,389.04042333534,94.892307692308,250146542.07978
0.15,249388014.34107,35514.873086698,2.5509732347149,476.16460109288,536.88092906095,863.47800162631,-1.9588174122548,77.754418176347,1,112.23767840271,34.709400746176,592.19152624241,1058.7351471278,443.62923086214,445.62525197658,31.819013204122,12033.55650031,480.92803718703,357.22141013121,389.04042333534,94.892307692308,250147341.30419
0.35,248987397.59673,36718.783998821,2.5509732347149,476.16459877393,536.88100114058,863.43804439801,-2.161111540012,77.754418176347,1,114.46101316849,35.914202341076,592.19152562624,1058.7351869804,443.62922573148,445.62524687723,31.819011579381,12033.55650031,480.92808317571,357.22138439168,389.04039597106,93.415384615385,250249345.93697
0.35,248987396.80942,36718.781066762,2.5509732347149,476.16459877393,536.88100114058,863.43802539837,-2.161111497647,77.754418176347,1,114.46100438238,35.914199528718,592.19152562568,1058.7351869804,443.62922573148,445.62524687723,31.819011579381,12033.55650031,480.92808317571,357.22138439168,389.04039597106,93.415384615385,250235678.04989
0.35,248987399.85784,36718.793680349,2.5509732347149,476.16459877393,536.88100114058,863.43810730621,-2.1611116815303,77.754418176347,1,114.46104233109,35.914211651201,592.19152562807,1058.7351869804,443.62922573148,445.62524687723,31.819011579381,12033.55650031,480.92808317571,357.22138439168,389.04039597106,93.415384615385,250294600.73958
0.35,248987401.13789,36718.79388551,2.5509732347149,476.16459877393,536.88100114058,863.43810837933,-2.1611116779288,77.754418176347,1,114.46104239838,35.914211761708,592.19152562811,1058.7351869804,443.62922573148,445.62524687723,31.819011579381,12033.55650031,480.92808317571,357.22138439168,389.04039597106,93.415384615385,250295371.03887
0.35,248987401.10633,36718.793763032,2.5509732347149,476.16459877393,536.88100114058,863.43810756586,-2.1611116761865,77.754418176347,1,114.46104203077,35.914211644136,592.19152562809,1058.7351869804,443.62922573148,445.62524687723,31.819011579381,12033.55650031,480.92808317571,357.22138439168,389.04039597106,93.415384615385,250294785.90777
0.75,248750543.42793,37344.401498522,2.5509732347149,476.16459413618,536.88114529914,863.36923464379,-2.219046063869,77.754418176347,1,112.91881940372,36.543086222942,592.1915204114,1058.7352665064,443.62921547035,445.62523667874,31.819008329964,12033.55650031,480.92817515273,357.22133291366,389.04034124362,90.461538461538,250429842.55762
0.75,248750539.30885,37344.394653145,2.5509732347149,476.16459413618,536.88114529914,863.36916763652,-2.2190459227768,77.754418176347,1,112.91880052621,36.543079819793,592.19152040751,1058.7352665064,443.62921547035,445.62523667874,31.819008329964,12033.55650031,480.92817515273,357.22133291366,389.04034124362,90.461538461538,250405722.66565
0.75,248750564.55441,37344.435024244,2.5509732347149,476.16459413618,536.88114529914,863.36956247015,-2.2190467497531,77.754418176347,1,112.91891143743,36.543117514486,592.19152043052,1058.7352665064,443.62921547035,445.62523667874,31.819008329964,12033.55650031,480.92817515273,357.22133291366,389.04034124362,90.461538461538,250547846.05844
0.75,248750570.43165,37344.434861525,2.5509732347149,476.16459413618,536.88114529914,863.36955623698,-2.2190467168279,77.754418176347,1,112.91890835353,36.543116933851,592.19152043023,1058.7352665064,443.62921547035,445.62523667874,31.819008329964,12033.55650031,480.92817515273,357.22133291366,389.04034124362,90.461538461538,250545602.5429
0.75,248750569.2247,37344.433401962,2.5509732347149,476.16459413618,536.88114529914,863.36954212443,-2.2190466884712,77.754418176347,1,112.91890447342,36.543115592147,592.1915204294,1058.7352665064,443.62921547035,445.62523667874,31.819008329964,12033.55650031,480.92817515273,357.22133291366,389.04034124362,90.461538461538,250540522.7381
0.75,248750569.63292,37344.433856516,2.5509732347149,476.16459413618,536.88114529914,863.36954641066,-2.2190466972349,77.754418176347,1,112.91890566752,36.543116007678,592.19152042966,1058.7352665064,443.62921547035,445.62523667874,31.819008329964,12033.55650031,480.92817515273,357.22133291366,389.04034124362,90.461538461538,250542065.71603
1.25,248675951.69174,37726.117876955,2.5509732347149,476.1645883392,536.88132549628,863.31437341892,-2.1928336443895,77.754418176347,1,109.5532258446,36.922015742211,592.19151018911,1058.7353656398,443.62920264427,445.62522393095,31.819004268295,12033.55650031,480.92829012346,357.22126856776,389.04027283605,86.769230769231,250694812.60179
1.25,248675943.08345,37726.107371245,2.5509732347149,476.1645883392,536.88132549628,863.31425467474,-2.1928334201211,77.754418176347,1,109.55319902735,36.92200608414,592.19151018048,1058.7353656398,443.62920264427,445.62522393095,31.819004268295,12033.55650031,480.92829012346,357.22126856776,389.04027283605,86.769230769231,250660616.03021
1.25,248675975.05363,37726.144830848,2.5509732347149,476.1645883392,536.88132549628,863.31468008474,-2.1928342111631,77.754418176347,1,109.5532941024,36.922040428903,592.19151021147,1058.7353656398,443.62920264427,445.62522393095,31.819004268295,12033.55650031,480.92829012346,357.22126856776,389.04027283605,86.769230769231,250783123.41719
1.25,248675980.26586,37726.144148371,2.5509732347149,476.1645883392,536.88132549628,863.31466502887,-2.1928341696064,77.754418176347,1,109.55328989014,36.922039383316,592.19151021045,1058.7353656398,443.62920264427,445.62522393095,31.819004268295,12033.55650031,480.92829012346,357.22126856776,389.04027283605,86.769230769231,250778790.93798
1.25,248675979.22489,37726.143119022,2.5509732347149,476.1645883392,536.88132549628,863.31465340325,-2.1928341487413,77.754418176347,1,109.55328734709,36.922038451331,592.1915102096,1058.7353656398,443.62920264427,445.62522393095,31.819004268295,12033.55650031,480.92829012346,357.22126856776,389.04027283605,86.769230769231,250775443.16152
1.25,248675979.726,37726.143571685,2.5509732347149,476.1645883392,536.88132549628,863.31465832781,-2.1928341578147,77.754418176347,1,109.55328844683,36.922038858038,592.19151020997,1058.7353656398,443.62920264427,445.62522393095,31.819004268295,12033.55650031,480.92829012346,357.22126856776,389.04027283605,86.769230769231,250776861.47902
1.75,248648405.00128,38060.528452433,2.5509732347149,476.16458254245,536.88150569234,863.29263241583,-2.1489605565641,77.754418176347,1,105.93904779532,37.251312335488,592.19149886682,1058.7354645424,443.62918981851,445.62521118349,31.819000206729,12033.55650031,480.92840509365,357.22120422347,389.0402044302,83.076923076923,250914846.70835
1.75,248648396.24481,38060.518036263,2.5509732347149,476.16458254245,536.88150569234,863.29251515657,-2.1489603442228,77.754418176347,1,105.93902243339,37.251302780928,592.19149885829,1058.7354645424,443.62918981851,445.62521118349,31.819000206729,12033.55650031,480.92840509365,357.22120422347,389.0402044302,83.076923076923,250881084.29272
1.75,248648413.07459,38060.531377652,2.5509732347149,476.16458254245,536.88150569234,863.29266281703,-2.1489605875342,77.754418176347,1,105.93905259436,37.251314608308,592.19149886912,1058.7354645424,443.62918981851,445.62521118349,31.819000206729,12033.55650031,480.92840509365,357.22120422347,389.0402044302,83.076923076923,250923596.93795
1.75,248648412.09472,38060.531339904,2.5509732347149,476.16458254245,536.88150569234,863.29266303703,-2.1489605915188,77.754418176347,1,105.9390528948,37.251314642997,592.19149886914,1058.7354645424,443.62918981851,445.62521118349,31.819000206729,12033.55650031,480.92840509365,357.22120422347,389.0402044302,83.076923076923,250923660.53345
1.75,248648411.87333,38060.531174666,2.5509732347149,476.16458254245,536.88150569234,863.2926613225,-2.1489605884897,77.754418176347,1,105.93905252661,37.251314497458,592.19149886902,1058.7354645424,443.62918981851,445.62521118349,31.819000206729,12033.55650031,480.92840509365,357.22120422347,389.0402044302,83.076923076923,250923166.76911
2.25,248631791.16218,38411.34127342,2.5509732347149,476.16457674593,536.88168588733,863.30383734476,-2.101701344162,77.754418176347,1,102.27979003255,37.595892223795,592.19148900252,1058.7355632705,443.62917699307,445.62519843634,31.818996145264,12033.55650031,480.92852006331,357.22113988082,389.04013602608,79.384615384615,251027784.17539
2.25,248631784.78507,38411.333664396,2.5509732347149,476.16457674593,536.88168588733,863.30375177722,-2.1017011959592,77.754418176347,1,102.27977232511,37.595885246837,592.19148899629,1058.7355632705,443.62917699307,445.62519843634,31.818996145264,12033.55650031,480.92852006331,357.22113988082,389.04013602608,79.384615384615,251003151.641
2.25,248631781.72633,38411.323551403,2.5509732347149,476.16457674593,536.88168588733,863.30363529049,-2.1017009727019,77.754418176347,1,102.27974662566,37.595875574223,592.19148898791,1058.7355632705,443.62917699307,445.62519843634,31.818996145264,12033.55650031,480.92852006331,357.22113988082,389.04013602608,79.384615384615,250969615.79246
2.25,248631779.37453,38411.323286128,2.5509732347149,476.16457674593,536.88168588733,863.30363568812,-2.1017009763506,77.754418176347,1,102.27974685952,37.595875488107,592.19148898792,1058.7355632705,443.62917699307,445.62519843634,31.818996145264,12033.55650031,480.92852006331,357.22113988082,389.04013602608,79.384615384615,250969728.24811
2.25,248631779.65781,38411.323596425,2.5509732347149,476.16457674593,536.88168588733,863.30363903059,-2.1017009823741,77.754418176347,1,102.27974757234,37.595875770914,592.19148898817,1058.7355632705,443.62917699307,445.62519843634,31.818996145264,12033.55650031,480.92852006331,357.22113988082,389.04013602608,79.384615384615,250970690.62252
2.75,248619036.46961,38793.663049603,2.5509732347149,476.16457094962,536.88186608124,863.34772124375,-2.0535600980013,77.754418176347,1,98.611098475581,37.971048032994,592.19148313588,1058.7356618882,443.62916416795,445.62518568951,31.818992083902,12033.55650031,480.92863503243,357.22107553978,389.04006762368,75.692307692308,251030852.26275
