time,_dt,fuel_temp_avg,fuel_temp_max,fuel_temp_min,integrated_power,power_increment,power_limited_dt,power_scaling,pp_nH_avg,pp_nH_max,pp_nH_min,scaled_power_avg
0,0,845.35352255818,869.81857572705,818.24785991366,345600,0,0,1.2770769461136e+15,0,0,0,2182696.3624031
5,5,848.7493341632,873.45136784759,822.27525234842,335958.51056342,9641.4894365809,0.01,1.2770769461136e+15,0,0,0,2120207.8066066
6,1,849.43587812514,874.14849027831,823.10540254678,333549.75406517,2408.7564982477,0.01,1.2770769461136e+15,0,0,0,2104982.6675533
7,1,850.17694748353,874.91825012505,823.96183762483,330867.76337452,2681.9906906558,0.01,1.2770769461136e+15,0,0,0,2088031.7556331
8,1,850.95961783218,875.74734820073,824.82140818301,327937.57954419,2930.1838303276,0.01,1.2770769461136e+15,0,0,0,2069513.6324643
9,1,851.76543522763,876.61264241024,825.66900692936,324797.77976916,3139.7997750275,0.01,1.2770769461136e+15,0,0,0,2049672.4322753
10,1,852.57823310874,877.49146248669,826.4982652698,321490.02684356,3307.7529255979,0.01,1.2770769461136e+15,0,0,0,2028771.6533523
11,1,853.38634619987,878.36632745224,827.30772228431,318051.8302798,3438.1965637603,0.01,1.2770769461136e+15,0,0,0,2007048.4143715
12,1,854.18224145909,879.22554309707,828.09774932906,314514.54007488,3537.2902049268,0.01,1.2770769461136e+15,0,0,0,1984700.8045674
13,1,854.9614103278,880.06204077797,828.86910379759,310903.42562993,3611.1144449449,0.01,1.2770769461136e+15,0,0,0,1961888.4314142
14,1,855.72142921956,880.87206270826,829.62245967333,307239.34416133,3664.0814685987,0.01,1.2770769461136e+15,0,0,0,1938742.986289
15,1,856.46112727737,881.65387383612,830.35834193927,303538.8039996,3700.5401617367,0.01,1.2770769461136e+15,0,0,0,1915368.6648658
16,1,857.18013478934,882.40702649568,831.07716329445,299815.43972829,3723.3642713047,0.01,1.2770769461136e+15,0,0,0,1891851.4962016
17,1,857.8785559361,883.13181182255,831.77927113514,296080.55010789,3734.8896204007,0.01,1.2770769461136e+15,0,0,0,1868262.7533256
18,1,858.55675239349,883.82892685958,832.46497789855,292343.60364511,3736.9464627836,0.01,1.2770769461136e+15,0,0,0,1844662.1520487
