time,ext_side_integral,flux_uo_avg,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_end_heat_integral,hp_heat_integral,mirror_side_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power,tb_integral,total_sink
27,160.05554818111,9731.6033641722,863.58564942673,889.30713894468,834.80075973879,856.18730789476,-742.84058232804,245720.52791468,-1112.1513835544,862.67735623632,885.354931468,837.91781467437,860.25591005651,887.61861862925,832.69913273081,259613.97508968,1516.2635312325,245541.85502821
28,161.6473992238,9575.1606150121,864.09820680159,889.77449878043,835.33698604468,856.77271336631,-749.79464293122,242138.87340356,-1395.915967606,863.2136049255,885.87476416956,838.50904669292,860.80118409608,888.10529272357,833.22576706181,256147.39690177,1578.4311124318,241733.24130468
29,163.19466554061,9420.8204152998,864.59612235584,890.22372652065,835.85998299225,857.34302454473,-756.561778762,238603.16309762,-1673.4642782876,863.73463158494,886.37588857854,839.0857241644,861.33173900619,888.57370809983,833.73964887672,252723.41643468,1639.3867139857,237975.71842009
30,164.69834567046,9268.6154810244,865.07976708194,890.65540779347,836.36996495565,857.89856806169,-763.14664966958,235114.24630827,-1944.8690275783,864.2408143472,886.85887190005,839.64808318122,861.84792068334,889.02444089374,834.24097772553,249342.96990503,1699.1357603753,234270.06473707
31,166.15945331569,9118.5868344446,865.54953119643,891.07015568719,836.86716609557,858.43968529447,-769.55387355775,231673.21577302,-2210.2120887568,864.7325489004,887.32430510282,840.19638280055,862.3500919589,889.45809407656,834.72996867665,246007.23805451,1757.6848779385,230617.29414196
32,167.57895185784,8970.7606037923,866.0057751284,891.4685291713,837.35181263575,858.9666974077,-775.78782422665,228280.79218815,-2469.5802779229,865.21020296354,887.77273111321,840.73087304193,862.83859042078,889.8752187018,835.20683135656,242717.02384288,1815.0421409476,227018.0451788
33,168.95777417992,8825.1554284104,866.44884362361,891.85105847978,837.82412875764,859.47991505412,-781.852711409,224937.51396775,-2723.0645123441,865.67412930926,888.20466711821,841.25180167511,863.3137404111,890.27633821712,835.67177423813,239472.94476524,1871.2167490964,223472.77126728
34,170.29682399746,8681.783235277,866.87906675999,892.21824720427,838.28433655407,859.97963890757,-787.75258740029,221643.75658004,-2970.7590673729,866.12466666968,888.62060636646,841.75941417954,863.77585382689,890.6619504296,836.1250044883,236275.45224876,1926.2189071142,219981.76065638
35,171.59697745725,8540.6499942184,867.29676097984,892.57057422079,838.73265584464,860.46616022038,-793.49135554521,218399.75119394,-3212.7609426133,866.56214066223,889.02101981072,842.25395353764,864.22523094187,891.03252932403,836.56672772732,233124.85051835,1980.0597056597,216545.1555789
36,172.85908452936,8401.7563927945,867.70222994328,892.90849533396,839.16930402993,860.93976127762,-799.07277945832,215205.60023922,-3449.1693764813,866.98686455644,889.40635750104,842.73566005037,864.66216108607,891.38852661969,836.99714783902,230021.31233273,2032.7510073939,213162.96817521
37,174.08397096515,8265.0986012537,868.09576569675,893.23244538848,839.59449601656,861.40071608848,-804.50049315299,212061.29627314,-3680.0851183344,867.3991403366,889.77705040189,843.20477125805,865.08692360013,891.73037377283,837.4164668376,226964.89773575,2084.3053365934,209835.09996921
38,175.27243939747,8130.668764686,868.47764934999,893.54283958642,840.00844408613,861.84929075556,-809.77800807259,208966.73349076,-3905.6101237445,867.79925931576,890.13351151968,843.66152178084,865.49978837727,892.05848322853,837.82488470207,223955.56602266,2134.7357910281,206561.35358937
39,176.42527048404,7998.4554899531,868.84815178605,893.84007483545,840.41135780936,862.2857438769,-814.90872002162,205921.71944345,-4125.8470106342,868.1875027835,890.47613706423,844.10614321426,865.90101643624,892.37324970061,838.22259925242,220993.18763279,2184.0559614178,203341.4449447
40,177.54322395522,7868.4442697182,869.20753429558,894.12453096508,840.80344395183,862.71032690651,-819.89591526856,202925.98541789,-4340.8987546453,868.56414258686,890.80530749876,844.5388640264,866.29086043359,892.67505132958,838.60980602479,218077.55465993,2232.2798565139,200175.01382844
41,178.6270395454,7740.6178766113,869.55604914427,894.39657181646,841.18490638092,863.12328447701,-824.74277646528,199979.19577164,-4550.8682855336,868.92944164784,891.12138848151,844.95990946018,866.66956512031,892.96425071664,838.98669815104,215208.39013295,2279.4218326025,197061.63358179
42,179.67743788382,7614.9567155441,869.8939401174,894.6565462977,841.55594604762,863.52485471612,-829.45238839016,197080.95629448,-4755.8582196115,869.28365446624,891.42473178191,845.3695014913,867.03736778408,893.24119593065,839.35346630842,212385.3566745,2325.4965372013,194000.81966157
43,180.69512149723,7491.4391856749,870.22144310309,894.90478948087,841.91676094849,863.91526959891,-834.02774367348,194230.82299807,-4955.9706363338,869.62702765846,891.71567623654,845.76785879419,867.39449872702,893.50622155407,839.71029865027,209608.06530567,2370.5188490277,190992.03858859
44,181.68077541894,7370.0419123571,870.53878645653,895.14162333114,842.26754608013,864.29475515423,-838.47174624468,191428.30775739,-5151.3068520137,869.95980029416,891.99454838562,846.15519668737,867.74118155837,893.75964937754,840.05738074209,206876.08121918,2414.5038343406,188034.71376889
45,182.63506798053,7250.7400343722,870.8461914641,895.36735756988,842.60849338557,864.66353174785,-842.78721637869,188672.88513558,-5341.9672126932,870.28220432784,892.26166322894,846.53172708971,868.07763357533,894.00178922519,840.39489548549,204188.93059619,2457.466695403,185128.23246989
46,183.55865164487,7133.5074761657,871.14387282757,895.58317889433,842.93979180844,865.02181438643,-846.97689558495,185963.99896368,-5528.0509962871,870.5944650512,892.51732503036,846.89765855697,868.40406616444,894.23293983051,840.72302314164,201546.10736343,2499.4227345028,182271.95245796
47,184.45216338205,7018.3170679053,871.43203886744,895.7888374094,843.26162724726,865.36981282945,-851.04344868492,183301.06530897,-5709.6562347331,870.89680128467,892.76182770878,847.25319623494,868.72068496301,894.45338926152,840.94035356903,198947.07627237,2540.3873216885,179465.20511062
