time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,MSFR_core_Coolant_Density_Reactivity,Power,Total_Reactivity_Feedback,fml1_MSFR_core_in,fml1_MSFR_core_out,fml1_ss_MSFR_core_in,fml1_ss_MSFR_core_out,fml2_MSFR_core_in,fml2_MSFR_core_out,fml2_ss_MSFR_core_in,fml2_ss_MSFR_core_out,fml3_MSFR_core_in,fml3_MSFR_core_out,fml3_ss_MSFR_core_in,fml3_ss_MSFR_core_out,fml4_MSFR_core_in,fml4_MSFR_core_out,fml4_ss_MSFR_core_in,fml4_ss_MSFR_core_out,fml5_MSFR_core_in,fml5_MSFR_core_out,fml5_ss_MSFR_core_in,fml5_ss_MSFR_core_out,fml6_MSFR_core_in,fml6_MSFR_core_out,fml6_ss_MSFR_core_in,fml6_ss_MSFR_core_out
119.17995098247,218571.74186474,111916.5888224,951.40081987393,1050.710084226,-16846.45944723,16846.459453744,18085.754589412,-2571.2279369967,961.93952151857,888.35560181817,897.10518390738,199584.4424804,1050.6922095656,951.72913140277,961.91919561479,-2.407434170235,0,2999999768.7137,0,3267.1659112159,3418.1427111112,3267.1653619429,3418.1423164237,11222.276308093,12448.163084608,11222.27746262,12448.165978575,1780.2115240798,2632.8008568673,1780.2125770492,2632.8033058902,982.36361927533,2741.2917015807,982.36705103549,2741.2980720271,30.948923333625,693.38977892653,30.952497696306,693.39402752678,-1.3648096170686,56.733663761956,-1.3622536870611,56.734635671773
119.48086299177,218571.7442382,111916.59178763,951.40073101456,1050.7097324026,-16846.45944187,16846.459456763,18085.754568838,-2571.2279370618,961.93951929383,888.35559356449,897.10518376046,199584.44247239,1050.6921957077,951.72914028991,961.91919655635,-2.4074341671737,0,2999999768.7137,0,3267.1662046678,3418.1425203863,3267.1659112159,3418.1427111112,11222.274418106,12448.156078323,11222.276308093,12448.163084608,1780.2098104645,2632.7951232272,1780.2115240798,2632.8008568673,982.35803011091,2741.2776440236,982.36361927533,2741.2917015807,30.943059319811,693.38143310343,30.948923333625,693.38977892653,-1.3690120837412,56.731988411044,-1.3648096170686,56.733663761956
119.70805155878,218571.74720829,111916.59480355,951.40059250154,1050.7089648861,-16846.459431289,16846.459464431,18085.754498847,-2571.2279371568,961.93951550747,888.35557561737,897.10518354521,199584.44242451,1050.6921778748,951.729158402,961.91920045388,-2.4074341627822,0,2999999768.7137,0,3267.1662441253,3418.1413731063,3267.1662046678,3418.1425203863,11222.271466753,12448.140973617,11222.274418106,12448.156078323,1780.2071518904,2632.7830462951,1780.2098104645,2632.7951232272,982.34933464557,2741.2491926719,982.35803011091,2741.2776440236,30.933834899914,693.36591715562,30.943059319811,693.38143310343,-1.3756570922125,56.729198269781,-1.3690120837412,56.731988411044
119.87957892688,218571.75049072,111916.59645339,951.40039246296,1050.707481172,-16846.459410864,16846.459480995,18085.754338587,-2571.2279372986,961.93950909669,888.35553743993,897.10518324349,199584.44228588,1050.6921602533,951.72919419545,961.91921128135,-2.4074341568645,0,2999999768.7137,0,3267.1660266157,3418.1386933643,3267.1662441253,3418.1413731063,11222.267185833,12448.112003748,11222.271466753,12448.140973617,1780.2033137692,2632.7602668497,1780.2071518904,2632.7830462951,982.33669983844,2741.1969734199,982.34933464557,2741.2491926719,30.920205659199,693.33912769163,30.933834899914,693.36591715562,-1.3855710224586,56.724788816495,-1.3756570922125,56.729198269781
120,218571.66640357,111916.56259314,951.40007033209,1050.7033816891,-16846.459357195,16846.459527814,18085.755566578,-2571.2279375052,961.93949470566,888.35540396162,897.1051827498,199584.44166802,1050.6921614464,951.72930074274,961.91925497698,-2.4074341487662,0,2999870994.954,0,3267.1656891475,3418.1278106142,3267.1660266157,3418.1386933643,11222.261277079,12448.023062193,11222.267185833,12448.112003748,1780.197327505,2632.6980542139,1780.2033137692,2632.7602668497,982.31632518099,2741.0629676903,982.33669983844,2741.1969734199,30.897399641799,693.27742238615,30.920205659199,693.33912769163,-1.402407389337,56.716150425273,-1.3855710224586,56.724788816495
120.1,218526.7531547,111912.2164863,951.3998275767,1050.7016028935,-16846.45985295,16846.460110777,18082.082284099,-2571.2279377693,961.93948191018,888.3553623381,897.10518217431,199584.4107925,1050.692097705,951.72895216755,961.91918177866,-2.407433535828,-2.6865553642841e-08,2999630785.393,-2.6865553642841e-08,3266.5010986735,3417.4387218467,3267.1656891475,3418.1278106142,11219.972106674,12445.486291662,11222.261277079,12448.023062193,1779.8281005187,2632.1363013967,1780.197327505,2632.6980542139,982.09617852807,2740.4313728703,982.31632518099,2741.0629676903,30.871825999881,693.09172252687,30.897399641799,693.27742238615,-1.4164612175641,56.695901795517,-1.402407389337,56.716150425273
120.2,218489.99352068,111903.68746512,951.39975307018,1050.7062164948,-16846.46164138,16846.461860026,18074.813419341,-2571.2279380769,961.93948109701,888.35554230416,897.10518163728,199584.33858603,1050.6919461774,951.72747745747,961.91874438323,-2.4074316040346,-1.093604357072e-07,2999560404.7739,-1.093604357072e-07,3265.1859946752,3416.1000205063,3267.1656891475,3418.1278106142,11215.444568355,12440.649873962,11222.261277079,12448.023062193,1779.1016107077,2631.1442414087,1780.197327505,2632.6980542139,981.68195766416,2739.4274637824,982.31632518099,2741.0629676903,30.852110984507,692.82706147407,30.897399641799,693.27742238615,-1.4206047045395,56.667733024679,-1.402407389337,56.716150425273
120.3,218459.19382433,111891.74950396,951.39968828199,1050.7129185976,-16846.465092934,16846.465199357,18064.718567465,-2571.227938393,961.93948220761,888.35562878221,897.10518114308,199584.2314615,1050.6917525663,951.72445272019,961.91774831832,-2.4074278865843,-2.7416412537451e-07,2999389377.5717,-2.7416412537451e-07,3263.358312956,3414.237070847,3267.1656891475,3418.1278106142,11209.147413084,12433.922721647,11222.261277079,12448.023062193,1778.0876683235,2629.7670543975,1780.197327505,2632.6980542139,981.10298602195,2738.0378238758,982.31632518099,2741.0629676903,30.831573177531,692.46145643554,30.897399641799,693.27742238615,-1.4198592199879,56.628903143343,-1.402407389337,56.716150425273
120.4,218432.74434031,111877.4414476,951.39955263177,1050.7186681422,-16846.470037977,16846.470029429,18052.647813039,-2571.2279386945,961.93948284781,888.35562741207,897.10518107605,199584.10687448,1050.6915387585,951.71944450342,961.91589385531,-2.4074222814791,-5.3963100202226e-07,2999061079.1389,-5.3963100202226e-07,3261.1709127932,3411.9991541052,3267.1656891475,3418.1278106142,11201.602328633,12425.810739925,11222.261277079,12448.023062193,1776.8661508273,2628.0790104409,1780.197327505,2632.6980542139,980.39768669053,2736.2919395247,982.31632518099,2741.0629676903,30.805713738356,691.98798251379,30.897399641799,693.27742238615,-1.4183578416286,56.578391369115,-1.402407389337,56.716150425273
120.5,218409.08330201,111861.56816212,951.39935845778,1050.72332059,-16846.475917168,16846.475807484,18039.275482402,-2571.2279389798,961.93948268131,888.35561545139,897.1051816937,199583.98177245,1050.691291432,951.7120933844,961.91289377952,-2.407414900615,-9.1392732634588e-07,2998534079.815,-9.1392732634588e-07,3258.7452770691,3409.5098592921,3267.1656891475,3418.1278106142,11193.225025315,12416.757426465,11222.261277079,12448.023062193,1775.5017954922,2626.1679370824,1780.197327505,2632.6980542139,979.60000975859,2734.2714040908,982.31632518099,2741.0629676903,30.774075291707,691.42340094804,30.897399641799,693.27742238615,-1.4174101298414,56.517485468396,-1.402407389337,56.716150425273
120.6,218387.15861925,111844.69042232,951.39914738437,1050.7283166291,-16846.481966637,16846.481772271,18025.074500566,-2571.227939262,961.9394789491,888.35561838025,897.10518310026,199583.86899722,1050.6909771913,951.70217638994,961.90853503585,-2.4074059198173,-1.3945579294961e-06,2997784514.2736,-1.3945579294961e-06,3256.166686741,3406.8591451446,3267.1656891475,3418.1278106142,11184.307759793,12407.103206154,11222.261277079,12448.023062193,1774.0404573427,2624.1164406217,1780.197327505,2632.6980542139,978.73487342639,2732.0755574683,982.31632518099,2741.0629676903,30.73786361512,690.79495782751,30.897399641799,693.27742238615,-1.4169172430704,56.44837766743,-1.402407389337,56.716150425273
120.7,218366.28520426,111827.17651323,951.39894290803,1050.7352472877,-16846.487383043,16846.487151289,18010.356466252,-2571.2279395549,961.93946199952,888.35562965228,897.10518519927,199583.7773653,1050.6905578859,951.6895937212,961.90267544952,-2.4073955030678,-1.970307510063e-06,2996808054.4129,-1.970307510063e-06,3253.4913338195,3404.1076806197,3267.1656891475,3418.1278106142,11175.043148653,12397.085847185,11222.261277079,12448.023062193,1772.5123568523,2621.9888468351,1780.197327505,2632.6980542139,977.8187019756,2729.7895440091,982.31632518099,2741.0629676903,30.698271563442,690.12758466845,30.897399641799,693.27742238615,-1.4165165461226,56.373036651324,-1.402407389337,56.716150425273
120.8,218346.03519069,111809.26152227,951.39872864606,1050.7451312081,-16846.491439149,16846.491303301,17995.319277733,-2571.227939851,961.93940798171,888.35564141532,897.10518747979,199583.71252028,1050.6900084088,951.67432714234,961.89522425707,-2.4073837824434,-2.6245402362512e-06,2995617296.4543,-2.6245402362512e-06,3250.7548794332,3401.2941601955,3267.1656891475,3418.1278106142,11165.553347583,12386.85818147,11222.261277079,12448.023062193,1770.9365812651,2619.8274182059,1780.197327505,2632.6980542139,976.86171686277,2727.4702155376,982.31632518099,2741.0629676903,30.655977814881,689.43808457512,30.897399641799,693.27742238615,-1.4159944720409,56.292798278147,-1.402407389337,56.716150425273
120.9,218326.14942524,111791.09364278,951.39843802698,1050.7583263841,-16846.49354407,16846.493806608,17980.085713757,-2571.2279401168,961.93926830505,888.35565155606,897.10518836554,199583.67771962,1050.6893431696,951.65640481803,961.88612803155,-2.4073708623393,-3.3384686237148e-06,2994236542.7077,-3.3384686237148e-06,3247.979424244,3398.4422624431,3267.1656891475,3418.1278106142,11155.913980565,12376.511339867,11222.261277079,12448.023062193,1769.3248943625,2617.6555268278,1780.197327505,2632.6980542139,975.87013571398,2725.1472693493,982.31632518099,2741.0629676903,30.611229736755,688.73510643049,30.897399641799,693.27742238615,-1.4153036971866,56.208427796162,-1.402407389337,56.716150425273
121,218306.47479388,111772.76594804,951.39794350067,1050.7747490153,-16846.493259456,16846.494508558,17964.730808508,-2571.2279402805,961.93895767338,888.3556602822,897.10518445151,199583.6744659,1050.6886501506,951.63588155452,961.87536369042,-2.4073568297159,-4.0935372126738e-06,2992696334.9544,-4.0935372126738e-06,3245.1784638648,3395.5661340662,3267.1656891475,3418.1278106142,11146.171171697,12366.096446448,11222.261277079,12448.023062193,1767.6844528088,2615.4837251973,1780.197327505,2632.6980542139,974.84772400472,2722.8316298115,982.31632518099,2741.0629676903,30.564050698783,688.02175403153,30.897399641799,693.27742238615,-1.4144775425712,56.120341457566,-1.402407389337,56.716150425273
121.1,218286.92298654,111754.33696197,951.39704320634,1050.7941293872,-16846.490290217,16846.493541122,17949.300031787,-2571.2279401923,961.93834436999,888.35566746577,897.10516926833,199583.70304314,1050.6881212309,951.61283112152,961.8629361975,-2.4073417638259,-4.8727259197856e-06,2991029251.6264,-4.8727259197856e-06,3242.3601785487,3392.6742110445,3267.1656891475,3418.1278106142,11136.352871417,12355.641239965,11222.261277079,12448.023062193,1766.019591306,2613.3155145184,1780.197327505,2632.6980542139,973.79675445734,2720.5243993612,982.31632518099,2741.0629676903,30.514391686849,687.29839368296,30.897399641799,693.27742238615,-1.4135639906544,56.028806028089,-1.402407389337,56.716150425273
121.2,218267.44463429,111735.84367017,951.39545155646,1050.8161744365,-16846.484464983,16846.491300367,17933.820884443,-2571.227939681,961.93724731524,888.35567230816,897.1051304956,199583.76293812,1050.6880590304,951.58734546742,961.84887921088,-2.4073257440939,-5.6610078159602e-06,2989267401.2438,-5.6610078159602e-06,3239.5295280623,3389.7716124328,3267.1656891475,3418.1278106142,11126.476034158,12345.16077674,11222.261277079,12448.023062193,1764.3329417882,2611.1512646375,1780.197327505,2632.6980542139,972.71859497102,2718.2230387596,982.31632518099,2741.0629676903,30.462204408369,686.56454464622,30.897399641799,693.27742238615,-1.4125988747626,55.934060120138,-1.402407389337,56.716150425273
121.3,218248.01358055,111717.30970919,951.39280331678,1050.8406206695,-16846.475716113,16846.48838733,17918.310076419,-2571.2279382928,961.93544336102,888.35567363462,897.10504936964,199583.85316941,1050.6888418973,951.5595371643,961.83325697715,-2.4073088559746,-6.4453399018505e-06,2987441307.3923,-6.4453399018505e-06,3236.6895313892,3386.8615008507,3267.1656891475,3418.1278106142,11116.551002839,12334.663239266,11222.261277079,12448.023062193,1762.6261144156,2608.9901584582,1780.197327505,2632.6980542139,971.61407141407,2715.9242833786,982.31632518099,2741.0629676903,30.407462140261,685.81974623808,30.897399641799,693.27742238615,-1.4116034714457,55.836367487511,-1.402407389337,56.716150425273
121.4,218228.61744171,111698.75052376,951.38867784788,1050.8672179202,-16846.464063421,16846.485517115,17902.77785071,-2571.2279354464,961.93268537728,888.35566982764,897.10489690301,199583.97252154,1050.6908462267,951.52954260188,961.81616512435,-2.4072911943092,-7.2145127724688e-06,2985579597.6446,-7.2145127724688e-06,3233.8420466541,3383.9458003159,3267.1656891475,3418.1278106142,11106.584144999,12324.15258112,11222.261277079,12448.023062193,1760.9001049784,2606.8307699409,1780.197327505,2632.6980542139,970.48369466373,2713.6247978879,982.31632518099,2741.0629676903,30.350155928222,685.06375418941,30.897399641799,693.27742238615,-1.4105904475245,55.736030687776,-1.402407389337,56.716150425273
121.5,218209.25377858,111680.17848116,951.3826424961,1050.8956933015,-16846.449602347,16846.483411741,17887.230518791,-2571.2279302933,961.92872796833,888.35565827178,897.10463287219,199584.11969774,1050.6943538877,951.49752368353,961.79772803439,-2.4072728635253,-7.9590500830506e-06,2983708955.1596,-7.9590500830506e-06,3230.9882180681,3381.0255868783,3267.1656891475,3418.1278106142,11096.579401723,12313.629613316,11222.261277079,12448.023062193,1759.1555349984,2604.6710368279,1780.197327505,2632.6980542139,969.32779564458,2711.3208752958,982.31632518099,2741.0629676903,30.290283798981,684.29647093931,30.897399641799,693.27742238615,-1.4095695213426,55.633388262419,-1.402407389337,56.716150425273
121.6,218189.92551871,111661.60387988,951.37430585815,1050.9257282461,-16846.432494573,16846.482700557,17871.671913231,-2571.2279216427,961.92335469694,888.35563437993,897.10420528408,199584.29337139,1050.6994923554,951.46366594475,961.77809181683,-2.4072539746039,-8.6712159001745e-06,2981853993.3518,-8.6712159001745e-06,3228.1287407332,3378.1013337475,3267.1656891475,3418.1278106142,11086.53915817,12303.092633718,11222.261277079,12448.023062193,1757.392789189,2602.5081743266,1780.197327505,2632.6980542139,968.14659577617,2709.0081292175,982.31632518099,2741.0629676903,30.227841875927,683.51787776267,30.897399641799,693.27742238615,-1.4085503329015,55.528807506896,-1.402407389337,56.716150425273
121.7,218170.63389791,111643.03141541,951.36336662929,1050.9569597379,-16846.412955824,16846.483850146,17856.104218688,-2571.2279080059,961.9163999083,888.3555901698,897.10355050066,199584.49219513,1050.7062476343,951.42817181269,961.75741384906,-2.4072346396701,-9.3450982660281e-06,2980036933.3364,-9.3450982660281e-06,3225.2640057162,3375.1731023424,3267.1656891475,3418.1278106142,11076.464771248,12292.538051008,11222.261277079,12448.023062193,1755.6120923162,2600.3387753009,1780.197327505,2632.6980542139,966.94023911112,2706.6815712284,982.31632518099,2741.0629676903,30.162820305393,682.72805933308,30.897399641799,693.27742238615,-1.4075429750673,55.422676832862,-1.402407389337,56.716150425273
121.8,218151.38155461,111624.46551384,951.34964438526,1050.9890013373,-16846.391239531,16846.487136797,17840.528471585,-2571.2278875686,961.90776024834,888.35551226283,897.10259597448,199584.71476374,1050.7145535407,951.39124954557,961.73585185171,-2.4072149663283,-9.9766972324888e-06,2978277127.829,-9.9766972324888e-06,3222.3942030827,3372.2407045775,3267.1656891475,3418.1278106142,11066.356875166,12281.961159273,11222.261277079,12448.023062193,1753.8135554513,2598.159109905,1780.197327505,2632.6980542139,965.70880625522,2704.3360704596,982.31632518099,2741.0629676903,30.095203956219,681.92730597602,30.897399641799,693.27742238615,-1.4065573685956,55.31539746738,-1.402407389337,56.716150425273
121.9,218132.17014781,111605.90929219,951.33308465758,1051.0214735231,-16846.367614799,16846.492660148,17824.944900133,-2571.2278581593,961.89739451775,888.35537943163,897.1012630876,199584.95960081,1050.7244156034,951.35310008437,961.71355585874,-2.4071950539478,-1.0563945820552e-05,2976590562.0911,-1.0563945820552e-05,3219.5193725597,3369.3038254526,3267.1656891475,3418.1278106142,11056.215634145,12271.356884083,11222.261277079,12448.023062193,1751.9972124608,2595.9655161576,1780.197327505,2632.6980542139,964.45233212901,2701.9669841433,982.31632518099,2741.0629676903,30.024976168424,681.11623401625,30.897399641799,693.27742238615,-1.4056024046128,55.207374100179,-1.402407389337,56.716150425273
122,218112.99999973,111587.36487026,951.31373970865,1051.0540338511,-16846.34234247,16846.500384645,17809.353191482,-2571.2278175264,961.88531456873,888.35515993099,897.09947065714,199585.22515978,1050.7360028791,951.31390540164,961.69066527872,-2.407174993175,-1.1106616956857e-05,2974989478.4606,-1.1106616956857e-05,3216.639464435,3366.3621146029,3267.1656891475,3418.1278106142,11046.040885439,12260.720452903,11222.261277079,12448.023062193,1750.163046815,2593.7547889837,1780.197327505,2632.6980542139,963.17081911694,2699.5707593159,982.31632518099,2741.0629676903,29.952123173096,680.29587258411,30.897399641799,693.27742238615,-1.4046853069926,55.099004298894,-1.402407389337,56.716150425273
122.1,218093.87006542,111568.83350167,951.2917339883,1051.0864015705,-16846.315654558,16846.51018836,17793.75271898,-2571.2277631296,961.87157219245,888.35480915971,897.0971395104,199585.50986878,1050.749653506,951.27382152446,961.66731095552,-2.4071548684814,-1.1606103274664e-05,2973482236.1231,-1.1606103274664e-05,3213.7543717197,3363.4152487927,3267.1656891475,3418.1278106142,11035.832258613,12250.047888554,11222.261277079,12448.023062193,1748.3110106127,2591.5244788093,1780.197327505,2632.6980542139,961.86425421751,2697.1453689917,982.31632518099,2741.0629676903,29.876636847021,679.46769545882,30.897399641799,693.27742238615,-1.4038113272245,54.990667313271,-1.402407389337,56.716150425273
122.2,218074.77820596,111550.31568079,951.26722698202,1051.1183753099,-16846.287741113,16846.521903068,17778.142730819,-2571.2276923867,961.85624704343,888.35426836665,897.09419558875,199585.81216964,1050.7657840559,951.23297800399,961.6436198021,-2.4071347616767,-1.2065088416169e-05,2972073456.863,-1.2065088416169e-05,3210.8639632574,3360.4629710593,3267.1656891475,3418.1278106142,11025.589304898,12239.3363561,11222.261277079,12448.023062193,1746.441035875,2589.273101725,1780.197327505,2632.6980542139,960.5326159951,2694.6905710932,982.31632518099,2741.0629676903,29.798515308541,678.63359504599,30.897399641799,693.27742238615,-1.4029837315352,54.882713298809,-1.402407389337,56.716150425273
122.3,218055.72161834,111531.81127514,951.240384515,1051.1498445547,-16846.258747697,16846.535336418,17762.522491129,-2571.2276027658,961.83943856515,888.35346497033,897.09057283287,199586.13054932,1050.7847427081,951.19148329225,961.61971870973,-2.4071147541185,-1.2487150308271e-05,2970764442.1051,-1.2487150308271e-05,3207.9681027038,3357.5051242172,3267.1656891475,3418.1278106142,11015.31155538,12228.584426743,11222.261277079,12448.023062193,1744.5530530644,2587.0002516872,1780.197327505,2632.6980542139,959.17588175021,2692.207984275,982.31632518099,2741.0629676903,29.717761199302,677.79581282152,30.897399641799,693.27742238615,-1.4022039755889,54.775454179208,-1.402407389337,56.716150425273
122.4,218036.69728313,111513.31967901,951.21136444384,1051.1807958776,-16846.228780619,16846.550278936,17746.891365812,-2571.2274918587,961.82126220495,888.3523148874,897.08621479364,199586.46350092,1050.80667342,951.14943369782,961.5957350761,-2.4070949256906,-1.287634559427e-05,2969553795.3659,-1.287634559427e-05,3205.0666648172,3354.5416848668,3267.1656891475,3418.1278106142,11004.998584937,12217.792229252,11222.261277079,12448.023062193,1742.6469909081,2584.7066546325,1780.197327505,2632.6980542139,957.7940223,2689.7010431381,982.31632518099,2741.0629676903,29.634378823058,676.95684442076,30.897399641799,693.27742238615,-1.4014720134477,54.669156811933,-1.402407389337,56.716150425273
122.5,218017.70230265,111494.83996295,951.18031617252,1051.2113139218,-16846.197917672,16846.566503963,17731.248856157,-2571.227357367,961.80184804595,888.35072679944,897.08107607029,199586.80946161,1050.8314497736,951.10692255836,961.57179297197,-2.4070753504077,-1.3236821671064e-05,2968438156.5269,-1.3236821671064e-05,3202.1595486421,3351.5727827556,3267.1656891475,3418.1278106142,10994.650023345,12206.961546701,11222.261277079,12448.023062193,1740.7227812324,2582.3941613676,1780.197327505,2632.6980542139,956.38699934199,2687.1748514055,982.31632518099,2741.0629676903,29.5483720373,676.11933401858,30.897399641799,693.27742238615,-1.4007866496713,54.564038942845,-1.402407389337,56.716150425273
122.6,217998.73408054,111476.37101729,951.14738880875,1051.2415762471,-16846.16621901,16846.583769473,17715.594591472,-2571.2271973109,961.78133930323,888.34860782474,897.07512282311,199587.16672435,1050.8587000352,951.06404658487,961.54800636422,-2.4070560901073,-1.3572491741914e-05,2967412950.8255,-1.3572491741914e-05,3199.2466740143,3348.5987220636,3267.1656891475,3418.1278106142,10984.265553083,12196.095818855,11222.261277079,12448.023062193,1738.7803565172,2580.0656658572,1780.197327505,2632.6980542139,954.95477318539,2684.6359367574,982.31632518099,2741.0629676903,29.459744220063,675.28596183897,30.897399641799,693.27742238615,-1.4001459140503,54.460268234649,-1.402407389337,56.716150425273
122.7,217979.79036445,111457.91166371,951.1127407544,1051.2718407418,-16846.133736142,16846.601826809,17699.928299148,-2571.2270099995,961.7598889392,888.34586970302,897.06833310453,199587.53337909,1050.8879023341,951.02090784278,961.52447178251,-2.4070371884397,-1.3886793701512e-05,2966473071.8356,-1.3886793701512e-05,3196.3279774779,3345.61998483,3267.1656891475,3418.1278106142,10973.844936908,12185.200014494,11222.261277079,12448.023062193,1736.8196640719,2577.7249666041,1780.197327505,2632.6980542139,953.49731186851,2682.0919289159,982.31632518099,2741.0629676903,29.368500639785,674.45933787327,30.897399641799,693.27742238615,-1.3995474109065,54.357963979422,-1.402407389337,56.716150425273
122.8,217960.86924164,111439.46074254,951.07654495628,1051.3024248992,-16846.10051839,16846.620434724,17684.249771209,-2571.2267940991,961.73765427284,888.34243442097,897.06069649769,199587.90730479,1050.9185024584,950.97761142437,961.50126293168,-2.4070186673303,-1.4182540687663e-05,2965613443.352,-1.4182540687663e-05,3193.4034184152,3342.6372073696,3267.1656891475,3418.1278106142,10963.388016604,12174.280388663,11222.261277079,12448.023062193,1734.8406759277,2575.3765531437,1780.197327505,2632.6980542139,952.01462492454,2679.5511560614,982.31632518099,2741.0629676903,29.27465281244,673.64190313149,30.897399641799,693.27742238615,-1.3989886175766,54.257201291194,-1.402407389337,56.716150425273
122.9,217941.96908767,111421.01718379,951.0389871619,1051.3336775025,-16846.06661793,16846.639373894,17668.558839344,-2571.2265486371,961.71479077641,888.33823842309,897.05221415051,199588.28621864,1050.9500070333,950.93426051809,961.47842867998,-2.4070005267763,-1.4461861370441e-05,2964829430.5665,-1.4461861370441e-05,3190.472973672,3339.6511477413,3267.1656891475,3418.1278106142,10952.894774942,12163.34407314,11222.261277079,12448.023062193,1732.8434249711,2573.0253219713,1780.197327505,2632.6980542139,950.50680447843,2677.0221713012,982.31632518099,2741.0629676903,29.178224162228,672.83584700526,30.897399641799,693.27742238615,-1.3984671214568,54.158016930814,-1.402407389337,56.716150425273
123,217923.0885426,111402.58005934,951.00025790013,1051.3659449201,-16846.032095763,16846.658455277,17652.855363395,-2571.2262730879,961.69144686937,888.33323492557,897.04289818768,199588.66778734,1050.9820265738,950.89095123608,961.45599449889,-2.4069827477699,-1.472622203158e-05,2964117091.1942,-1.472622203158e-05,3187.5366598713,3336.6626419465,3267.1656891475,3418.1278106142,10942.36536913,12152.39860917,11222.261277079,12448.023062193,1730.8280509702,2570.6762654793,1780.197327505,2632.6980542139,948.97408444613,2674.5132829954,982.31632518099,2741.0629676903,29.079254775847,672.04304353511,30.897399641799,693.27742238615,-1.397980780624,54.060416287635,-1.402407389337,56.716150425273
123.1,217904.2264757,111384.14861921,950.96054127619,1051.3995357134,-16845.997028609,16846.677518631,17637.139231098,-2571.2259673114,961.66776105041,888.3273943357,897.03277055411,199589.04976184,1051.0142711984,950.84776950008,961.43396621832,-2.4069652970109,-1.4976518795229e-05,2963473269.412,-1.4976518795229e-05,3184.5945317357,3333.6725352628,3267.1656891475,3418.1278106142,10931.800333207,12141.451421896,11222.261277079,12448.023062193,1728.7948645153,2568.3341412989,1780.197327505,2632.6980542139,947.41690736762,2672.0320924324,982.31632518099,2741.0629676903,28.977804911429,671.26500977345,30.897399641799,693.27742238615,-1.3975278120111,53.964380753486,-1.402407389337,56.716150425273
123.2,217885.38193412,111365.72230881,950.92000453787,1051.4346880547,-16845.961517546,16846.696422656,17621.410361083,-2571.2256315173,961.64386162488,888.32070324453,897.02186209277,199589.43010814,1051.0465211729,950.8047910714,961.41233468424,-2.4069481320175,-1.5213225700972e-05,2962895544.7238,-1.5213225700972e-05,3181.646711736,3330.6816285873,3267.1656891475,3418.1278106142,10921.200639806,12130.509315992,11222.261277079,12448.023062193,1726.744418987,2566.0031853446,1780.197327505,2632.6980542139,945.83599419697,2669.5851212838,982.31632518099,2741.0629676903,28.873956305869,670.50288844923,30.897399641799,693.27742238615,-1.3971068084197,53.869874845685,-1.402407389337,56.716150425273
123.3,217866.55404229,111347.30075969,950.87879149995,1051.4715446737,-16845.925695643,16846.715031534,17605.66870021,-2571.2252663574,961.61986799808,888.3131626605,897.01021134462,199589.80712565,1051.0785988933,950.76208431847,961.39108009834,-2.4069312053692,-1.5436581283279e-05,2962382053.5901,-1.5436581283279e-05,3178.6934052722,3327.6906399274,3267.1656891475,3418.1278106142,10910.567889878,12119.578085788,11222.261277079,12448.023062193,1724.6775853225,2563.6868864257,1780.197327505,2632.6980542139,944.23241747899,2667.1775475125,982.31632518099,2741.0629676903,28.767812292488,669.75745450289,30.897399641799,693.27742238615,-1.3967166924658,53.776852465687,-1.402407389337,56.716150425273
123.4,217847.74188558,111328.88375558,950.83702137526,1051.5101390169,-16845.889733839,16846.733203747,17589.914212144,-2571.2248727517,961.59589204318,888.30478607014,896.99786330756,199590.17953685,1051.1103593721,950.71971399564,961.37017544107,-2.4069144679582,-1.5646792745877e-05,2961931209.8794,-1.5646792745877e-05,3175.7349194101,3324.7001541184,3267.1656891475,3418.1278106142,10899.904446568,12108.662257523,11222.261277079,12448.023062193,1722.5956111767,2561.3878484745,1780.197327505,2632.6980542139,942.60765112053,2664.8130737652,982.31632518099,2741.0629676903,28.65949727636,669.029139775,30.897399641799,693.27742238615,-1.3963566089495,53.685261945958,-1.402407389337,56.716150425273
123.5,217828.94433727,111310.4711675,950.79479266602,1051.5503948217,-16845.853842698,16846.750788346,17574.146855277,-2571.2244519519,961.57203802283,888.29559774582,896.98486800705,199590.54655294,1051.1417015722,950.67774352051,961.34958907123,-2.406897871237,-1.5844233998696e-05,2961541359.9674,-1.5844233998696e-05,3172.771664182,3321.7106098914,3267.1656891475,3418.1278106142,10889.21344334,12097.764954988,11222.261277079,12448.023062193,1720.5001493176,2559.1077583013,1780.197327505,2632.6980542139,940.96360124079,2662.4939404299,982.31632518099,2741.0629676903,28.549156507695,668.3180726586,30.897399641799,693.27742238615,-1.3960257842384,53.595049543435,-1.402407389337,56.716150425273
