time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,MSFR_core_Coolant_Density_Reactivity,Power,Total_Reactivity_Feedback,fml1_MSFR_core_in,fml1_MSFR_core_out,fml1_ss_MSFR_core_in,fml1_ss_MSFR_core_out,fml2_MSFR_core_in,fml2_MSFR_core_out,fml2_ss_MSFR_core_in,fml2_ss_MSFR_core_out,fml3_MSFR_core_in,fml3_MSFR_core_out,fml3_ss_MSFR_core_in,fml3_ss_MSFR_core_out,fml4_MSFR_core_in,fml4_MSFR_core_out,fml4_ss_MSFR_core_in,fml4_ss_MSFR_core_out,fml5_MSFR_core_in,fml5_MSFR_core_out,fml5_ss_MSFR_core_in,fml5_ss_MSFR_core_out,fml6_MSFR_core_in,fml6_MSFR_core_out,fml6_ss_MSFR_core_in,fml6_ss_MSFR_core_out
50,218571.73196646,111916.58062048,951.40109265616,1050.7104182672,-16846.459516822,16846.45955843,18085.754515452,-2571.2279416302,961.93967369701,888.35572448924,897.10531161907,199584.43800492,1050.6923523608,951.72926144875,961.91934001643,-2.4074342674584,0,2999999768.7134,0,3267.1495194446,3418.1264576086,3267.1495365627,3418.1264726905,11222.279444562,12448.167824887,11222.279503361,12448.167879812,1780.2141811404,2632.8047274086,1780.2141904678,2632.8047390254,982.37206393008,2741.3023501232,982.37206907718,2741.3023622187,30.957552248028,693.39804177062,30.957552410229,693.39804483012,-1.3586512959634,56.735902324638,-1.358651303082,56.735902574976
55,218571.73275256,111916.58086666,951.40106818275,1050.7103960086,-16846.459505846,16846.459541197,18085.75452909,-2571.2279408224,961.93964820337,888.35570477742,897.10528992455,199584.43875435,1050.692329273,951.72923778656,961.91931526452,-2.4074342513761,0,2999999768.7134,0,3267.1495048919,3418.1264447862,3267.1495194446,3418.1264576086,11222.279394575,12448.16777819,11222.279444562,12448.167824887,1780.2141732109,2632.8047175321,1780.2141811404,2632.8047274086,982.37205955434,2741.3023398397,982.37206393008,2741.3023501232,30.957552110135,693.39803916948,30.957552248028,693.39804177062,-1.3586512899116,56.735902111805,-1.3586512959634,56.735902324638
60,218571.73342048,111916.58107598,951.4010473915,1050.7103770904,-16846.459496526,16846.459526552,18085.754540673,-2571.227940138,961.93962654481,888.35568803329,897.10527149075,199584.43939096,1050.6923096538,951.72921768656,961.91929423664,-2.4074342377149,0,2999999768.7135,0,3267.1494925281,3418.1264338932,3267.1495048919,3418.1264447862,11222.279352107,12448.16773852,11222.279394575,12448.16777819,1780.2141664741,2632.8047091419,1780.2141732109,2632.8047175321,982.37205583677,2741.3023311037,982.37205955434,2741.3023398397,30.957551992983,693.39803695975,30.957552110135,693.39803916948,-1.3586512847701,56.735901930998,-1.3586512899116,56.735902111805
65,218571.73398791,111916.5812537,951.40102972873,1050.7103610172,-16846.459488603,16846.459514117,18085.75455051,-2571.2279395545,961.93960814344,888.35567380501,897.1052558287,199584.43993179,1050.6922929816,951.72920060923,961.91927637027,-2.4074342261062,0,2999999768.7135,0,3267.1494820242,3418.1264246384,3267.1494925281,3418.1264338932,11222.279316027,12448.167704816,11222.279352107,12448.16773852,1780.2141607507,2632.8047020133,1780.2141664741,2632.8047091419,982.37205267845,2741.3023236814,982.37205583677,2741.3023311037,30.957551893454,693.39803508231,30.957551992983,693.39803695975,-1.358651280402,56.735901777381,-1.3586512847701,56.735901930998
70,218571.73446997,111916.58140478,951.40101472188,1050.7103473623,-16846.459481872,16846.459503553,18085.754558875,-2571.2279390595,961.93959250909,888.35566171727,897.10524252323,199584.44039136,1050.6922788173,951.7291860994,961.91926119044,-2.4074342162433,0,2999999768.7136,0,3267.1494731012,3418.1264167771,3267.1494820242,3418.1264246384,11222.279285378,12448.167676186,11222.279316027,12448.167704816,1780.2141558886,2632.8046959582,1780.2141607507,2632.8047020133,982.37204999544,2741.3023173768,982.37205267845,2741.3023236814,30.957551808905,693.39803348759,30.957551893454,693.39803508231,-1.3586512766913,56.735901646896,-1.358651280402,56.735901777381
75,218571.73487964,111916.58153306,951.40100197156,1050.7103357611,-16846.459476158,16846.459494576,18085.754565982,-2571.2279386389,961.93957922584,888.35565144689,897.1052312193,199584.44078176,1050.6922667844,951.72917377176,961.91924829367,-2.4074342078644,0,2999999768.7136,0,3267.1494655197,3418.1264100976,3267.1494731012,3418.1264167771,11222.279259336,12448.167651861,11222.279285378,12448.167676186,1780.2141517576,2632.8046908133,1780.2141558886,2632.8046959582,982.37204771583,2741.3023120199,982.37204999544,2741.3023173768,30.957551737067,693.39803213258,30.957551808905,693.39803348759,-1.3586512735386,56.735901536025,-1.3586512766913,56.735901646896
80,218571.73522765,111916.58164207,951.40099113848,1050.7103259043,-16846.459471296,16846.459486945,18085.754572007,-2571.2279382818,961.93956794005,888.35564272066,897.10522161278,199584.44111353,1050.6922565604,951.72916329792,961.91923733629,-2.4074342007446,0,2999999768.7136,0,3267.1494590757,3418.1264044197,3267.1494655197,3418.1264100976,11222.279237202,12448.167631183,11222.279259336,12448.167651861,1780.2141482464,2632.8046864399,1780.2141517576,2632.8046908133,982.37204577825,2741.3023074662,982.37204771583,2741.3023120199,30.957551676008,693.39803098077,30.957551737067,693.39803213258,-1.3586512708588,56.73590144178,-1.3586512735386,56.735901536025
85,218571.73552337,111916.58173472,951.40098193431,1050.7103175294,-16846.459467166,16846.459480466,18085.754577135,-2571.2279379779,961.93955835113,888.35563530484,897.10521345132,199584.44139541,1050.6922478738,951.72915439853,961.91922802597,-2.4074341946951,0,2999999768.7136,0,3267.1494536025,3418.1263995973,3267.1494590757,3418.1264044197,11222.279218402,12448.167613621,11222.279237202,12448.167631183,1780.2141452642,2632.8046827255,1780.2141482464,2632.8046864399,982.37204413256,2741.3023035988,982.37204577825,2741.3023074662,30.957551624147,693.39803000251,30.957551676008,693.39803098077,-1.3586512685828,56.735901361736,-1.3586512708588,56.73590144178
90,218571.73577454,111916.58181339,951.40097411426,1050.7103104138,-16846.459463662,16846.459474957,18085.754581492,-2571.22793772,961.93955020403,888.35562900676,897.10520651871,199584.44163487,1050.6922404934,951.72914683749,961.91922011595,-2.4074341895563,0,2999999768.7136,0,3267.1494489522,3418.1263955,3267.1494536025,3418.1263995973,11222.279202429,12448.167598699,11222.279218402,12448.167613621,1780.2141427303,2632.8046795696,1780.2141452642,2632.8046827255,982.37204273429,2741.3023003127,982.37204413256,2741.3023035988,30.957551580083,693.39802917133,30.957551624147,693.39803000251,-1.3586512666489,56.735901293726,-1.3586512685828,56.735901361736
95,218571.73598804,111916.58188029,951.40096746987,1050.7103043682,-16846.459460681,16846.459470282,18085.754585192,-2571.227937501,961.939543282,888.35562365362,897.10520062615,199584.44183833,1050.6922342227,951.72914041346,961.91921339524,-2.4074341851894,0,2999999768.7136,0,3267.1494450008,3418.1263920188,3267.1494489522,3418.1263955,11222.279188856,12448.167586021,11222.279202429,12448.167598699,1780.2141405773,2632.8046768882,1780.2141427303,2632.8046795696,982.37204154619,2741.3022975209,982.37204273429,2741.3023003127,30.957551542643,693.39802846514,30.957551580083,693.39802917133,-1.3586512650058,56.735901235944,-1.3586512666489,56.735901293726
