time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,MSFR_core_Coolant_Density_Reactivity,Total_Reactivity_Feedback,fml1_MSFR_core_in,fml1_MSFR_core_out,fml1_ss_MSFR_core_in,fml1_ss_MSFR_core_out,fml2_MSFR_core_in,fml2_MSFR_core_out,fml2_ss_MSFR_core_in,fml2_ss_MSFR_core_out,fml3_MSFR_core_in,fml3_MSFR_core_out,fml3_ss_MSFR_core_in,fml3_ss_MSFR_core_out,fml4_MSFR_core_in,fml4_MSFR_core_out,fml4_ss_MSFR_core_in,fml4_ss_MSFR_core_out,fml5_MSFR_core_in,fml5_MSFR_core_out,fml5_ss_MSFR_core_in,fml5_ss_MSFR_core_out,fml6_MSFR_core_in,fml6_MSFR_core_out,fml6_ss_MSFR_core_in,fml6_ss_MSFR_core_out,C1,C2,C3,C4,C5,C6,Core_In_Branch:pressure,Core_In_Branch:rho,Core_In_Branch:temperature,Core_In_Branch:velocity,Core_Out_Branch:pressure,Core_Out_Branch:rho,Core_Out_Branch:temperature,Core_Out_Branch:velocity,IHX1_P3:pressure,IHX1_P3:rho,IHX1_P3:temperature,IHX1_P3:velocity,IHX1_P4:pressure,IHX1_P4:rho,IHX1_P4:temperature,IHX1_P4:velocity,J_IHX2_P6:pressure,J_IHX2_P6:rho,J_IHX2_P6:temperature,J_IHX2_P6:velocity,J_P2_IHX1:pressure,J_P2_IHX1:rho,J_P2_IHX1:temperature,J_P2_IHX1:velocity,J_P4_P5:pressure,J_P4_P5:rho,J_P4_P5:temperature,J_P4_P5:velocity,J_P5_IHX2:pressure,J_P5_IHX2:rho,J_P5_IHX2:temperature,J_P5_IHX2:velocity,J_P6_P7:pressure,J_P6_P7:rho,J_P6_P7:temperature,J_P6_P7:velocity,P8_IHX1:pressure,P8_IHX1:rho,P8_IHX1:temperature,P8_IHX1:velocity,Pf,pump2:pressure,pump2:pump_head,pump2:rho,pump2:temperature,pump2:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity,reactor:power
-1000,100000,100000,898.15,898.15,-18982.93104,47.39808,145.1730429212,-19.293212239961,898.15,898.15,898.15,100000,898.15,898.15,898.15,-2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18279.393802414,64708.186344985,12025.494072096,9958.1425855401,1802.8669082536,182.43063598891,100000,4191.3917,898.15,0.01,100000,4191.3917,898.15,0.01,100000,4191.3917,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,100000,4191.3917,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,1,100000,176000,1974.92,898.15,0.01,100000,156010.45,4191.3917,898.15,0.01,3000000000
-999.95,246153.22104166,103753.68525164,898.09491471672,898.17408398991,-5937.1304360116,5930.3246869164,2115.6210072351,-2549.4444381774,898.19172498414,898.11631436989,898.24712950063,-19957.985041187,898.15000002857,898.15000000237,898.15000001237,-0.83507326821697,0,0,-0.008071212192493,0.013286764009569,0,0,-0.065455597691796,0.10774218976318,0,0,-0.045509121882489,0.074874666459432,0,0,-0.096835820060989,0.15915977056475,0,0,-0.048544997536196,0.079547419698582,0,0,-0.013641376050919,0.022143105296513,0,0,18279.393802414,64708.186344985,12025.494072096,9958.1425855401,1802.8669082536,182.43063598891,246281.96806958,4191.3916999905,898.15000001078,0.22533653057497,103384.83236184,4191.3704579221,898.17408398856,0.27349187371561,282945.28587452,4191.3916999897,898.15000001163,0.225336530573,99302.92133706,1974.9200000171,898.14999996486,0.8350732681633,-75208.386363341,1974.9364385568,898.11631443269,0.83507326830542,228511.53775937,4191.3916999848,898.15000001724,0.22533653057063,30586.457764838,1974.9200000026,898.14999999461,0.83411602135457,26572.135192437,1974.9199999673,898.15000006691,0.83411602144177,-109179.01229685,1974.9199810066,898.1500389208,0.83507326827392,-19269.382413941,1974.9200000279,898.14999994282,0.83507326820906,1,14081.479595006,176000,1974.9200000347,898.14999992886,0.83507326825093,222872.76323885,156010.45,4191.3916999779,898.15000002504,0.22533653056937,3000000000
-999.89875,241916.36752997,104082.35500627,897.99319898529,898.29530857016,-8015.1507752925,8013.3053733169,4167.8696987406,-2596.862449788,898.18943844415,897.89312994162,898.41482778568,288995.76019947,898.15000004268,898.15000000558,898.15000001323,-1.1273523843577,0,0,-0.05951318441904,0.091302628262242,-0.008071212192493,0.013286764009569,-0.48255709545755,0.74020917842912,-0.065455597691796,0.10774218976318,-0.33523130920282,0.51384923385305,-0.045509121882489,0.074874666459432,-0.71203667318317,1.0897073811675,-0.096835820060989,0.15915977056475,-0.35498026620715,0.54069398955407,-0.048544997536196,0.079547419698582,-0.097876319509685,0.14685153593334,-0.013641376050919,0.022143105296513,18279.393076006,64708.180457769,12025.489991831,9958.1339632261,1802.8626763278,182.42952817087,242411.16450805,4191.3916999904,898.15000001088,0.44392322376194,102886.67243512,4191.2635378429,898.29530856815,0.49181426463238,280163.89956154,4191.391699995,898.15000000562,0.44392322376241,98748.554759691,1974.9199999949,898.15000001043,1.1273523843531,140365.92210672,1975.0453525874,897.89312994382,1.1273523854229,226956.02514029,4191.3916999902,898.15000001109,0.44392322376209,91092.79488792,1974.9200000002,898.14999999966,1.1270928236338,92347.752235384,1974.9199999993,898.15000000146,1.1270928236348,137380.11694212,1974.9198633449,898.15028003099,1.1273523843592,290250.74621854,1974.9200000015,898.14999999683,1.1273523843564,1,292106.94902608,176000,1974.9200001378,898.14999971753,1.1273523843591,221589.47354757,156010.45,4191.3916999024,898.15000011063,0.44392322376141,3000000000
-999.84621875,241535.78513512,104816.16324888,897.81060320633,898.59327034707,-9868.2045049799,9875.6699287871,6154.3620864704,-2568.7770451947,898.16177044562,897.30457529091,896.70421856469,188333.15525929,898.14999996694,898.14999992433,898.14999999117,-1.3879893454333,0,0,-0.21354778070356,0.35169952659366,-0.05951318441904,0.091302628262242,-1.7310276390908,2.850200193185,-0.48255709545755,0.74020917842912,-1.2008242548618,1.9748557298736,-0.33523130920282,0.51384923385305,-2.5426192734431,4.170771222256,-0.71203667318317,1.0897073811675,-1.2555423477259,2.0435284325615,-0.35498026620715,0.54069398955407,-0.33530981757048,0.53230769376752,-0.097876319509685,0.14685153593334,18279.387568711,64708.135837435,12025.459113106,9958.0689266908,1802.8310787727,182.42153569088,242613.03502942,4191.3916999642,898.15000004061,0.65550615904151,102371.49128282,4191.0007355879,898.59327030852,0.7031323089171,280112.77991117,4191.3917000617,898.14999993001,0.65550615904732,98092.66417921,1974.9199635667,898.15007465846,1.3890393769605,68880.11886832,1975.3325672516,897.30457530419,1.3879893515491,226965.67621862,4191.3917000193,898.14999997816,0.65550615902923,69832.474562425,1974.9199999478,898.15000010694,1.3890393772705,68067.076655815,1974.9199999645,898.15000007282,1.3890393773582,56006.608179927,1974.9193559099,898.15131985683,1.3879893455025,190235.51118657,1974.9200000001,898.14999999986,1.3879893452972,0.99999999999999,201396.39342061,176000,1974.9200008797,898.14999819728,1.3879893453744,221783.82979427,156010.45,4191.3916993099,898.15000078242,0.65550615898104,3000000000
-999.79237421875,239725.71520413,105700.15068563,897.56551429962,899.15087467343,-11453.982697124,11474.532777478,8026.9905720879,-2572.5507429966,898.13961661301,896.2437960619,895.04524298428,190567.23027307,898.14999993151,898.14999992529,898.14999998307,-1.6110332876111,0,0,-0.50602684259846,0.97627145125715,-0.21354778070356,0.35169952659366,-4.1005692167914,7.9080798848207,-1.7310276390908,2.850200193185,-2.8401535750624,5.466838791549,-1.2008242548618,1.9748557298736,-5.9932782790179,11.488092482425,-2.5426192734431,4.170771222256,-2.9288847207264,5.5438322113536,-1.2555423477259,2.0435284325615,-0.75589119630254,1.3740248674981,-0.33530981757048,0.53230769376752,18279.36547791,64707.956942166,12025.335600778,9957.8101046439,1802.7072736197,182.3918092416,241557.52853812,4191.391699952,898.15000005445,0.85496135663399,101674.71766833,4190.5089286926,899.15087449818,0.90232301808494,279304.42207948,4191.391700064,898.14999992742,0.85496135663425,97421.821138937,1974.9196493579,898.15071852883,1.6139237113031,69506.148493994,1975.8502275203,896.24379606499,1.6110332955188,226287.54258447,4191.391700056,898.14999993648,0.85496135663787,69012.664887652,1974.9199999802,898.15000004061,1.6139237113323,66248.765069487,1974.919999996,898.15000000818,1.6139237113343,57002.924362036,1974.9181644572,898.15376135819,1.6110332876106,193130.1118576,1974.9199999653,898.15000007118,1.6110332876066,0.99999999999973,203325.34024687,176000,1974.9200030546,898.14999374065,1.6110332876052,221416.76085564,156010.45,4191.3916952679,898.15000536514,0.85496135662854,2999999999.9992
-999.73718357422,237678.51731748,106708.15800592,897.31983231763,900.04784819929,-12763.870477455,12799.857307918,9746.4180479304,-2572.0720700928,898.13348137538,894.70597933384,893.21046983633,192578.83331138,898.15000001534,898.14999997747,898.14999999397,-1.7952725057783,0,0,-0.89934476071178,2.189926460476,-0.50602684259846,0.97627145125715,-7.2856489741711,17.729854237747,-4.1005692167914,7.9080798848207,-5.0389080329284,12.225587886541,-2.8401535750624,5.466838791549,-10.599541488279,25.549582252486,-5.9932782790179,11.488092482425,-5.1304698026891,12.124712590581,-2.9288847207264,5.5438322113536,-1.2835304391409,2.8465961590373,-0.75589119630254,1.3740248674981,18279.303596562,64707.456103321,12024.990786106,9957.0919732119,1802.3701677397,182.31578268514,240378.41366772,4191.3916999636,898.15000004125,1.0380989888862,100886.80738391,4189.7177985355,900.04784746537,1.0851976560695,278449.0324049,4191.3917000163,898.14999998155,1.0380989888714,96784.696782843,1974.9187048396,898.15265401729,1.8003341496516,70062.941511968,1976.600682085,894.70597933411,1.7952725043071,225468.80017205,4191.3916999166,898.15000009454,1.0380989888665,68203.817869533,1974.9199998991,898.15000020675,1.8003341497001,64495.748460977,1974.9199999624,898.15000007713,1.8003341497201,57888.525455263,1974.9167643397,898.1566304514,1.7952725058043,195761.4202205,1974.9199999675,898.15000006655,1.7952725057695,1.0000000000013,205068.30516634,176000,1974.9200061508,898.14998739584,1.7952725057728,220960.8942247,156010.45,4191.3916764667,898.15002668172,1.0380989888524,3000000000.0039
-999.68061316357,235534.33031421,107768.12969566,897.14881718737,901.35619897798,-13815.835942287,13868.077150858,11285.25558079,-2571.796169494,898.13734896712,892.77150152036,891.28410541153,194366.66994851,898.15000117291,898.15000003106,898.15000001358,-1.9432342607256,0,0,-1.280744380394,4.2320075062156,-0.89934476071178,2.189926460476,-10.373010910727,34.24375072219,-7.2856489741711,17.729854237747,-7.1661418822798,23.548749281896,-5.0389080329284,12.225587886541,-15.037491863881,48.923591475015,-10.599541488279,25.549582252486,-7.2250870646399,22.806158664635,-5.1304698026891,12.124712590581,-1.7659387167097,5.0573730607024,-1.2835304391409,2.8465961590373,18279.166364076,64706.346133339,12024.229043348,9955.5165767068,1801.6462734422,182.16367841896,239153.65339698,4191.3916999829,898.15000001934,1.2020018380108,100060.89648805,4188.5638344842,901.35619672996,1.248840507196,277597.608696,4191.3916999736,898.15000002989,1.2020018380074,96214.286789395,1974.9169171219,898.1563173732,1.9505821264356,70691.484334105,1977.5447072577,892.77150152118,1.9432342618618,224572.04182727,4191.3916983766,898.15000184062,1.2020018380501,67402.112929389,1974.9199996054,898.15000080854,1.9505821264576,62850.074053002,1974.9199999121,898.15000018013,1.9505821264694,58765.094960501,1974.917628406,898.15485982373,1.9432342607395,198095.47630132,1974.9199999914,898.15000001757,1.9432342607205,0.99999999999978,206659.96386352,176000,1974.9200020132,898.14999587455,1.9432342607303,220452.24792925,156010.45,4191.3916127462,898.15009892717,1.2020018380432,2999999999.9993
-999.62262849266,233419.39871185,108813.97946527,897.10408038237,903.13704819193,-14635.681931812,14703.801703972,12629.137642537,-2571.6471166497,898.14270518081,890.56219185004,889.30527581105,195759.03926845,898.15000901202,898.15000004378,898.15000003204,-2.0585477908646,0,0,-1.5176608970031,7.3265242644687,-1.280744380394,4.2320075062156,-12.29058644464,59.248748571111,-10.373010910727,34.24375072219,-8.4866366331741,40.627927155341,-7.1661418822798,23.548749281896,-17.789096847182,83.883697886603,-15.037491863881,48.923591475015,-8.5194884549608,38.377721902394,-7.2250870646399,22.806158664635,-2.0623870443488,8.022368244276,-1.7659387167097,5.0573730607024,18278.907111368,64704.250755795,12022.796148491,9952.5760661145,1800.3267666626,181.90729053706,237952.03629168,4191.3916999923,898.15000000869,1.3451398198217,99245.878595865,4186.9931284327,903.13704259329,1.3917233785155,276790.18266709,4191.3916999616,898.15000004355,1.3451398198192,95729.39821271,1974.9144397064,898.16139404418,2.0681290192964,71059.686616065,1978.6228503772,890.5621918501,2.0585478349672,223659.51203205,4191.391689148,898.15001230384,1.3451398200562,66761.608766612,1974.9199988682,898.15000231921,2.0681290192935,61505.972296922,1974.9199997356,898.15000054175,2.068129019295,59358.470101992,1974.9273408314,898.13495731279,2.0585477908487,199943.51853468,1974.9200000925,898.14999981035,2.0585477908414,1.0000000000016,207869.26886118,176000,1974.9199671951,898.15006722319,2.0585477908318,219928.05059963,156010.45,4191.3914514926,898.15028175447,1.3451398200623,3000000000.0049
-999.56319420498,231433.27249002,109793.00507645,897.19057724036,905.43852954428,-15257.966880704,15340.873875436,13775.954149192,-2571.4938439371,898.1467712137,888.19958792396,887.30024932465,196842.46954496,898.1500431488,898.15000000769,898.15000012086,-2.146073832377,0,0,-1.5316551671664,11.65757748048,-1.5176608970031,7.3265242644687,-12.405473176798,94.215979186288,-12.29058644464,59.248748571111,-8.571205736527,64.41316855761,-8.4866366331741,40.627927155341,-17.99007004172,132.13417627612,-17.789096847182,83.883697886603,-8.6494543508045,59.288232967312,-8.5194884549608,38.377721902394,-2.1195635833324,11.666261825984,-2.0623870443488,8.022368244276,18278.469297172,64700.714995875,12020.387688009,9947.6754872029,1798.1841484223,181.52511352153,236826.86463331,4191.3917000028,898.14999999686,1.4672881875734,98480.8853386,4184.9632275216,905.43851754915,1.5136237774553,276054.5020947,4191.3916999924,898.15000000858,1.4672881875716,95333.975195394,1974.9118866667,898.16662568303,2.1577349238861,71334.887846066,1979.7758010927,888.19958792475,2.1460739433554,222784.11349352,4191.3916521133,898.15005429328,1.4672881889381,66233.548598828,1974.9199976103,898.15000489688,2.1577349238815,60413.122482187,1974.9199992589,898.15000151873,2.1577349238907,59809.744612364,1974.960961079,898.06606336278,2.1460738322299,201390.34780374,1974.9200003583,898.14999926571,2.1460738322401,1.0000000000023,208809.17840116,176000,1974.9198618883,898.1502830158,2.1460738322444,219420.81282871,156010.45,4191.3911393968,898.15063560451,1.4672881889421,3000000000.007
-999.5022740601,229643.11683019,110669.42291338,897.36852500726,908.29438529909,-15719.17840642,15815.568153644,14733.753781391,-2571.3498817817,898.14811871366,885.78094234658,885.28474281928,197654.55019861,898.15014883512,898.14999997067,898.15000058536,-2.210944466644,0,0,-1.3388440067809,17.353848502388,-1.5316551671664,11.65757748048,-10.849609827193,140.16419342278,-12.405473176798,94.215979186288,-7.5156904754424,95.530777655848,-8.571205736527,64.41316855761,-15.86224715818,194.65689822401,-17.99007004172,132.13417627612,-7.7489269206376,85.605737663112,-8.6494543508045,59.288232967312,-1.9851945889963,15.841371238847,-2.1195635833324,11.666261825984,18277.785885559,64695.200568644,12016.647268756,9940.1346745938,1794.978778152,181.00396597264,235813.38085401,4191.3917000034,898.14999999617,1.5693042128251,97792.648971214,4182.4443721854,908.29436260163,1.615401466252,275406.41377582,4191.3917000267,898.14999996973,1.5693042128184,95021.731548303,1974.9102787756,898.16992054184,2.2245019442168,71528.843577056,1980.9561001349,885.78094234659,2.2109446262356,221984.43969418,4191.3915449258,898.15017582108,1.5693042183124,65812.130432724,1974.9199963167,898.15000754776,2.2245019442231,59554.628326234,1974.9199983476,898.15000338608,2.2245019442111,60137.471247641,1975.0487103544,897.88624927373,2.2109444658628,202481.52665808,1974.9200006267,898.14999871578,2.2109444660159,1.000000000004,209511.47927017,176000,1974.9196755672,898.15066482138,2.2109444660217,218954.89949289,156010.45,4191.3906770542,898.15115980249,1.5693042183123,3000000000.0121
