time,2Dreceiver_temperature_in,2Dreceiver_temperature_out,2Dreceiver_velocity_in,2Dsource_pressure_in,2Dsource_pressure_out,2Dsource_temperature_in,2Dsource_temperature_out,2Dsource_velocity_in,2Dsource_velocity_out,Tfluid_pebble_avg,Tfluid_pebble_max,Tsolid_brick_avg,Tsolid_brick_max,Tsolid_core_barrel_avg,Tsolid_core_barrel_max,Tsolid_pebble_avg,Tsolid_pebble_max,Tsolid_reflector_avg,Tsolid_reflector_max,Tsolid_rpv_avg,Tsolid_rpv_max,core_pressure_in,core_pressure_out,dpdz_core,mflow_core_in,mflow_core_out,pebble_bed_volume,total_power
-200000,523.15,0,0,7000000,7000000,523.15,523.15,1,1,523.15,523.15,523.15,523.15,523.15,523.15,523.15,523.15,523.15,523.15,523.15,523.15,7000000,7000000,0,44.748374518835,-44.748374518835,77.754418176347,250000000.03158
-199999.995,523.15,523.15,-2,55905.982593884,0,523.15000000186,-6.7652179612582e-50,3.0055496843784e-52,-2.4855370303129,523.11718480277,523.60177049247,523.15000000556,523.15000249642,523.14999999958,523.15000000341,523.15854832181,523.16202172256,523.15004836356,523.18773217838,523.1500000001,523.15000000372,55905.982593884,0,-4022.0131362507,1.3451865945595e-50,116.26610976569,77.754418176347,249999989.06615
-199999.99,523.15,523.15,-2,178216.53648151,0,523.15000002665,-47.992225914755,-2,-2.1773157335052,523.0885806232,524.10555108568,523.15000001125,523.15000512588,523.14999984356,523.15000011017,523.16708178848,523.17403761148,523.15009921364,523.23706788385,523.14998360878,523.15001190983,178216.53648151,0,-12821.333559821,-89.513515713306,101.84842429582,77.754418176347,249999989.06615
-199999.985,523.15,523.15,-2,27897.408312662,0,523.15000000007,34.255546411431,-1.9999999999991,-1.7054438898014,523.06015620441,524.700296481,523.1500000167,523.15000734347,523.14999963572,523.1500002514,523.17560101203,523.18604890077,523.15015579226,523.28658161094,523.14996175364,523.1500277831,27897.408312662,0,-2007.0077922778,-89.51351571761,79.775647706164,77.754418176347,249999989.06615
-199999.98,523.15,523.15,-2,71274.079584355,0,523.14999999998,140.13187753357,-1.9999999999999,-1.5633670997213,523.03323343836,525.36628403258,523.15000002183,523.15000909773,523.14999941061,523.15000040403,523.18410559718,523.19805614772,523.15021729671,523.33241986262,523.14993807726,523.15004497824,71274.079584355,0,-5127.6316247737,-89.513515717659,73.129713459699,77.754418176347,249999989.06615
-199999.975,523.15,523.15,-2,72460.691525788,0,523.15,240.4456606998,-2,-1.624454587032,523.00906954027,526.07731441098,523.15000002666,523.15001045718,523.14999917978,523.15000056039,523.1925952444,523.2100596721,523.15028254548,523.37401043735,523.1499137938,523.15006261319,72460.691525788,0,-5212.9993903444,-89.513515717662,75.987206395175,77.754418176347,249999989.06615
-199999.97,523.15,523.15,-2,71005.31909537,0,523.15,322.28691431142,-2,-1.5460576903914,522.9889714154,526.80363841171,523.15000003117,523.15001144157,523.14999894706,523.15000071792,523.20107171225,523.22205970624,523.15035059263,523.40958329201,523.14988930801,523.15008039406,71005.31909537,0,-5108.2963377964,-89.513515717662,72.320030215964,77.754418176347,249999989.06615
-199999.965,523.15,523.15,-2,70976.527056179,0,523.15,385.41361280232,-2,-1.5085523290872,522.97364381203,527.52277921112,523.1500000354,523.15001212306,523.14999871374,523.15000087577,523.20953675718,523.2340564462,523.15042047164,523.43914153861,523.14986475477,523.15009822286,70976.527056179,0,-5106.2249680704,-89.513515717662,70.565639755866,77.754418176347,249999989.06615
-199999.96,523.15,523.15,-2,70908.198735753,0,523.15,432.98500290049,-2,-1.5128915377258,522.96338922115,528.21634588521,523.15000003941,523.15001257563,523.14999848026,523.15000103368,523.21799222107,523.24605006954,523.15049144849,523.46333821503,523.14984017907,523.15011606695,70908.198735753,0,-5101.309261565,-89.513515717662,70.768615169922,77.754418176347,249999989.06615
-199999.955,523.15,523.15,-2,71212.632797612,0,523.15,468.58607743557,-2,-1.6068231399968,522.95830269886,528.86813762741,523.15000004325,523.15001285925,523.14999824675,523.15000119154,523.22644000079,523.25804074161,523.1505630617,523.48302954873,523.14981559588,523.15013391543,71212.632797612,0,-5123.2109926339,-89.513515717662,75.162459175026,77.754418176347,249999989.06615
