time,Hw_core_max,Hw_core_min,cold_leg_T_in,cold_leg_T_out,cold_leg_p_in,cold_leg_p_out,comp_T_in,comp_T_out,comp_T_ratio,comp_dissipation_torque,comp_friction_torque,comp_isentropic_torque,comp_m_dot,comp_p_in,comp_p_out,comp_p_ratio,compressor:efficiency,compressor:pressure_ratio,compressor:rel_corrected_flow,compressor:rel_corrected_speed,compressor_torque,core/core_heating:power_shape_fn:integral,core_T_difference,core_T_in,core_T_out,core_T_wall_difference,core_T_wall_in,core_T_wall_out,core_m_dot_difference,core_m_dot_in,core_m_dot_out,core_p_difference,core_p_in,core_p_out,core_power_difference,core_power_flux,core_power_in,core_power_out,cycle_efficiency,f_D_hot_leg,f_D_pipe6,generator_power,generator_torque,hot_leg_T_in,hot_leg_T_out,hot_leg_p_in,hot_leg_p_out,hx_pri_T_difference,hx_pri_T_in,hx_pri_T_out,hx_pri_m_dot_difference,hx_pri_m_dot_in,hx_pri_m_dot_out,hx_pri_p_difference,hx_pri_p_in,hx_pri_p_out,hx_pri_power_difference,hx_pri_power_flux,hx_pri_power_in,hx_pri_power_out,hx_sec_T_difference,hx_sec_T_in,hx_sec_T_out,hx_sec_m_dot_difference,hx_sec_m_dot_in,hx_sec_m_dot_out,hx_sec_p_difference,hx_sec_p_in,hx_sec_p_out,hx_sec_power_difference,hx_sec_power_flux,hx_sec_power_in,hx_sec_power_out,pipe6_p_out,pump_T_difference,pump_T_in,pump_T_out,pump_p_difference,pump_p_in,pump_p_out,sec_motor_power,sec_motor_torque,shaft_RPM,shaft_speed,time_simulation,trip_time,turb_T_in,turb_T_out,turb_dissipation_torque,turb_friction_torque,turb_isentropic_torque,turb_m_dot,turb_p_in,turb_p_out,turb_p_ratio,turbine:efficiency,turbine:pressure_ratio,turbine:rel_corrected_flow,turbine:rel_corrected_speed,turbine_torque,PID_trip_status,circ/shaft:omega,shaft:omega,time_trip,total_power:power
0,0,0,400,400,100000,100000,300,400,0.25,0,0,0,0,100000,100000,1,0.79,1,5.6560530254185e-08,0,0,0.0056826017291218,0,400,400,0,400,400,-1.9823822386422e-13,1.3575036014021e-05,1.3575035815783e-05,0,9000000,9000000,-4.1083091062433e-07,1.578538359724e-12,28.133042140441,28.13304172961,-0,0,0,-0,-0,300,300,100000,100000,0,400,400,0,1.5302798475948e-05,1.5302798475948e-05,0,9000000,9000000,-7.105427357601e-15,-1.2474418733111e-11,31.713674567483,31.713674567483,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,5.6843418860808e-14,400,400,0,9000000,9000000,0,0,0,0,0,0,400,400,0,0,0,0,100000,100000,1,0.843,1,1.1261254651088e-07,0,0,0,2,0,0,15000000
0.1,438.96720436003,438.59272037471,400.00374547269,400.00485938659,100003.27780061,100004.25172921,300.14961152912,400.00346390189,0.24963246917597,-1.3124303803419e-14,0,-4.5935063311965e-14,-0.0016640074422961,100001.0795012,100003.03071358,1.0000195119132,0.79,1,-0.00011125847997313,0.0019212964489965,-5.9059367115383e-14,0.0056826017291218,-0.0098923312210673,400.02038023876,400.01048790754,-3.3728872551819e-05,399.99937152651,399.99933779764,-0.001920743285893,1.9660472013759,1.96412645809,-404.57255586982,9001094.9289957,9000690.3564398,-4086.5006230008,-504.19058394746,4074675.0942716,4070588.5936486,0.018879153260733,0.089948107249202,0.10455977006394,-9.5186913069626,-0.48781890356368,299.97543341244,300.02686323319,99998.270394205,99999.809717268,-0.0017826096440672,399.98567857724,399.98389596759,0.0036756700466118,1.9820105202436,1.9856861902902,-622.95495020598,8998924.3865275,8998301.4315773,7658.5629640571,2087.0108768059,4107364.4484919,4115023.011456,0.0029831785710712,400.00786042847,400.01084360704,-0.00040036289289533,-0.002060682304523,-0.0024610451974183,2.58710329725,100006.96718232,100009.55428562,-160.72158079477,-0.9529690027742,-827.1445411204,-987.86612191517,99998.011686736,0.15148943070352,399.95473992926,400.10622935996,8892.1598942988,8997366.3532528,9006258.5131471,15239.474294008,781.000602,186.33309560599,19.512756142547,0.1,0.1,400.01521007413,399.99743859319,0.00047256339895669,0,-0.0030099579551592,-0.0029137067152914,100013.30835074,99997.758195973,1.0001555050338,0.843,1.0001762412883,-0.00039004556520722,0.0032796002117596,-0.0025373945562026,0,2.6475452551616,19.512756142547,0.1,15000000
0.22,898.35370464229,897.91381814636,400.00914417328,400.01152827909,100008.00495985,100010.08669267,300.5945780138,400.00851468063,0.2485295512927,-9.8615665026189e-15,0,-1.9723133005238e-14,-0.0054902679387378,100002.63619845,100007.44970505,1.0000481337971,0.79,1,-0.00036774243717861,0.0042195757682686,-2.9584699507857e-14,0.0056826017291218,-0.023383009268287,400.03965075341,400.01626774414,-0.00017401240171466,399.99926926841,399.999095256,-0.0025603028448948,4.8123543264259,4.8097940235811,-747.78199470788,9002186.7043314,9001438.9223367,-5903.7281977702,-1897.0328547565,9974300.435773,9968396.7075752,0.024237876557479,0.035444688027935,0.042548932979413,-45.980048159071,-1.072147939408,299.92855724226,300.08242344919,99997.604725067,99999.732816612,-0.0029406506317855,399.9891063885,399.98616573787,-0.00026979775305414,4.81443682629,4.814167028537,-1992.5233952589,8999077.6914145,8997085.1680193,-502.25192333572,1412.1389175422,9977251.4731669,9976749.2212436,0.008578045730701,400.01902714767,400.0276051934,-0.00058536705999036,-0.0060108850678108,-0.0065962521278012,7.3384559380211,100017.17849253,100024.51694847,-235.1101906469,-5.3890192109897,-2412.7718250355,-2647.8820156824,99997.225513905,0.1994502006695,399.92808447521,400.12753467588,13217.516025826,8995547.419137,9008764.9351628,33426.03429896,779.41749152215,409.53034627817,42.885917576319,0.22,0.22,400.03732620475,399.99645487006,0.0011644121633461,0,-0.007416637983091,-0.0072374934892805,100032.66271566,99996.896953744,1.0003576687178,0.843,1.0003838120842,-0.00096985985502775,0.0072078375215915,-0.0062522258197449,1,3.1270269087704,42.885917576319,0.22,15000000
0.364,1365.5209557754,1365.0832445736,400.01274086482,400.01582938679,100011.16329263,100013.84937799,301.79662145595,400.01191838137,0.24553092648549,1.3246106086141e-14,0,2.6492212172283e-14,-0.012203920613349,100003.60921429,100010.42694822,1.0000681748787,0.79,1,-0.00081772246659874,0.0069576034635467,3.9738318258424e-14,0.0056826017291218,-0.043278143760517,400.0535964609,400.01031831714,-0.00064006703598807,400.00015927676,399.99951920972,-0.0026158428208714,8.1221239150326,8.1195080722117,-1135.0941485763,9003122.4407405,9001987.3465919,-7272.6167412028,-3579.2046156012,16835280.598438,16828007.981697,0.03506694281979,0.042755598859853,0.043151053213619,-125.51176359562,-1.771381971764,299.88229428939,300.19266621927,99997.325413504,99999.695556998,-0.0099073830845668,399.99392339026,399.98401600718,-0.0011830056217512,8.1194784117667,8.1182954061449,-4236.9337254483,8999815.9154233,8995578.9816979,-2876.5410186872,-949.45816585644,16827256.616854,16824380.075835,0.018214952877315,400.02850969801,400.04672465089,-0.00047965057755362,-0.012363577665622,-0.012843228243176,15.123130090622,100027.01270647,100042.13583656,-193.12458203099,-14.885996068029,-4962.7673123992,-5155.8918944302,99996.823181349,0.15533134633949,399.91869763834,400.07402898468,14962.8380311,8993402.9112686,9008365.7492997,55091.479869687,777.52117764337,676.61807258425,70.855278870559,0.364,0.364,400.06419358354,399.99595552226,0.0021348925322242,0,-0.013598041606543,-0.013440312138939,100056.18329184,99996.459372,1.0005972603451,0.843,1.0006257437114,-0.0018018088344095,0.011908248937589,-0.011463149074319,1,3.3418509861735,70.855278870559,0.364,15000000
0.5368,1763.245395887,1762.8157534686,400.01322367731,400.01646967524,100011.61065879,100014.40818932,304.41513518846,400.0123926823,0.23898573954873,-1.5556375098882e-14,0,-3.1112750197764e-14,-0.021250925227491,100003.66856805,100010.84069856,1.0000717186741,0.79,1,-0.0014197330404951,0.01019738277011,-4.6669125296646e-14,0.0056826017291218,-0.064103099813963,400.06234767877,399.99824457895,-0.0017022696891331,400.00228324823,400.00058097854,-0.0024850863556161,11.179867323864,11.177382237509,-1560.5747217424,9004057.5146068,9002496.9398851,-8917.8823568337,-5311.0152599918,23174569.354195,23165651.471838,0.05120553132637,0.036787402397629,0.03913350231688,-271.95335827034,-2.6074573739102,299.95223089186,300.39416133488,99996.90895032,99999.63876436,-0.016884702483821,399.99241839826,399.97553369578,-0.0016432372493931,11.179617312244,11.177974074995,-6923.7939697336,9000896.4107618,8993972.6167921,-4621.4127214849,-2389.5042766989,23170097.518727,23165476.106006,0.032599024522483,400.03377494559,400.06637397011,-0.00041216427945701,-0.021153046419545,-0.021565210699002,25.661690648805,100035.41824892,100061.07993957,-167.22216920432,-28.973775896961,-8490.7360926499,-8657.9582618542,99996.247600524,0.067991223765148,399.92204153745,399.99003276122,15490.167124111,8991086.5559426,9006576.7230668,80857.458011123,775.2519640414,995.97535190211,104.29829495641,0.5368,0.364,400.09491130217,399.99524712571,0.0034478736543218,0,-0.021960978689941,-0.022116245879388,100083.10309514,99995.838369295,1.0008726835763,0.843,1.0009038436521,-0.0029650785894867,0.017528155514075,-0.018513105035619,1,3.3842265228051,104.29829495641,0.364,15000000
0.74416,2039.7279842179,2039.3590282839,400.01262978523,400.01581906338,100011.13691059,100013.83690784,309.32960784713,400.01187381172,0.22669893546028,0,0,3.3545394050009e-14,-0.032180233374346,100003.50792952,100010.38552255,1.0000687735178,0.79,1,-0.0021341776600608,0.013991436360192,3.3545394050009e-14,0.0056826017291218,-0.060381339960827,400.0468138689,399.98643252894,-0.0030801189130898,400.00508985338,400.00200973447,-0.0018685278235395,13.412519588926,13.410651061102,-1918.9925964214,9004880.3399497,9002961.3473533,-8126.0701669939,-5818.234067759,27802374.990825,27794248.920658,0.089414037177994,0.032674585100123,0.034682169082687,-520.23179724487,-3.6063547982862,300.30841283686,300.73597092061,99996.915564702,99999.628152963,-0.017536880321643,399.98416586619,399.96662898586,-0.0012233330632725,13.41429797747,13.413074644407,-9252.5040353909,9001955.8925455,8992703.3885101,-4119.4954762384,-2506.5363146039,27801837.220179,27797717.724703,0.053127776653923,400.03541787108,400.08854564774,-0.00045629519993584,-0.032108267858088,-0.032564563058024,38.612526986311,100044.3900379,100083.00256488,-187.47985425846,-46.315401534749,-12887.624015404,-13075.103869663,99996.121137649,0.0017093317429726,399.92043526586,399.9221445976,15509.078118857,8989189.4555862,9004698.5337051,111441.9402809,772.53866101761,1377.526062457,144.25419193145,0.74416,0.364,400.1307396156,399.99511614742,0.0050379610062183,0,-0.032088923606459,-0.033114456606243,100114.6013597,99995.725644427,1.0011888079666,0.843,1.0012198828617,-0.0044391308323061,0.02424197413214,-0.027050962600241,1,3.3423009505504,144.25419193145,0.364,15000000
0.992992,2187.5399129597,2187.2263507892,400.01188828164,400.01495761923,100010.56753516,100013.07922748,317.67450962712,400.01126415696,0.20583608989956,0,0,-1.7134362039398e-14,-0.04490648843286,100003.35850605,100009.85043374,1.0000649170966,0.79,1,-0.0029398931028323,0.018371175189738,-1.7134362039398e-14,0.0056826017291218,-0.012518972792066,399.98850711373,399.97598814094,-0.0033964932304684,400.00668274728,400.00328625405,-0.0013055300766656,14.638262380417,14.636956850341,-2128.9301176853,9005397.3361097,9003268.405992,-3670.9636507034,-2923.8229359528,30339295.664941,30335624.70129,0.31503301425789,0.02984438004802,0.031624896210547,-921.10075266956,-4.7986997006209,301.00057730009,301.27860451324,99997.245410561,99999.650929457,-0.015201536106019,399.97622517621,399.9610236401,-0.00051066890680218,14.639163398761,14.638652729855,-10651.820661804,9002672.0219364,8992020.2012746,-2598.2930840924,-1946.8101014042,30340359.745011,30337761.451927,0.081760999214509,400.03262695245,400.11438795167,-0.0004788711237674,-0.044873373639483,-0.04535224476325,53.658610089027,100054.65696955,100108.31557964,-201.16555362516,-63.731546699292,-18010.221298883,-18211.386852508,99996.346153109,-0.024913308579073,399.91704714114,399.89213383256,15297.01361906,8988130.8925377,9003427.9061567,147665.00250481,769.29695395246,1832.9682666418,191.94798802484,0.992992,0.364,400.17150350229,399.97607305625,0.0067785655976939,0,-0.043175577055365,-0.045873569526852,100150.77634913,99996.000127655,1.0015478241257,0.843,1.0015765904399,-0.0061483056333615,0.03225528961834,-0.036397011457671,1,3.2930921716077,191.94798802484,0.364,15000000
1.2915904,2239.4225663922,2146.2149573705,400.01081782546,400.01379115692,100009.7665744,100012.03926425,330.7148355012,400.01040492874,0.17323441733943,0,0,0,-0.059253428049797,100003.12598778,100009.0966623,1.0000597048789,0.79,1,-0.0038028291922501,0.023339851446756,0,0.0056826017291218,0.037433211773191,399.92825279373,399.96568600551,-0.0018354164363359,400.00555548429,400.00372006785,-0.00062129633029784,15.0740457341,15.07342443777,-2203.8331231363,9005605.4213925,9003401.5882694,1659.3779404573,1600.5253012785,31237982.784332,31239642.162273,-0.96702640161676,0.02776808990242,0.029355894274312,-1547.7502227919,-6.220430497144,301.97253742979,302.09688156057,99997.5562216,99999.671669753,-0.0106517538822,399.96963122809,399.95897947421,-4.5647443890573e-05,15.073071837804,15.07302619036,-11165.648574166,9002979.0342901,8991813.385716,-1213.2597454637,-1179.899946497,31239237.220999,31238023.961253,0.12050829223347,400.02394866012,400.14445695235,-0.00046314145755687,-0.059222452776559,-0.059685594234116,70.548117978324,100066.00535823,100136.55347621,-202.3132776356,-77.323455130618,-23767.461663541,-23969.774941176,99996.553132785,-0.022215147387158,399.91591237848,399.89369723109,15120.654371157,8987791.7887183,9002912.4430895,190451.53124465,765.42745446676,2376.0294282721,248.81721988576,1.2915904,0.364,400.19872884015,398.09782117457,0.0085953188770505,0,-0.054747253993915,-0.060167740611127,100191.20900545,99996.242350086,1.001949739818,0.843,1.0019761167765,-0.0080612729475747,0.041810271129014,-0.046151935116864,1,3.2746863908653,248.81721988576,0.364,15000000
1.64990848,2150.8012842358,2150.619630982,400.00956720261,400.01268433858,100008.91014466,100010.94640224,349.29822599816,400.00945865371,0.12677508383484,1.5807917806129e-14,0,3.1615835612259e-14,-0.07509216064604,100002.87561158,100008.28612355,1.0000541035639,0.79,1,-0.0046902055205821,0.028891839042111,4.7423753418388e-14,0.0056826017291218,0.04106764588812,399.91715303678,399.95822068267,0.00034179556809022,400.00247005515,400.00281185072,0.00012182311578357,15.112712399905,15.112834223021,-2210.9936556406,9005637.9007982,9003426.9071426,3489.8720901869,3306.0576132374,31317267.852915,31320757.725005,-0.75768297458356,0.026159172476544,0.027340418691401,-2504.9435665424,-7.9135067551345,303.28874433056,303.28368123558,99997.827473098,99999.689630175,-0.0043445936970556,399.96327585154,399.95893125784,8.7847559782972e-05,15.111317848561,15.11140569612,-11211.351460146,9003020.9160906,8991809.5646305,-272.20846587047,-408.41086361113,31317850.948765,31317578.740299,0.17094270500235,400.00867151881,400.17961422382,-0.00043429168010796,-0.075078761132541,-0.075513052812648,89.211616890447,100078.64248423,100167.85410112,-201.76038237219,-86.259054625323,-30128.273753566,-30330.034135938,99996.717271594,-0.0090432169448604,399.91584998799,399.90680677105,15105.5645006,8987775.8067754,9002881.371276,240828.12101783,760.81353207154,3022.7369214498,316.54027020538,1.64990848,0.364,399.73288999845,378.21723342586,0.010445379031609,0,-0.066531076634457,-0.076118518980685,100236.02400002,99996.425892338,1.0023960667149,0.843,1.0024202691202,-0.010179937644172,0.053221161404373,-0.056085697602848,1,3.2733939746482,316.54027020538,0.364,15000000
2.079890176,2142.8811551281,2142.6764846773,400.00826831344,400.01228012499,100008.20957973,100010.05205605,372.44849339623,400.00855049727,0.068898669957886,0,0,0,-0.092541529850338,100002.67399484,100007.61801256,1.0000494388552,0.79,1,-0.0055981643606211,0.03509720709685,0,0.0056826017291218,0.016065563009761,399.94050417486,399.95656973787,0.0014354932531546,399.999146435,400.00058192826,0.00034746482948123,15.042957844569,15.043305309398,-2198.3763821181,9005602.2607418,9003403.8843597,1972.8116110116,1859.814921172,31174526.630735,31176499.442346,-2.1193028110378,0.024857857432456,0.025148450564281,-3941.51099045,-9.9266195031969,305.10753807605,304.95328093946,99998.0478933,99999.70382887,-0.00036858297971776,399.95989440719,399.95952582421,6.3124135426307e-05,15.042294707773,15.042357831908,-11128.130445067,9002973.5275462,8991845.3971011,86.840701334178,-0.026083972103208,31174406.600634,31174493.441336,0.23396413750015,399.98632236264,400.22028650014,-0.00039735287286577,-0.092554507243998,-0.092951860116863,109.78837189701,100092.95076307,100202.73913497,-202.33846107697,-93.924564036875,-37137.488227141,-37339.826688218,99996.830304824,0.00023115747251268,399.91630508321,399.91653624068,15120.969570955,8987834.1764568,9002955.1460278,299910.5789703,755.31901588883,3791.6893491029,397.06478012788,2.079890176,0.364,395.70820799955,330.14541926799,0.012329711063393,0,-0.078533191486565,-0.094831057969875,100285.8596265,99996.552562328,1.0028931703819,0.843,1.0029158604415,-0.012572504209144,0.067098690059205,-0.066203480423172,1,3.2749130534356,397.06478012788,0.364,15000000
