time,Eq_TREAT_Power,PowerScaling,ScaledTotalPower,UnscaledTotalPower,avg_coretemp,avg_powerden,avg_refltemp,delta_time,eigenvalue,lin_steps,nl_steps
0,0,143825568516.64,12500,8.6910833233059e-08,300,0,300,0,1,0,0
1,99999.999999165,7585973330088.5,12500,1.6477780050216e-09,300,0.0404881121103,300,0,1.2799555757867,0,0
