time,Eq_TREAT_Power,PowerScaling,ScaledTotalPower,UnscaledTotalPower,avg_coretemp,avg_powerden,avg_refltemp,delta_time,eigenvalue,lin_steps,nl_steps
0,0,144094602726.54,12500,8.6748564925241e-08,300,0,300,0,1,0,0
1,99999.999999165,14257588589778,12500,8.767260972141e-10,300,0.0404881121103,300,0,1.2215857494131,0,0
