time,Burnup_avg,Rho_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,Tsolid_reflector,eigenvalue,power_peak,power_scaling,total_power
0,7.9949555555556e+14,1973.8,873.15,873.15,873.15,873.15,873.15,873.15,1,0,1.0515053004356e+18,280000000
1,7.5306760988464e+14,1973.8,909.87443938829,934.47795557593,884.01167683109,891.26873772573,873.15,873.15,1.0379972476378,0.60734610017695,1.0598686142818e+18,280000000
2,7.5306760988464e+14,1973.8,909.87443938829,934.47795557593,884.01167683109,891.26873772573,873.15,873.15,1.0379972476378,0.60734610017695,1.0598686142818e+18,280000000
