time,Barrel_Temp,Heatflux_RCCS,Inlet_Temperature_BC,Max_CFL,New_Dt,Num_Picards,Outlet_Pressure_BC,Outlet_Pressure_PH,Outlet_Temperature_PH,Outlet_Velocity_PH,Outlet_Velocity_y,Reflector_Temp,Tfluid_bottom,Tfluid_core,Tfluid_diode,Tfluid_downcomer,Tfluid_upper,Vessel_Temp,dt,inlet_area,inlet_mdot,mass_flow_1,mass_flow_2,mass_flow_3,mass_flow_in,mass_flow_out,total_power
0,840.42361573774,1049.1428208693,823.15,150504.21695141,13785.8,0,200000,200000,921.90639635725,0.40139803147998,0.29719950123969,881.06141237268,823.14997008985,890.40799741342,823.14999930226,823.14997496112,898.28156012406,313.06022354251,6892.9,2.4001767873426,1173,-184.97571878259,-184.97571878259,-136.98057979987,-1172.8253250492,1172.8255250718,280000000
463233.22314957,840.43317356384,1041.852117837,823.15,150504.21342582,20000,0,200000,200000,921.90639933912,0.40139803147772,0.29719950145746,881.07123262209,823.14997005304,890.40799834434,823.14999930283,823.14997495988,898.28155124576,312.76310575,10000,2.4001767873426,1173,-184.97572034369,-184.97572034369,-136.98054494299,-1172.825325049,1172.8255250652,280000000
