time,max_v,mdot,mu_value,lambda
0,0,0,0,0
0.3,0.22379756758557,1488.9262153557,0.69150563516939,5.9669474822274e-14
0.9,0.5622502314615,4323.0695464318,0.12816115114798,-2.6748244797102e-13
