time,dT,heat_exchanger_T_ambient,max_v,total_fission_source,total_power,lambda
0,26.438228172649,896.80453421434,2.079452112591,31.475471769849,2999963755.3563,3.6871196751363e-13
1,44.119636688411,896.8445640182,2.0815796266884,31.461088407125,2999964840.18,-5.721694363626e-13
2.1,58.850256580781,896.1658505443,2.0753334168797,31.461088407125,2999964840.18,-1.9065296916353e-12
