time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,HX_cold_temp,core_power,Core_In_Branch:pressure,Core_In_Branch:rho,Core_In_Branch:temperature,Core_In_Branch:velocity,Core_Out_Branch:pressure,Core_Out_Branch:rho,Core_Out_Branch:temperature,Core_Out_Branch:velocity,IHX1_P3:pressure,IHX1_P3:rho,IHX1_P3:temperature,IHX1_P3:velocity,IHX1_P4:pressure,IHX1_P4:rho,IHX1_P4:temperature,IHX1_P4:velocity,J_IHX2_P6:pressure,J_IHX2_P6:rho,J_IHX2_P6:temperature,J_IHX2_P6:velocity,J_P2_IHX1:pressure,J_P2_IHX1:rho,J_P2_IHX1:temperature,J_P2_IHX1:velocity,J_P4_P5:pressure,J_P4_P5:rho,J_P4_P5:temperature,J_P4_P5:velocity,J_P5_IHX2:pressure,J_P5_IHX2:rho,J_P5_IHX2:temperature,J_P5_IHX2:velocity,J_P6_P7:pressure,J_P6_P7:rho,J_P6_P7:temperature,J_P6_P7:velocity,P8_IHX1:pressure,P8_IHX1:rho,P8_IHX1:temperature,P8_IHX1:velocity,pump2:pressure,pump2:pump_head,pump2:rho,pump2:temperature,pump2:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
-200,100000,100000,898.15,898.15,-18982.93104,47.39808,145.1730429212,-19.293212239961,898.15,898.15,898.15,100000,898.15,898.15,898.15,-2.67,898.15,3000000000,100000,4191.3917,898.15,0.01,100000,4191.3917,898.15,0.01,100000,4191.3917,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,100000,4191.3917,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,100000,1974.92,898.15,0.01,100000,176000,1974.92,898.15,0.01,100000,156010.45,4191.3917,898.15,0.01
-199,229544.66517281,110178.5235135,898.06368440027,946.1345124254,-14793.008655192,14885.666253291,14594.943341925,-2569.5343564121,898.39525503037,875.31559531105,877.61311145973,185849.37883823,909.52237426653,897.30627372104,899.11400181905,-2.0800960906495,897.6869354481,2999963755.3563,235602.05971813,4191.5874425748,897.92806964312,1.5544468043754,97646.684524037,4149.1214130792,946.07549537509,1.6000509953961,275210.34727479,4192.1243103783,897.31937598837,1.5544425854708,95576.436850744,1974.5827150172,898.84115775174,2.0938339612675,64064.6733747,1986.0631894682,875.31559535205,2.07790432713,221886.29955426,4181.3238295482,909.56481910636,1.5569229464468,64576.6258874,1974.7900689842,898.41625208147,2.093833961572,58961.889635536,1974.8019026867,898.39200269118,2.0938339629785,51373.66939498,1981.8103438322,884.03044296673,2.0779043382765,190118.82894382,1977.5544924451,892.7514499076,2.0779043441633,198928.73404114,176000,1979.1805690726,889.41932567085,2.0779043427628,218844.11303826,156010.45,4179.634712266,911.47991806581,1.5569027471895
-197.95,220047.02951722,113564.4497667,897.23506490072,984.91715651994,-17180.239467569,17303.244657431,18550.846747918,-2570.7246745849,899.26396834848,856.82923801881,859.18901045217,205775.39365647,937.69565975179,896.22382502056,901.86303444498,-2.4152956506865,896.80453421434,2999963755.3563,229830.1260787,4192.1332125594,897.30928281252,1.9755164238706,93756.896392427,4114.9126388556,984.86095367849,2.0200274510298,271342.7901972,4193.077408902,896.23876541723,1.9755064239885,93966.087700359,1973.6125010546,900.82930111756,2.4344135320541,76074.982315602,1995.0845318468,856.82923801881,2.4057934376133,216948.3593566,4156.4168763516,937.80399506618,1.9866517099051,65479.150927631,1974.3330118322,899.35284460608,2.4344135321122,57869.971768158,1974.3797780773,899.25701213663,2.4344135321155,65678.440652527,1991.2688029234,864.64835466506,2.4057934253296,211516.7177071,1983.6652163878,880.22947461509,2.4057934280267,216696.78848101,176000,1987.1638421864,873.06015945414,2.405793424956,215625.48031132,156010.45,4152.3049111329,942.46608715091,1.9866828186968
-198,220454.1824535,113448.20204018,897.27907164185,982.99448571333,-17093.495175415,17216.635624377,18405.824966171,-2570.7036117227,899.17167488217,857.74408106905,860.11400601994,205102.748986,935.66765112178,896.25149719335,901.64061200294,-2.4030734558428,896.8445640182,2999964840.18,230085.03645451,4192.0980910546,897.34910311268,1.9600891885488,93932.966305507,4116.6201452866,982.92500534401,2.0046466295749,271519.98771615,4193.053309415,896.26608909868,1.9600794088774,94024.955487507,1973.7060067359,900.63769111496,2.4221732848086,75676.320293881,1994.6380884383,857.74408106906,2.3941710188883,217187.39958448,4158.2141933455,935.76622069667,1.9705177423834,65461.401465296,1974.3812103004,899.25407725326,2.4221732848601,57931.068804222,1974.424709593,899.16493935861,2.4221732848629,65200.868465832,1990.7463274091,865.71900121091,2.3941710072584,210787.46320407,1983.2305558816,881.12017237369,2.3941710106272,216097.37812916,176000,1986.6603789172,874.09184648112,2.3941710074229,215790.29687579,156010.45,4154.1714484985,940.34983163431,1.9705609236935
-196.9,219202.9266576,112798.87777451,896.53745204015,1005.0015795421,-17037.115455254,17111.703567931,18551.132248095,-2569.5265360509,901.66900907718,847.57424785458,851.05641944967,200791.30182918,973.82578765097,895.99353334381,906.64700291148,-2.3970043381994,896.1658505443,2999964840.18,228984.96774355,4192.8291022085,896.52029228056,1.9752189431087,93086.844106023,4097.1372035105,1005.0145084915,2.0195420675012,270433.0648699,4193.2907347886,895.99689933267,1.9752113958875,94208.233701073,1971.2470316307,905.67657452727,2.4088957480418,72888.733946163,1999.600967047,847.57424785458,2.3762134320569,215804.81295077,4124.5664931909,973.91554059986,1.9988662049688,64869.399988747,1973.0797276196,901.92104995974,2.4088957483776,57356.376465108,1973.207430938,901.65936283197,2.408895748397,61953.551159771,1998.0089667797,850.83654348428,2.3762134279364,206415.14530684,1991.6275343692,863.91324924353,2.3762134180389,212251.00200229,176000,1995.1632782065,856.66787252759,2.3762134214836,214598.13629529,156010.45,4120.2239825285,978.83902207651,1.9989027667495
