coef_0,coef_1,time
120565594.3373,-53368661.939582,1
124223445.80168,-62708530.258621,1
113616263.71288,-25673628.436229,1
104057377.27878,-678542.71474899,1
102439802.58256,3205664.3991694,1
130213346.81854,-4279177494.919,1
145268950.10038,-4788008158.5398,1
145693419.69041,-4804825673.2431,1
148021335.21786,-4883613131.2797,1
140546083.48846,-4627774627.6133,1
105858696.81677,-5343100.2974283,1
102414857.86953,4204701.945252,1
132059735.40432,-48643657.664573,1
130377642.43737,-44098650.99482,1
124135958.96641,-26538111.304093,1
141401432.50493,-4645452664.0585,1
140017430.66472,-4598947518.7138,1
145221552.69184,-4774242733.2999,1
153549129.55098,-5055096851.7877,1
157769518.92295,-5197504019.5734,1
157166601.62345,-5177166088.2782,1
150972383.55557,-4968160601.0559,1
119249410.98888,-15148266.603434,1
116745527.22741,-8549088.6835992,1
137604503.46102,-47565884.845209,1
162801981.96986,-5360786507.0716,1
158049781.13619,-5200941988.1286,1
153665036.46825,-5053591158.1748,1
152813779.60514,-5025031659.0485,1
156080287.03658,-5134848257.1578,1
161159738.15895,-5305619205.0715,1
164408400.16456,-5414939465.8705,1
163773693.04842,-5393527497.9429,1
159488753.09487,-5249443370.7976,1
129083989.74304,-26956520.493149,1
127500659.58293,-22872951.103861,1
140176794.60636,-49721178.805471,1
166503523.49199,-5483735370.3263,1
163581050.36451,-5385609441.7667,1
160966116.75502,-5297879429.4313,1
160478028.27435,-5281526496.1988,1
162453681.3596,-5347839634.5586,1
165527836.47828,-5451010595.7396,1
167582901.81555,-5520076322.483,1
167151924.23795,-5505556702.6754,1
164470392.49074,-5415541476.7702,1
134941233.2343,-37921658.657086,1
133993367.75536,-35622636.469281,1
140451379.82239,-51589528.787303,1
167319407.7739,-5511652373.811,1
165646255.4957,-5455444778.0664,1
164171237.18448,-5405938233.4269,1
163912733.22245,-5397272456.6772,1
165048869.67488,-5435421815.489,1
166805524.52225,-5494399890.3006,1
167982488.64641,-5533990885.0046,1
167719630.51601,-5525132167.9078,1
166179658.11241,-5473415896.3673,1
