coef_0,coef_1,time
41481423.079043,-15603830.804508,1
41311134.355079,-9265740.3682735,1
38499542.619882,2770216.3649616,1
36511706.79847,13595901.628319,1
36065734.928157,15550717.195682,1
44636507.935549,-1461982337.06,1
47992920.516727,-1577309097.7068,1
49768167.101554,-1639288527.1668,1
49852866.241461,-1641092698.2586,1
46943632.787483,-1541405155.4447,1
36943693.264143,10966050.32888,1
36486777.146087,15587266.135438,1
34930351.232697,1880801.2218525,1
35081151.921654,4749810.2447878,1
35328558.304174,8854987.0917874,1
42314487.781898,-1383995753.2962,1
42165071.301179,-1378825569.1305,1
42058624.883804,-1376372291.7663,1
41868845.809307,-1371686310.43,1
41796695.77695,-1370947789.4692,1
41831506.219426,-1371654621.8898,1
41827137.156248,-1369972784.286,1
34932846.560026,10727791.747742,1
35086180.778997,12328413.94758,1
38409250.28423,-5516924.3768329,1
46325103.032787,-1522277894.49,1
46883168.679481,-1540076767.5183,1
47230030.855745,-1551127466.0994,1
47206985.719375,-1550314647.3279,1
46849593.40084,-1538844143.2091,1
46303641.634032,-1521382672.3685,1
45944144.073798,-1510140880.5639,1
46030789.420617,-1512829094.203,1
46383550.916998,-1523803375.0942,1
39066759.932063,-2342724.828931,1
39289846.040525,-1784276.8403732,1
44316937.207108,-18827055.638686,1
53190038.036697,-1753129098.293,1
53463361.25705,-1761971199.6331,1
53642084.486767,-1767784507.0251,1
53626252.345269,-1767263535.0467,1
53424334.541509,-1760682900.8529,1
53130143.991207,-1751131017.36,1
52939980.834963,-1745085235.5973,1
52966098.834212,-1745877789.8014,1
53095850.503608,-1749941143.6889,1
44537611.185331,-17857571.073799,1
44654118.868496,-17674140.673,1
48336134.762224,-28385638.810796,1
57868362.692262,-1910565932.9447,1
57984326.632336,-1914375216.7397,1
58058218.773622,-1916831902.4101,1
58041846.994288,-1916306920.3988,1
57937442.70575,-1912865619.5798,1
57790221.560275,-1908019275.3067,1
57694089.996446,-1904934492.3538,1
57681686.133114,-1904496156.9131,1
57707133.081925,-1905289578.8707,1
48326452.036728,-28226929.004492,1
48388488.786255,-28185563.763433,1
50950614.46059,-34348810.447014,1
60902116.578827,-2012551878.7216,1
60890894.543363,-2012238856.6534,1
60865953.663178,-2011482067.1679,1
60838047.998035,-2010582220.7493,1
