coef_0,coef_1,coef_2,coef_3,coef_4,time
142108032.8076,-28843362.808184,14269334.669384,-10215428.250023,2397053.3210688,1
145753628.87924,-38327967.586121,28033076.738996,-21247663.149782,4571514.9568216,1
134909251.7366,-7910414.2019313,10000927.44207,-6843534.6027457,2266537.3418221,1
125187801.03773,16183594.485415,-2615413.7391037,1176664.1956259,616509.29219175,1
123580882.95514,20885408.193918,-6595750.1009057,3482096.9271088,-46904.528787649,1
130027242.56136,6875528.9778511,-3095281.6978979,942212.24515094,38013.857100855,1
142889531.60352,-26338341.426981,13759932.311405,-10326005.990286,1281756.1822217,1
143353249.42026,-33202812.643924,20598918.640337,-15382300.005098,3869359.1369869,1
145286108.97877,-37604179.73295,24355920.108584,-17766543.846279,2828538.5442402,1
138966667.06801,-17341806.470997,13541339.757636,-10024411.158552,2742711.5584118,1
127268733.69216,11832688.383975,-1762419.2212916,571608.13473832,583082.89531739,1
123671284.5487,20452909.906357,-6290282.5198708,3983491.8613472,-251919.34830323,1
153543081.88931,-26728646.972924,16118126.475886,-9559586.5790195,1231066.8988041,1
151804222.41064,-23385850.790425,15271987.24761,-8520898.6248258,1004664.3930696,1
145445557.62017,-8638776.5894816,9378124.4542719,-4388124.5516847,378046.6495251,1
139305421.02229,6086582.6310246,1808125.2274108,583350.21542039,-694333.72377854,1
138149891.15842,9409786.9660465,-1018426.0453177,2152376.7043977,-1121292.8311757,1
142618212.32805,-310169.56960546,2216115.0177506,-407708.13412447,-696647.15588333,1
149746765.3292,-17353059.617923,10234631.371768,-5786117.5043424,293184.11995297,1
153347094.25871,-26243805.158929,15689438.217478,-9243289.9578061,1125752.4850841,1
152851109.88246,-25550660.66965,15981117.787436,-9381666.0455369,1195435.6137095,1
147445230.76514,-12812082.11925,11442902.914311,-8381781.1953999,2190381.9274108,1
140551746.90922,3530822.3074314,3738228.4643678,-3238850.8171393,1150339.6105046,1
137955197.26686,9647474.7757081,394347.66752417,-765686.46041714,537852.80933622,1
158898230.02046,-24317541.617306,16967680.247175,-12175121.772088,2571931.955364,1
157275304.888,-21183902.962588,15970078.743947,-11174190.762566,2382950.5053507,1
153244035.54067,-12659041.145441,12862510.762938,-9123340.1067471,2093926.3443741,1
149527830.59231,-4266967.5262468,8920926.4015835,-6661595.0997767,1623967.7456278,1
148822272.6661,-2307971.3324089,7328645.7159914,-5856439.118727,1429491.9966091,1
151613224.90044,-8122641.7137837,9167416.0547198,-7246780.4557914,1638209.0198048,1
155936169.28822,-17597539.759017,13220721.915676,-9890439.6731094,2104460.2700454,1
158691194.22667,-23735361.89761,16430849.384836,-11848139.176295,2494518.9122543,1
158173966.01037,-22982357.126669,16694941.008056,-11922126.54795,2561520.9722923,1
154601687.76326,-15384584.824826,13635233.354929,-9871261.48539,2185160.8680958,1
150399837.50381,-5986478.7579239,9233201.5919084,-6934665.0709497,1567613.8083449,1
148736869.50411,-2192582.6138938,7085325.8827152,-5347340.871533,1167905.7482031,1
161410992.9017,-25206074.242137,18643313.835643,-13306250.11353,2520254.4232033,1
160330583.09724,-23086176.211077,17898733.36223,-12558722.226889,2341374.6490178,1
157879618.3,-18141301.562156,16340088.751731,-11589310.141208,2210558.1840543,1
155685660.71193,-13412377.578189,14343791.658255,-10375826.192779,1969695.4404303,1
155286203.48922,-12344932.653083,13526889.008211,-10000044.767417,1887761.0937904,1
156961741.41735,-15699586.842107,14469605.642613,-10723975.912702,2019724.7960669,1
159559818.22823,-21116494.29488,16531100.006904,-12054909.627694,2271432.3291559,1
161290943.61218,-24837569.967347,18294522.653976,-13104971.524293,2479908.6611758,1
160951079.54378,-24342429.491189,18472867.007128,-13140303.565735,2503854.838408,1
158743209.93593,-19821171.108698,16817807.837915,-12047473.980964,2278113.3116381,1
156241795.40089,-14494954.235213,14575105.124833,-10581281.223781,1947742.7581899,1
155242018.02329,-12321915.606771,13452548.163253,-9768175.9121583,1733641.891798,1
161766748.71797,-25914641.969684,20256265.717171,-14409716.45181,2496382.7148134,1
161112321.69477,-24538241.323995,19645953.689462,-13825333.57231,2347003.6083093,1
159707060.98574,-21684272.952937,18736035.706957,-13289393.00476,2297441.6623526,1
158464936.57702,-18991826.666331,17539306.824153,-12546436.206433,2152250.9032912,1
158253118.95529,-18420987.922886,17083666.916111,-12328249.836712,2104524.7905222,1
159222087.84843,-20381112.689101,17693162.740067,-12788646.655627,2186804.0223001,1
160715575.58627,-23523386.821115,18957180.491446,-13618613.915168,2342015.3600395,1
161713933.611,-25703659.837681,20026371.164761,-14272898.143481,2471502.965927,1
161516731.46337,-25406881.767438,20132197.709293,-14299374.154528,2486563.6347586,1
160246116.36987,-22777697.995852,19126183.506896,-13631138.727012,2349219.0421512,1
158820293.7296,-19738071.755884,17788581.177805,-12746581.916013,2153903.1979108,1
158245276.0823,-18504753.477616,17131398.453791,-12269285.208779,2031080.7076569,1
161302101.58205,-26240884.203508,20827298.117951,-14807940.341118,2462487.4971707,1
160923541.48255,-25376509.180285,20383966.810373,-14380010.164809,2336539.2260012,1
160159722.83132,-23835433.6795,20027356.134108,-14216557.270094,2344514.5464247,1
159491254.91391,-22387263.078215,19456867.83649,-13872069.248145,2273168.1871842,1
159390158.25469,-22113133.639593,19245955.814552,-13782379.936222,2255780.1221722,1
159930025.75124,-23213993.131189,19546969.03011,-14012878.101565,2304578.1244784,1
160747265.09489,-24942433.499376,20160301.179402,-14410477.351343,2385770.219344,1
161287867.29769,-26132149.072991,20686030.841327,-14724036.539143,2450109.0480696,1
161179787.36107,-25968385.844062,20760058.645153,-14748874.657075,2456682.4676777,1
