coef_0,coef_1,time
41481401.29892,-15604081.799213,1
41311123.410103,-9266004.7756117,1
38499538.282395,2769977.5274275,1
36511688.740807,13595840.109762,1
36065693.152968,15550842.240858,1
44636424.2977,-1461979444.2478,1
47992820.178206,-1577305625.6365,1
49768065.811402,-1639284985.5286,1
49852804.541453,-1641090565.4807,1
46943620.78863,-1541404733.5486,1
36943721.847597,10965914.20393,1
36486819.468795,15587048.4895,1
34930359.302559,1880464.3024019,1
35081159.554,4749458.4187014,1
35328562.558399,8854725.4682344,1
42314468.158589,-1383995139.2897,1
42165019.360592,-1378823813.7397,1
42058542.280051,-1376369441.1205,1
41868742.432014,-1371682726.3308,1
41796598.595062,-1370944422.3347,1
41831457.265628,-1371652907.3562,1
41827156.551591,-1369973404.9866,1
34932918.844998,10727542.687894,1
35086273.883885,12328066.598292,1
38409275.149936,-5517328.610193,1
46325130.979316,-1522278971.2696,1
46883197.73089,-1540077868.7538,1
47230029.720114,-1551127479.194,1
47206942.89765,-1550313202.6034,1
46849513.075664,-1538841366.847,1
46303539.276523,-1521379121.6946,1
45944051.373952,-1510137651.6195,1
46030752.774774,-1512827788.2015,1
46383597.298521,-1523804898.9939,1
39066866.784029,-2343060.6453383,1
39289977.658716,-1784735.501229,1
44316969.50156,-18827491.273061,1
53190077.651859,-1753130566.3285,1
53463403.692428,-1761972740.909,1
53642102.878153,-1767785181.017,1
53626220.575398,-1767262457.8465,1
53424247.572954,-1760679895.3331,1
53130033.967014,-1751127202.6365,1
52939890.794783,-1745082091.8761,1
52966074.844612,-1745876905.3101,1
53095922.108977,-1749943549.9493,1
44537738.262766,-17857924.830841,1
44654272.431016,-17674650.663593,1
48336161.697882,-28386035.385178,1
57868399.474537,-1910567300.5534,1
57984371.444668,-1914376836.9638,1
58058243.346655,-1916832787.8471,1
58041819.633739,-1916305988.0228,1
57937353.559815,-1912862545.5671,1
57790107.582675,-1908015342.1468,1
57693996.532353,-1904931236.9007,1
57681661.532141,-1904495257.584,1
57707203.771118,-1905291925.5796,1
48326580.813525,-28227302.238238,1
48388648.663516,-28186092.052889,1
50950633.588696,-34349160.991613,1
60902143.691672,-2012552903.9746,1
60890931.793663,-2012240212,1
60865977.268586,-2011482917.8436,1
60838026.463181,-2010581493.3093,1
60814307.668728,-2009764880.3184,1
60792026.851851,-2008971722.9667,1
60773994.126435,-2008393143.5895,1
60732250.235717,-2007008198.7532,1
60674925.948168,-2005155842.8169,1
50741632.558003,-34554744.446108,1
50761690.420969,-34588860.739664,1
51906318.40489,-36626339.380097,1
62013917.174216,-2049967435.9238,1
61976390.734684,-2048803706.6206,1
61931268.061903,-2047390061.7401,1
61899685.750015,-2046369666.8084,1
61890476.136945,-2046023448.7954,1
61893370.355496,-2046043161.4518,1
61887869.354363,-2045851606.5805,1
61834594.043759,-2044094523.1166,1
61767853.901425,-2041957564.2946,1
51647792.388313,-36942410.155344,1
51700900.427342,-37114416.993808,1
52150640.711189,-37111419.989326,1
62290189.355677,-2059237712.8056,1
62237787.338272,-2057583579.4495,1
62177210.196314,-2055660235.1768,1
62138009.393239,-2054391441.3117,1
62135265.597465,-2054260219.1528,1
62156973.336276,-2054895965.2115,1
62164424.148586,-2055114455.7679,1
62106213.995179,-2053196852.1115,1
51899664.079179,-37247413.290182,1
51849289.268315,-37453168.990545,1
51846174.741395,-37531396.215704,1
51984040.174388,-36684529.377021,1
62092524.897547,-2052583859.367,1
62052347.682713,-2051323011.0291,1
61998508.531399,-2049619057.9316,1
61955949.49575,-2048248863.7631,1
61947055.47446,-2047927296.1909,1
61970566.796285,-2048626626.3441,1
61985481.728974,-2049078640.3786,1
61934312.353685,-2047391310.677,1
51758959.345124,-36852176.89632,1
51667282.829148,-37029717.937517,1
51652965.445581,-37122441.482859,1
51581357.115607,-35752598.161764,1
61621313.514756,-2036745852.0543,1
61603549.445148,-2036208727.8846,1
61563040.065785,-2034948810.7448,1
61519952.856357,-2033590886.419,1
61514188.718289,-2033403888.7244,1
61563429.49505,-2034959802.5817,1
61619225.267234,-2036739978.0493,1
61599539.065695,-2036085030.3419,1
51479522.594867,-36101282.904295,1
51405558.589944,-36404800.751697,1
51379896.945805,-36530604.979875,1
50947325.917715,-34330967.922365,1
60888503.860227,-2012117985.3479,1
60918941.88553,-2013143230.2064,1
60913193.698,-2013046958.5591,1
60881158.905561,-2012123617.6169,1
60894945.321921,-2012652876.4271,1
61007402.664704,-2016312696.0488,1
61158620.914623,-2021207124.5527,1
51213176.241567,-34836611.642712,1
51165307.541716,-35183012.968434,1
51060311.649186,-35671557.415579,1
51011522.85409,-35880629.635531,1
50091882.013937,-32409365.911171,1
59905254.716294,-1979055522.5553,1
60010504.50286,-1982497072.8482,1
60064508.903051,-1984400317.2314,1
50245665.266324,-33255059.045237,1
50296247.165099,-33796410.008768,1
50482235.88297,-33857189.46916,1
50739963.387695,-33618458.423244,1
50892194.956446,-33588594.867943,1
50864050.541665,-34152242.479305,1
50715678.538844,-34975494.024409,1
50636184.203621,-35335639.741726,1
48891666.571594,-29674562.695478,1
48969246.4009,-29408322.752434,1
49172132.492251,-29124708.967804,1
49298486.662436,-29584855.867563,1
49320538.379379,-30850506.467693,1
49419944.078358,-32074703.093618,1
49768026.458642,-32407027.162654,1
50273581.83793,-32019773.117986,1
50617563.797922,-31913415.471086,1
50599892.280486,-32849887.759998,1
50340009.651657,-34302176.191324,1
50195987.336874,-34949912.205582,1
47825475.519662,-27423669.634526,1
47990787.681906,-26869546.814752,1
48355401.026098,-26106424.825004,1
48565376.107048,-26623594.876736,1
48559884.374741,-28690228.936983,1
48671249.057802,-30859639.360354,1
49213433.509579,-31557704.499294,1
50052891.988915,-30880474.889862,1
50644494.071948,-30519176.559812,1
50586346.977551,-31871589.31708,1
50111051.326833,-34158739.117048,1
49862200.994642,-35192712.981073,1
48045726.614026,-27977481.241835,1
48411686.715911,-27006582.703352,1
49098901.312271,-25402715.547881,1
49342492.064141,-25681001.03398,1
48993284.40321,-28543210.916051,1
48817914.817081,-31762789.71039,1
49498461.700525,-32897829.174902,1
50830517.07584,-31715214.813363,1
51765157.077114,-30654534.154195,1
51417155.103474,-32258037.300339,1
50330256.74229,-35408499.327569,1
49832179.355983,-36818924.830715,1
50664730.361061,-32276087.262041,1
51483655.8547,-31334474.816979,1
52884851.063417,-29112523.52195,1
53051761.92128,-28529844.024334,1
51587822.321229,-31012066.345602,1
50404146.017516,-33882151.20854,1
50960052.553267,-35179941.356112,1
52938407.306283,-33802114.481279,1
54324840.187995,-31509445.795683,1
53137417.287811,-32533388.611392,1
50724251.495228,-35297659.630989,1
49782377.894343,-36328065.48571,1
199431646.56192,-4733984739.2948,60
200867842.68399,-4725071642.7084,60
199624887.51203,-4716910251.6679,60
197821310.70472,-4707821651.4314,60
197349594.27656,-4706796614.1448,60
220451898.32616,-9110098765.898,60
222546522.82342,-9183605693.2437,60
220883612.49782,-9131129274.7239,60
221720585.51408,-9157584571.923,60
221854698.5723,-9159307376.4078,60
198144532.99742,-4711312415.8909,60
198441470.7917,-4705965266.3299,60
197937846.56462,-4725599976.7329,60
197847665.59044,-4719301174.8526,60
198578182.84792,-4717368808.144,60
220810040.33142,-9122020697.3412,60
220618081.98193,-9115721799.9033,60
220347771.22139,-9107992850.0382,60
219610919.01702,-9085190490.6982,60
218670406.67893,-9055307809.1427,60
218807299.50473,-9059263791.9452,60
219900294.63749,-9094419773.4413,60
198581576.28966,-4717886094.5624,60
199476787.17824,-4715455039.1262,60
203187572.48111,-4737273443.2419,60
225592833.47457,-9286082602.4486,60
226226483.29476,-9306847223.7701,60
226570572.3518,-9318085408.3373,60
