coef_0,coef_1,coef_2,coef_3,coef_4,time
559.23151615324,0.019397754664312,-0.063345486624871,0.080465139888997,-0.034885676634791,1
559.23151319467,0.019439375560717,-0.06350201094358,0.08068177762302,-0.034985158151708,1
559.2315137504,0.019433812942271,-0.063484470402777,0.080659966802717,-0.034975835726058,1
559.231514291,0.01942848243409,-0.063467820486059,0.0806393962856,-0.03496708394852,1
559.23151468505,0.0194246886987,-0.063456132552454,0.080625082769423,-0.034961031075104,1
559.23151493258,0.019422431417531,-0.063449405831119,0.080617025483151,-0.034957676831979,1
559.23151505734,0.019421458753597,-0.06344682130376,0.080614186644131,-0.034956572030649,1
559.23151926193,0.019378604523317,-0.063310418374938,0.080443626615407,-0.034883403933234,1
559.23152016353,0.019370221505495,-0.063284915212116,0.080412533112637,-0.034870270349825,1
559.23151581628,0.01941863670413,-0.06344567889088,0.080618470766324,-0.034959986275153,1
559.23151339688,0.019444030907506,-0.063526741703608,0.080719449999444,-0.035003073341162,1
559.23150876158,0.019491599400417,-0.063677288707756,0.080906255458676,-0.035082627794059,1
559.23151566144,0.019403868593012,-0.063366914444965,0.080493491167663,-0.034898297112263,1
559.23151419999,0.019429765705568,-0.063472549353247,0.080645823920251,-0.034969993587142,1
559.2315146169,0.019425526456989,-0.063459047068298,0.080628919263791,-0.03496273251351,1
559.23151500342,0.019421764398495,-0.063447374333776,0.080614554301133,-0.034956636292998,1
559.23151530348,0.019418903451598,-0.063438600364948,0.080603835510627,-0.034952110000004,1
559.23151550999,0.019417019247085,-0.063432971686942,0.080597075687692,-0.034949289143281,1
559.2315156609,0.019415708869819,-0.063429177376991,0.080592613314931,-0.034947454431993,1
559.23151940928,0.019377479728935,-0.063307424881644,0.080440302057819,-0.034882091187971,1
559.23152001495,0.019372008105065,-0.063290974835759,0.080420345579654,-0.034873678481954,1
559.23151563019,0.019420489473683,-0.063451376119968,0.080625372254653,-0.034962868082848,1
559.23151310145,0.019446949463999,-0.063535780545015,0.080730508637522,-0.035007736236282,1
559.23150868646,0.019492252346879,-0.063679163222147,0.080908436689186,-0.035083515378741,1
