coef_0,coef_1,coef_2,coef_3,coef_4,time
142107894.77021,-28843000.429763,14269208.438607,-10215348.795721,2397038.2023797,1
145753468.76788,-38327538.026292,28032877.130857,-21247533.9678,4571497.3780604,1
134909111.72963,-7910030.5834187,10000695.855223,-6843363.3716408,2266497.5505204,1
125187750.01496,16183737.862853,-2615495.5790093,1176695.1536171,616511.29841843,1
123580955.79135,20885245.228123,-6595733.3628114,3482096.0480457,-46917.337872876,1
130027435.15411,6875046.017307,-3095073.8602005,942069.74761326,38032.303515127,1
142889785.61949,-26338995.835768,13760228.325904,-10326196.909024,1281780.3746233,1
143353466.03457,-33203441.769908,20599338.893212,-15382638.354021,3869450.243447,1
145286204.15637,-37604503.367975,24356116.326815,-17766675.100287,2828561.3145018,1
138966594.75447,-17341740.363592,13541395.217216,-10024475.624671,2742739.142202,1
127268498.1701,11833161.477281,-1762611.061502,571740.44891265,583056.37427601,1
123670982.93233,20453538.072798,-6290549.6938495,3983658.9440054,-251939.33173348,1
153542908.13371,-26728184.1417,16117933.448575,-9559459.8310005,1231046.6999108,1
151804047.01054,-23385381.619759,15271786.677812,-8520779.0137593,1004654.3179346,1
145445405.24913,-8638349.7209516,9377855.4926445,-4387912.0595005,377991.33971786,1
139305363.41208,6086749.9559381,1808025.0723672,583406.91169086,-694345.11105346,1
138149971.54149,9409607.7372794,-1018386.2310955,2152346.2501254,-1121292.52045,1
142618422.21343,-310687.47891128,2216331.9226199,-407854.82815532,-696628.95529286,1
149747046.22359,-17353778.330682,10234955.296963,-5786327.7380809,293211.39053789,1
153347345.82956,-26244483.039435,15689740.94867,-9243450.3314898,1125754.8707922,1
152851215.78768,-25551022.436976,15981325.30411,-9381795.658551,1195454.5690363,1
147445126.48622,-12811973.415395,11442957.601236,-8381861.0385308,2190423.2935564,1
140551453.83089,3531403.527166,3737972.4128797,-3238668.9912606,1150302.8148052,1
137954825.45316,9648243.5753746,393993.77867456,-765457.50812143,537823.51430731,1
158898051.59577,-24317043.626472,16967467.297909,-12174986.523531,2571913.245479,1
157275125.56054,-21183402.928473,15969861.141185,-11174064.725276,2382942.6644824,1
153243872.90078,-12658562.596824,12862196.451028,-9123098.1565214,2093868.9110642,1
149527764.66584,-4266764.0677103,8920813.0558005,-6661542.3055396,1623966.3582083,1
148822356.20696,-2308138.2371304,7328656.9397626,-5856436.4573503,1429478.3607294,1
151613451.39931,-8123189.3851887,9167643.9672539,-7246936.9149841,1638231.1179589,1
155936476.25539,-17598306.168071,13221038.861182,-9890620.2453598,2104466.5070968,1
158691472.52605,-23736106.87808,16431207.773031,-11848368.529498,2494553.1315194,1
158174084.98168,-22982754.636709,16695173.519882,-11922277.472941,2561546.0252502,1
154601567.97593,-15384448.060376,13635296.605514,-9871364.3735215,2185216.9091432,1
150399505.69089,-5985807.5603326,9232896.1784347,-6934447.4396907,1567569.9505113,1
148736452.50214,-2191706.7211588,7084903.8343205,-5347050.2956852,1167856.9601661,1
161410825.80735,-25205586.244828,18643113.279844,-13306136.773001,2520248.8348087,1
160330411.12734,-23085676.060767,17898509.066002,-12558579.390401,2341356.9945557,1
157879455.66039,-18140815.91628,16339807.279093,-11589121.678167,2210531.0067403,1
155685584.83866,-13412134.600284,14343657.117277,-10375760.840522,1969695.7979917,1
155286282.63882,-12345081.167873,13526914.752799,-10000080.648521,1887772.0964598,1
156961981.38381,-15700156.882454,14469827.436316,-10724107.562387,2019728.9457789,1
159560147.3644,-21117314.468751,16531471.792043,-12055154.821817,2271466.9253015,1
161291240.38247,-24838355.892701,18294903.251454,-13105209.274027,2479939.5060322,1
