coef_0,coef_1,coef_2,coef_3,coef_4,time
62968382.03025,12013956.364092,5226709.2263501,-8371714.9861474,2762177.4192511,1
62785778.47552,18304153.27993,202332.30308722,-7005945.8511658,5469683.0926714,1
59724515.745087,24493560.653239,612974.25394532,-2634394.1713755,2008618.7149047,1
57593306.551571,33392575.450147,-6465999.7058095,2880476.407044,802627.15862861,1
57167622.546522,35519142.563105,-8996524.9212243,4860149.7994903,163574.48016215,1
58482983.824437,30049130.096546,-5949636.057115,2212394.0687343,388921.80970112,1
61499617.436019,21338105.246926,-2571188.7333895,-1909351.0926013,2102057.6358418,1
63063738.168278,13090061.255024,4000764.7650932,-7954656.5633611,3381384.8635822,1
63121486.101281,16587328.957982,299261.36359201,-8193186.0344045,5632542.8092637,1
60649556.637004,21788443.298205,1304165.3080296,-3480440.5403876,2254218.7941032,1
58314180.343234,30755895.935965,-5128652.9802716,2144332.4880072,778779.35065992,1
57716754.937908,34186917.437786,-8456620.5739388,5198712.740556,45985.432927098,1
56435063.977911,25233159.165578,6785978.7569304,-3919188.7686364,101024.72019622,1
56508551.30311,27364757.501432,4106900.8296039,-1019749.7922851,-703732.45445034,1
56633376.813404,29213613.171444,2173790.9249203,804102.19679361,-1230479.43168,1
56522007.377088,31430222.776965,-1105355.6914121,3514142.745445,-2019111.8033248,1
56415017.086275,32299443.16257,-2490606.054863,4422806.4041503,-2279669.0782504,1
56424673.931158,31020340.534003,-668038.47934425,2401839.4767423,-1659799.0602165,1
56385037.604958,28977183.004647,1829523.1279468,412593.25599398,-1119379.4709922,1
56384713.426063,25704226.451455,5979457.6454924,-3081727.8127143,-197054.92759284,1
56414311.993494,26393626.767008,5228707.5488621,-2283119.5228387,-345654.05361692,1
56165120.555376,29684809.75392,4230022.9492245,-4881271.2100439,1941360.3705022,1
56200701.397427,31647961.184179,1338700.3722059,-2464733.4638065,1211523.6501796,1
56264518.819885,32579487.130758,-504658.03421555,-868086.8902514,768154.46370153,1
59689305.684155,19608985.220413,11716326.499637,-10258461.282342,2464638.3520936,1
59886691.285409,19959605.146185,11028926.04943,-9476891.9087713,2259021.5004955,1
60310058.380855,20244585.847704,9587956.6949736,-8161404.8153971,1904117.2800544,1
60574007.874272,20603920.765676,7919513.0765508,-6922953.1611748,1602924.6171822,1
60571253.467539,20897657.155848,7271126.0095825,-6639821.5362559,1570309.6090174,1
60321780.279415,20894757.901381,8125627.5228795,-7540007.2204789,1834916.40574,1
59918841.108582,20528303.300287,9860917.993884,-8938628.6986984,2183065.2655411,1
59643017.862186,19778013.908699,11374508.883524,-10033250.120893,2413973.3702111,1
59726272.335452,19700879.958958,11504239.319861,-9997776.4097706,2401113.2266146,1
60045923.802838,20289605.728084,10048927.133034,-8743465.0794051,2036002.1084995,1
60365227.297271,20727529.829514,8079678.7301407,-7190146.1526693,1593054.8627771,1
60511479.510504,20934348.523731,6887837.5039089,-6240089.2660251,1329006.5362868,1
65543352.032863,7506327.7985855,15695493.400721,-12789052.114185,2438186.0560108,1
65623067.648567,7590865.3393552,15197867.596595,-12245662.916588,2272835.1472665,1
65849627.451266,7430885.400426,14391417.643186,-11535848.882697,2082889.0792913,1
66002015.640868,7361867.4607612,13479053.974186,-10874453.597116,1925566.442098,1
66002543.015995,7456125.0779346,13149324.234926,-10765754.189199,1933176.5688234,1
65853398.83045,7644766.4267357,13639507.827155,-11282770.861761,2096200.7921536,1
65625852.204295,7732532.8953947,14626644.85422,-12079358.245848,2298729.8562718,1
65472872.902301,7599334.040791,15463758.720905,-12654425.512213,2417860.4170904,1
65513758.682398,7452476.1221323,15568802.627829,-12625560.318522,2383339.6014836,1
65662567.081343,7493257.7764064,14742239.099751,-11954549.261752,2176271.5074068,1
65818858.303792,7493621.7580645,13627906.575013,-11109869.616898,1933358.4353836,1
65882606.195298,7516102.9026509,12947597.896503,-10604606.912058,1794965.5823004,1
69637531.192533,-900286.88945654,17849774.904382,-14217510.596352,2426361.3964726,1
69648665.839412,-852544.3855671,17458714.691361,-13822828.610557,2306586.6238824,1
69745169.675056,-1124630.4469813,16983281.477313,-13419417.627577,2203837.9381018,1
69806886.828796,-1310863.3298446,16436871.368714,-13026233.866989,2114319.6535641,1
69800831.582375,-1296164.2680732,16253221.73344,-12967931.490375,2122856.4337533,1
69728093.945006,-1098075.455374,16567529.052655,-13286779.673413,2221991.8819836,1
69621136.154222,-885608.61956933,17174794.0255,-13774231.307909,2344665.017799,1
69548894.251252,-837130.30572724,17682689.320058,-14119392.915134,2413474.072616,1
69560935.173588,-965503.0672308,17759154.633791,-14111113.396359,2389692.166479,1
69605434.281293,-1112585.0673405,17283599.747926,-13735825.05531,2272752.8548177,1
69654911.561973,-1278229.4355343,16629828.849465,-13248879.781328,2136809.3722069,1
69667082.953941,-1329930.8556309,16234343.109155,-12963294.442471,2062358.3519023,1
72246717.457871,-6143261.3841109,18526951.798197,-14677798.741641,2403857.2828478,1
72216479.965922,-6088037.3716762,18243504.868191,-14403820.497097,2318351.7854872,1
72215456.703064,-6343457.3008938,18038343.560281,-14229346.347114,2270489.9633889,1
72200738.010424,-6532410.490809,17779658.904583,-14046612.377225,2226476.4816508,1
72182510.416824,-6548570.9565992,17696136.296822,-14030676.537897,2237172.9600562,1
72166439.794763,-6389560.8720901,17853354.022929,-14196977.922813,2295280.375775,1
72150445.00115,-6180162.3936645,18152030.634504,-14438951.384914,2362125.3439621,1
72137841.461829,-6088456.8077512,18408974.193501,-14608081.276428,2395684.708259,1
72128924.2274,-6185357.2187364,18469147.472782,-14613956.730133,2380644.5764262,1
72102466.71062,-6379511.3020336,18272753.945286,-14453502.713805,2321934.818316,1
72073066.329233,-6586070.8854725,17983249.019829,-14237261.546827,2256772.5392036,1
72051913.085616,-6666643.3465072,17801778.776532,-14106196.850034,2222556.0735252,1
73214718.610156,-8049248.4746553,18276676.838508,-14026247.23109,1892366.0689641,1
73180224.812435,-7997245.9609992,18081253.654149,-13891826.388533,1881820.704487,1
73152514.549663,-8232347.0270337,18056699.617303,-13984602.601981,1988170.2561517,1
73116137.598111,-8416926.5582412,17983746.035361,-14040915.308088,2077213.5976663,1
73091349.836805,-8446902.3548382,17956475.409225,-14062275.014007,2102463.3581443,1
73085877.350992,-8308147.2321986,18000372.692842,-14039023.66619,2047731.9226012,1
73090556.317363,-8104159.2892555,18092964.786756,-13997927.879985,1956503.8586733,1
73090866.999981,-7993933.7373064,18189333.557521,-13982301.05682,1894934.7900449,1
73073458.70001,-8067076.7161541,18243317.534314,-14019943.182066,1907060.9248458,1
73032052.623263,-8329274.6003066,18506463.46164,-14578037.036513,2238346.5108311,1
72982952.46508,-8539667.2998848,18386785.502369,-14553894.509196,2284531.6206936,1
73009713.951184,-8688443.9937515,18236274.684186,-14441123.842408,2294918.7406139,1
73462605.370018,-8501600.9600605,18273386.725305,-14505990.350913,2353605.7878096,1
73432335.863434,-8447074.271856,18107081.681389,-14359349.318807,2308681.0657008,1
73392593.828417,-8628836.6395477,18098693.942311,-14352454.056864,2305269.0235641,1
73343580.834525,-8777757.5841472,18058542.812287,-14327073.956105,2297119.5158712,1
73310609.344497,-8812610.9314521,18054101.601063,-14339939.670239,2306191.0602721,1
73306226.084953,-8711979.8821899,18091446.715385,-14384046.567818,2326564.8625402,1
73321139.996595,-8547148.8264889,18146158.947621,-14429893.706403,2344267.364146,1
73330583.226292,-8445703.1178076,18194172.04673,-14456343.431247,2349249.9269305,1
73309898.790308,-8493931.3003025,18222869.126972,-14464750.218802,2343796.6039658,1
73253606.662824,-8672447.919068,18226575.042548,-14458985.864906,2332626.1238938,1
73188676.573991,-8869942.6681244,18212780.143432,-14446479.747938,2323942.6614873,1
73152997.224842,-8956933.7695913,18194608.829806,-14431529.002147,2319997.7283207,1
73288541.735018,-8091682.3524028,17830356.950536,-13976509.582005,2161506.2797865,1
73270628.126693,-8054923.8429014,17742784.595602,-13912657.997739,2145418.512645,1
73238333.923644,-8229898.8283346,17863104.223779,-14040885.599947,2189646.0153557,1
73192092.340372,-8376266.007786,17891698.681053,-14066269.720174,2192891.5460084,1
73153808.151014,-8415018.6372244,17833337.628428,-13993054.544167,2162364.7388122,1
