coef_0,coef_1,time
120565729.23223,-53369072.646094,1
124223601.12279,-62709032.65649,1
113616400.91931,-25674087.079661,1
104057426.52667,-678686.58774961,1
102439731.41728,3205839.4715624,1
130213121.76819,-4279169876.9399,1
145268653.57947,-4787998128.5184,1
145693166.06423,-4804817033.5948,1
148021226.76823,-4883609439.8073,1
140546169.59713,-4627777474.4618,1
105858931.34575,-5343633.2106977,1
102415157.44286,4203996.0814585,1
132059906.00764,-48644187.528228,1
130377813.66083,-44099215.15063,1
124136108.88221,-26538614.988478,1
141401498.69362,-4645454905.2693,1
140017336.4176,-4598944351.5344,1
145221307.29086,-4774234437.0946,1
153548801.09792,-5055085739.5658,1
157769226.51401,-5197494130.3633,1
157166480.86261,-5177161979.9642,1
150972506.72039,-4968164670.2939,1
119249703.20906,-15148924.784365,1
116745896.73543,-8549961.1254626,1
137604678.41244,-47566462.544612,1
162802189.18814,-5360793545.2346,1
158049970.85473,-5200948453.8608,1
153665112.08709,-5053593725.1294,1
152813681.8984,-5025028384.5011,1
156080021.38759,-5134839281.5578,1
161159378.6773,-5305607054.6442,1
164408075.89661,-5414928489.0739,1
163773556.81796,-5393522863.2129,1
159488893.77605,-5249448027.6997,1
129084320.30089,-26957276.898087,1
127501074.3243,-22873953.367211,1
140176958.40062,-49721755.389728,1
166503722.06656,-5483742128.3864,1
163581238.59593,-5385615855.2328,1
160966203.35394,-5297882377.6583,1
160477933.98629,-5281523319.6351,1
162453401.52042,-5347830185.2531,1
165527451.45978,-5450997578.2515,1
167582556.24352,-5520064629.6532,1
167151777.79363,-5505551729.4879,1
164470548.77282,-5415546730.6951,1
134941584.30041,-37922447.342619,1
133993810.835,-35623716.95609,1
140451523.12844,-51590061.296978,1
167319586.85662,-5511658478.1359,1
165646435.59692,-5455450918.3342,1
164171330.38179,-5405941408.4305,1
163912648.72359,-5397269609.0505,1
165048584.42596,-5435412182.9086,1
166805129.79205,-5494386573.6059,1
167982131.9077,-5533978824.6581,1
167719473.32054,-5525126827.4662,1
166179814.15762,-5473421082.0618,1
137475578.29541,-44745894.794798,1
136950676.61317,-43422826.009681,1
139991300.79614,-52531872.106189,1
167068211.18253,-5504053252.4634,1
166146870.72034,-5473117997.1814,1
165344542.01055,-5446207637.5695,1
165219101.59016,-5442005035.8472,1
165857896.85962,-5463439492.8749,1
166827716.37123,-5495976422.2841,1
167468128.25099,-5517517880.3999,1
167307905.06971,-5512126506.9716,1
166466906.29413,-5483902363.5377,1
138376435.76562,-48934280.368887,1
138102654.53711,-48240512.000722,1
139184965.47041,-52544007.044695,1
166286805.84565,-5478559792.3334,1
165821760.97604,-5462919557.7988,1
165426774.99171,-5449654274.4447,1
165383246.41501,-5448192446.0836,1
165721121.86441,-5459542563.8659,1
166209397.88172,-5475943574.6081,1
166515620.96024,-5486274772.1395,1
166412685.19927,-5482816240.7329,1
165998190.6532,-5468887287.2743,1
138388349.91811,-50684296.763782,1
138282880.36946,-50443443.567018,1
138566687.47033,-52092306.214078,1
165644406.46372,-5457388189.9153,1
165422150.08992,-5449911325.4719,1
165248164.16124,-5444070721.8229,1
165254434.67068,-5444280589.4812,1
165431623.35974,-5450231872.7501,1
165651279.76629,-5457609682.1295,1
165760857.07937,-5461328449.1387,1
165678660.53464,-5458579543.7626,1
138331025.11712,-51651296.533289,1
138199819.23103,-51313575.701883,1
138168304.16334,-51174460.581471,1
138197872.39665,-51557122.634565,1
165250011.83633,-5444274968.5043,1
165148265.37084,-5440844087.1738,1
165093538.67681,-5439002890.1384,1
165138547.81269,-5440511339.715,1
165236984.52229,-5443825003.2437,1
165300868.94577,-5445988902.0112,1
165278779.17876,-5445298616.8486,1
165190613.73721,-5442363061.5985,1
138035163.85654,-51393703.650858,1
138021266.73256,-51327761.125043,1
138041993.30561,-51315252.455478,1
138022411.92222,-50960544.433371,1
165049831.48807,-5437486752.6594,1
164980222.65766,-5435149658.7672,1
164974716.72395,-5434969886.9085,1
165056757.92505,-5437723614.3486,1
165140670.97183,-5440551433.0039,1
165130210.60161,-5440230053.9353,1
165019960.48987,-5436592628.7748,1
164906457.37878,-5432824728.2693,1
137853389.43052,-51000542.240344,1
137945925.89405,-51126628.289532,1
138002073.10489,-51184526.532437,1
137912353.65836,-50263453.885028,1
164904789.54014,-5432450999.0548,1
164812016.16252,-5429356031.4399,1
164813527.33436,-5429421533.5929,1
164937185.33592,-5433570664.9626,1
165058172.05455,-5437644753.3105,1
165038905.55791,-5437048647.4959,1
164880054.27737,-5431809504.5473,1
137688548.2169,-50492603.53395,1
137730719.85393,-50568400.925809,1
137870449.08365,-50760692.924485,1
137945599.04431,-50850221.775555,1
137676461.93627,-49353335.014136,1
164601729.50214,-5422146483.8792,1
164460401.49391,-5417457733.1115,1
164440211.4746,-5416805185.0745,1
137573294.08668,-49410426.470802,1
137743123.83734,-49772006.871327,1
137790501.10009,-50054106.100399,1
137681918.59814,-50171954.68723,1
137552219.55426,-50145036.395604,1
137579165.0038,-50148878.196341,1
137712024.36677,-50216563.508734,1
137783436.16674,-50252908.297871,1
136963858.3839,-47863579.238678,1
136885145.49579,-47921133.905014,1
136787222.22329,-47983537.727455,1
136741131.38125,-47952652.199573,1
136836794.27081,-47950988.781865,1
137063724.6338,-48275021.769023,1
137310984.78742,-49011650.261171,1
137439101.38079,-49829775.179439,1
137411396.90331,-50149096.767503,1
137334804.86143,-49806974.287582,1
137273413.5718,-49211294.680417,1
137254160.25738,-48945385.646958,1
135371588.50431,-45987603.912103,1
135479741.32835,-46581650.059542,1
135651509.37463,-47437303.23218,1
135594915.83468,-47345057.986161,1
135420880.54291,-46387179.018242,1
135550422.51425,-46057299.281804,1
136227690.02318,-47527944.132728,1
137086846.63088,-50045590.002361,1
137454281.24187,-51326853.370354,1
137078631.9051,-50095049.779096,1
136361189.82568,-47672707.591541,1
136034697.72256,-46558665.221611,1
132566507.71609,-43594831.820748,1
133377640.92352,-45964591.626042,1
134619647.08242,-49593359.342287,1
134630743.42742,-49546458.411975,1
133407913.43039,-45430869.843133,1
132747391.96201,-42358023.497016,1
134236107.73157,-45040131.701982,1
137091303.32391,-52022018.324382,1
138677878.26476,-56154974.951313,1
137434054.53972,-52494261.181708,1
134716431.64631,-44858563.743955,1
133459230.97501,-41333397.775746,1
127750725.43209,-39845921.045113,1
130493439.45921,-46225324.794151,1
134776306.36718,-56539779.68895,1
135121563.40835,-57004691.173931,1
130961573.76177,-45544970.619899,1
127677487.00673,-35624959.69077,1
130500694.13021,-39621551.295701,1
138136078.25095,-55568652.101048,1
142995262.92973,-66313517.318287,1
139539341.4568,-57463071.374841,1
131670154.00227,-38643706.613923,1
128084550.57879,-30184387.526315,1
281345441.51473,-4807170429.5923,60
282289969.23196,-4807625705.4597,60
270874773.35844,-4771339375.1026,60
262258502.27296,-4748575515.0115,60
260788235.85134,-4745762372.0418,60
301628523.1836,-11793263851.361,60
315837108.37749,-12274209971.238,60
319370969.09592,-12394462115.757,60
320550192.43786,-12434612472.572,60
310786444.72693,-12102773437.041,60
263798834.94132,-4754013023.1297,60
261560211.69015,-4744081129.908,60
291013455.58658,-4805404617.036,60
288257912.07507,-4795438418.1827,60
281710494.48969,-4778395384.8634,60
313091716.51605,-12170150418.042,60
311727212.50321,-12124550480.98,60
316589065.48863,-12288770843.723,60
324851989.31426,-12567833927.361,60
329539494.58342,-12725874515.824,60
328664268.06009,-12696251579.078,60
322175117.69178,-12477429342.256,60
277162512.53075,-4769006282.7371,60
275532361.69205,-4761529437.9293,60
295541465.76442,-4805963025.029,60
333609116.17611,-12857171383.384,60
328738453.77198,-12693664849.525,60
324356693.43397,-12546515175.542,60
323477137.64407,-12517193751.74,60
326627344.64427,-12623411111.351,60
331684185.00642,-12793737461.039,60
334959586.86403,-12904002989.418,60
334243058.41446,-12879793966.937,60
330003803.85611,-12737118037.052,60
286305800.9688,-4783009694.5059,60
285447740.88584,-4777933892.3623,60
297312650.59137,-4808117644.8725,60
336281965.5884,-12946685854.403,60
333328203.13173,-12847768092.955,60
330689788.02154,-12759323507.286,60
330171012.68276,-12742071018.775,60
332095492.75744,-12806869764.33,60
335141052.07474,-12909291668.249,60
337148033.45964,-12976792851.79,60
336710992.37336,-12962111041.795,60
334220801.70466,-12878354910.04,60
291507303.71438,-4794589798.9503,60
291216349.10093,-4791338674.5842,60
297115902.15519,-4809381171.4944,60
336440494.97166,-12953041967.787,60
334765097.87919,-12896979215.594,60
333271681.92157,-12846904508.614,60
332991319.62189,-12837583678.646,60
334099916.23387,-12874925458.809,60
335833354.31804,-12933238810.573,60
336970027.16567,-12971520220.676,60
336746465.61019,-12964100563.995,60
335451149.14177,-12920411752.735,60
293630193.78398,-4801214217.5088,60
293712248.02282,-4799016413.8524,60
296424066.47633,-4809581105.3353,60
335840131.12834,-12933913626.291,60
334927515.50874,-12903455314.07,60
334115461.27962,-12876244244.986,60
333978247.82892,-12871679514.729,60
334603484.69258,-12892703856.035,60
335561464.33197,-12924876433.421,60
336185793.66574,-12945913117.122,60
336097867.1318,-12943132871.99,60
335524424.82901,-12923691038.404,60
294335555.11437,-4804976901.5983,60
294621132.19991,-4803487441.2149,60
295566067.38197,-4809052232.6302,60
334956786.25154,-12905047789.941,60
334506503.80074,-12890045593.966,60
334109187.69445,-12876699614.563,60
334062300.12978,-12875118341.109,60
334397257.18025,-12886361261.047,60
334885313.90016,-12902729462.057,60
335199707.73754,-12913370795.554,60
335194612.39554,-12913429129.281,60
335058450.36008,-12908625547.093,60
294328178.36994,-4806384398.1046,60
294722240.57672,-4805397369.1795,60
294958191.19691,-4808197729.4139,60
334321308.85264,-12884112002.313,60
334118685.99563,-12877393606.43,60
333948725.28165,-12871658294.68,60
333958108.15322,-12871933179.177,60
334140267.43406,-12878001433.13,60
334369277.10926,-12885625316.003,60
334507499.08864,-12890342918.678,60
334542461.79479,-12891792380.641,60
293960877.79787,-4807441870.5325,60
294185014.3927,-4806766071.4403,60
294614733.52083,-4805966483.0208,60
294619959.8365,-4807415989.9251,60
333992689.30179,-12873197010.85,60
333914673.44685,-12870621249.982,60
333868861.45438,-12869024231.388,60
333921080.67369,-12870709994.805,60
334029805.77934,-12874291466.744,60
334110764.09604,-12876932484.39,60
334134082.97172,-12877806449.725,60
334176111.78083,-12879524661.979,60
293761953.47417,-4807032988.1367,60
294072372.79705,-4806620956.0246,60
294503370.43747,-4806011939.9203,60
294448907.11832,-4806610049.4974,60
333862326.32299,-12868736533.126,60
333819739.67989,-12867326868.533,60
333826485.25571,-12867482989.478,60
333917179.68177,-12870445585.256,60
334013430.30373,-12873593613.674,60
334024775.15951,-12873891200.399,60
333971934.51047,-12872220056.123,60
333995337.10388,-12873333859.855,60
293655356.03873,-4806496810.2563,60
294040747.20873,-4806287914.0418,60
294454857.68655,-4805814318.3934,60
294301556.4748,-4805711072.9206,60
333772001.57383,-12865511561.226,60
333707576.75753,-12863355200.642,60
333722602.65353,-12863784660.474,60
333854008.49182,-12868104667.034,60
333986139.96096,-12872454229.438,60
333989238.67875,-12872490106.39,60
333892970.1492,-12869387690.331,60
293320367.57601,-4805954082.3987,60
293564721.90363,-4805887449.219,60
293960486.46835,-4805760633.525,60
294340339.93364,-4805387852.3179,60
293978913.17757,-4804618843.3455,60
333496850.37344,-12856115531.573,60
333379943.29539,-12852208444.065,60
333371643.34444,-12851858627.024,60
293027078.27484,-4804100025.4243,60
293203193.5449,-4804247807.3617,60
293263410.02574,-4804278774.9806,60
293201643.22818,-4804586910.4883,60
293176626.478,-4805417910.8843,60
293383092.21212,-4805267824.5483,60
293735488.53906,-4805051179.4213,60
294059287.81877,-4804701447.8365,60
293183780.19779,-4803012147.2934,60
292353279.51376,-4803075929.968,60
292257530.63003,-4803009247.4203,60
292214998.46787,-4802751083.4311,60
292322801.71267,-4802586651.033,60
292559528.08059,-4802757603.0502,60
292803770.92336,-4803275750.757,60
292947310.80619,-4804230960.7862,60
292993299.01635,-4805261810.6432,60
293073809.82916,-4804778884.6907,60
293210192.07035,-4803969971.0381,60
