coef_0,coef_1,coef_2,coef_3,coef_4,time
62968363.829512,12013749.143905,5226855.4335609,-8371819.2284052,2762189.7993939,1
62785772.958562,18303950.053053,202476.478407,-7006065.8353419,5469709.9016462,1
59724514.599707,24493389.683805,613121.7126058,-2634512.8074594,2008645.2648237,1
57593290.003431,33392527.942995,-6465950.2416817,2880450.3218883,802628.43377893,1
57167579.223352,35519252.854705,-8996569.7197942,4860179.1802791,163578.64784543,1
58482909.891755,30049406.381405,-5949825.8125839,2212544.8463033,388897.60318724,1
61499528.24796,21338456.006594,-2571406.1452276,-1909192.1902488,2102037.1312596,1
63063648.833187,13090466.825273,4000392.9724396,-7954327.8951783,3381300.6125836,1
63121430.547691,16587568.6564,299120.78844226,-8193068.383247,5632514.340049,1
60649546.042402,21788521.043094,1304140.935466,-3480420.3516923,2254212.8963384,1
58314209.858212,30755818.140877,-5128534.3184177,2144233.1309015,778801.82040784,1
57716799.152318,34186784.602505,-8456462.4481138,5198593.7564683,46003.187264468,1
56435075.442652,25232880.093964,6786138.6701861,-3919311.8688991,101042.35394016,1
56508563.141237,27364502.6117,4107038.7252743,-1019847.67558,-703723.51539932,1
56633384.04977,29213418.828522,2173921.6455152,804005.82883655,-1230463.5491663,1
56521992.75043,31430168.070428,-1105317.7355537,3514124.0156978,-2019110.6011701,1
56414972.281066,32299554.495889,-2490663.4185161,4422849.3111249,-2279670.1337742,1
56424600.49811,31020609.826667,-668213.68231578,2401971.8658196,-1659816.3209218,1
56384945.579857,28977549.343937,1829287.7653499,412758.78989021,-1119396.1140958,1
56384625.923084,25704597.557182,5979217.4874656,-3081562.0059351,-197073.11833213,1
56414266.713036,26393865.781697,5228547.2616941,-2283001.5656304,-345674.96823091,1
56165137.544966,29684839.516666,4230004.8509305,-4881242.1008767,1941342.5667,1
56200774.263238,31647790.526113,1338881.3958882,-2464881.7416511,1211554.3046704,1
56264614.173196,32579244.398586,-504427.78180374,-868256.59138814,768176.27230138,1
59689334.253963,19608656.551877,11716517.461768,-10258603.423062,2464658.0327841,1
59886720.727198,19959295.110362,11029098.696939,-9477006.9122299,2259028.4055609,1
60310086.921609,20244320.561095,9588154.8319186,-8161558.194814,1904147.2309567,1
60574009.080419,20603819.124202,7919588.3825577,-6923007.4361848,1602936.0232908,1
60571216.347679,20897740.679198,7271099.5857595,-6639810.9514091,1570320.3119101,1
60321709.302005,20895018.223246,8125456.2549324,-7539877.6992192,1834900.1645768,1
59918749.960078,20528665.788654,9860688.7528373,-8938471.336785,2183053.5018383,1
59642934.302351,19778376.105644,11374268.136762,-10033074.114395,2413947.607194,1
59726237.661931,19701096.434493,11504104.11838,-9997697.0633906,2401112.6805868,1
60045963.825383,20289595.15546,10048917.899956,-8743437.3333836,2035980.3929211,1
60365335.122627,20727286.493833,8079902.5940607,-7190327.9274657,1593091.3940982,1
60511613.283461,20934023.458653,6888125.1225701,-6240311.5359941,1329043.6686205,1
65543387.682616,7505985.5066946,15695685.775509,-12789180.91396,2438192.789446,1
65623106.906097,7590535.0954455,15198053.465712,-12245796.50181,2272850.222982,1
65849668.114387,7430600.5166231,14391592.832326,-11535966.474394,2082898.1955971,1
66002034.149601,7361723.2690183,13479140.325756,-10874502.412883,1925566.6626766,1
66002515.877641,7456181.9492152,13149297.277083,-10765724.7499,1933171.3955286,1
65853321.207674,7645040.9624868,13639336.724184,-11282669.368711,2096207.9605808,1
65625754.1515,7732911.2841979,14626397.158997,-12079184.597276,2298713.9229351,1
65472791.246452,7599693.5912491,15463508.863517,-12654244.586645,2417835.4152566,1
65513734.546862,7452668.8739354,15568678.283743,-12625486.145985,2383339.3156622,1
65662627.626717,7493197.0296171,14742284.398272,-11954580.147138,2176270.1415665,1
65818988.154135,7493341.2693007,13628132.221818,-11110045.273712,1933387.9290614,1
65882762.757469,7515737.1161332,12947895.959663,-10604832.534763,1794999.9879426,1
69637561.186447,-900600.53030103,17849952.163853,-14217649.500595,2426386.0093356,1
69648701.331817,-852849.80274605,17458864.191756,-13822918.411767,2306583.7050314,1
69745211.279982,-1124908.2099818,16983439.590579,-13419512.370263,2203835.777952,1
69806910.248563,-1311020.4643517,16436963.798408,-13026283.219212,2114316.23236,1
69800808.680277,-1296118.1793089,16253193.206705,-12967898.773285,2122848.3464452,1
69728016.206505,-1097803.643118,16567339.540026,-13286638.65963,2221974.9686325,1
69621034.786203,-885232.24526834,17174570.223234,-13774104.370821,2344676.169847,1
69548809.910141,-836769.3532753,17682435.964431,-14119208.5797,2413447.8171827,1
69560910.518449,-965306.59053581,17759002.399647,-14110995.387478,2389668.0560308,1
69605494.441624,-1112640.085621,17283624.458635,-13735830.461679,2272742.2036808,1
69655043.098762,-1278505.8209221,16630038.330592,-13249035.972458,2136830.9995339,1
69667245.036117,-1330306.4221809,16234646.019424,-12963518.282734,2062388.5125903,1
72246739.548049,-6143532.101636,18527105.396781,-14677925.600415,2403883.4923122,1
72216507.317152,-6088305.4429764,18243653.050057,-14403933.226959,2318368.5963636,1
72215492.018689,-6343704.2337251,18038486.95771,-14229441.60359,2270495.6537454,1
72200760.552644,-6532558.5687229,17779745.649398,-14046661.96796,2226475.3859178,1
72182492.838223,-6548540.2890176,17696110.321689,-14030643.294031,2237162.8389328,1
72166368.491556,-6389316.78797,17853180.971009,-14196840.949463,2295258.4851607,1
72150339.707977,-6179777.9173103,18151758.146657,-14438753.872337,2362101.6173869,1
72137746.131887,-6088082.2223783,18408718.417511,-14607895.761108,2395659.3878496,1
72128881.921172,-6185122.1116657,18468972.819105,-14613840.324005,2380633.548914,1
72102514.202604,-6379540.3663778,18272763.387216,-14453491.902304,2321918.3404377,1
72073189.502113,-6586335.4319756,17983469.763235,-14237434.213921,2256802.6509112,1
72052068.900488,-6667007.7088904,17802083.628162,-14106425.456324,2222588.6256945,1
73214728.764346,-8049456.9887356,18276781.892609,-14026333.31918,1892387.6880205,1
73180241.282255,-7997463.7019814,18081384.007053,-13891940.959667,1881852.9018177,1
73152537.500051,-8232542.1215051,18056819.673267,-13984708.052908,1988200.6166483,1
73116150.727803,-8417039.1641362,17983814.078741,-14040967.952295,2077226.9698966,1
73091335.26531,-8446875.6659498,17956439.910901,-14062228.15641,2102444.6247658,1
73085816.940251,-8307945.599565,18000235.384947,-14038910.089538,2047709.5755648,1
73090458.364298,-8103814.1912911,18092727.903896,-13997743.314414,1956470.3518401,1
73090762.351127,-7993545.2624327,18189053.855121,-13982085.563797,1894894.7707863,1
73073401.5413,-8066824.7064211,18243159.44677,-14019851.904622,1907062.834562,1
73032085.396862,-8329290.3488366,18506514.458669,-14578099.873262,2238372.2005659,1
72983065.284828,-8539919.7256125,18387014.767168,-14554089.934566,2284577.5590358,1
73009858.084332,-8688788.8110612,18236570.774084,-14441356.726624,2294960.8562511,1
73462603.866644,-8501735.8506985,18273436.796946,-14506025.723608,2353610.2706058,1
73432343.773862,-8447229.950576,18107167.5803,-14359418.55309,2308694.1671081,1
73392612.710638,-8628991.3331686,18098777.888877,-14352507.382343,2305270.2160843,1
73343594.401044,-8777858.0708531,18058607.036441,-14327112.934265,2297120.3843919,1
73310594.202855,-8812579.2614074,18054060.93444,-14339893.762859,2306177.1876642,1
73306166.785175,-8711789.6636918,18091316.508754,-14383952.29028,2326555.6439326,1
73321045.503313,-8546825.4538438,18145925.707334,-14429719.845897,2344243.9672584,1
73330481.450032,-8445344.8420514,18193922.804216,-14456166.773091,2349229.9804973,1
73309840.014218,-8493684.8012847,18222677.218516,-14464603.845061,2343770.8819626,1
73253635.432354,-8672465.1452035,18226606.085469,-14459014.778249,2332633.9655306,1
73188785.319156,-8870203.0439064,18213016.503243,-14446669.118923,2323980.0956753,1
73153137.861482,-8957280.6049846,18194895.335361,-14431742.503046,2320027.3477673,1
73288544.802275,-8091811.3454323,17830513.717283,-13976698.60656,2161580.5532782,1
73270641.34288,-8055065.5191877,17742929.055087,-13912823.806863,2145478.6199399,1
73238363.136674,-8230060.8309661,17863252.533928,-14041033.322702,2189689.522,1
73192117.89744,-8376383.4258858,17891805.83206,-14066370.753295,2192919.2263079,1
73153805.896177,-8415021.0855327,17833344.821003,-13993063.828176,2162368.8104367,1
73142856.625467,-8328248.8144228,17770053.973251,-13928780.770838,2144148.4501666,1
73159117.755124,-8185501.8695939,17795922.069518,-13987964.953819,2181629.7004359,1
73177037.221293,-8102308.5341701,17910971.582914,-14150525.509202,2256851.5024678,1
73162787.516208,-8153970.4043711,18016463.090157,-14273290.197703,2303224.0476988,1
73107877.607239,-8375272.0428882,18207400.488963,-14474291.585234,2372853.379094,1
73009933.625144,-8451553.7404939,18009783.370621,-14316279.458084,2325004.9324793,1
72967699.000685,-8540323.4046267,18023257.993154,-14326189.326427,2327065.8130169,1
72886318.997208,-7279379.0017403,17729631.919507,-14133874.985719,2314841.8579002,1
72883881.514146,-7237055.902991,17625621.041688,-14045766.499575,2288687.5915835,1
72868456.449177,-7357650.0956654,17652149.248884,-14065789.253722,2292425.6193579,1
72832697.323376,-7506162.7421283,17673253.941045,-14080858.98566,2291779.8757694,1
72794170.279728,-7623066.1263748,17711892.028874,-14116437.570411,2301438.1291875,1
72785415.759406,-7630582.7779614,17737260.655496,-14144750.126514,2315033.3817411,1
72820970.284821,-7523671.0129696,17723209.942607,-14138228.773395,2321507.0778773,1
72871172.395027,-7410829.4361526,17689850.407469,-14107900.293708,2317092.0346227,1
72881346.161026,-7434545.8995745,17689756.467969,-14099164.918785,2310854.7271921,1
72825082.018767,-7637867.450758,17749018.299454,-14135652.021376,2311027.9963529,1
72737119.426573,-7891424.3747152,17827392.752922,-14194123.898022,2319229.0876979,1
72686910.410981,-8003407.7298049,17855536.276132,-14217091.116921,2324570.897583,1
72242705.245188,-5990892.8342563,17410136.115744,-13918029.859232,2293241.6401602,1
72263768.027513,-5939865.735681,17322613.13681,-13845379.565306,2273321.0115672,1
72287567.637705,-6023218.3576783,17338848.95776,-13853649.837324,2273595.2956297,1
72281320.854897,-6225912.2752242,17375769.329735,-13873419.880608,2269797.3202908,1
72253596.779189,-6500276.3931209,17452175.410503,-13931809.144575,2279112.2111324,1
72262175.637869,-6672159.7368303,17512054.318597,-13986604.113188,2296742.4473529,1
72349784.014294,-6633347.4616181,17506334.232977,-13991038.132169,2308476.4256807,1
72478488.818587,-6499094.5424765,17460265.032243,-13953645.106671,2305920.9276179,1
72550183.489436,-6522998.2906448,17456193.316025,-13938745.775784,2297677.4259043,1
72504317.479144,-6831522.7487612,17541185.024097,-13989579.981067,2296815.1111392,1
72389054.256476,-7242191.4219278,17655289.801365,-14073724.615141,2306821.6457317,1
72320265.219031,-7425876.6317515,17691238.270565,-14105536.130254,2314332.0586006,1
71388709.550912,-4287044.9313246,16887399.713359,-13561443.709686,2263342.9105681,1
71440533.133584,-4193380.3636979,16800205.797602,-13495260.833106,2250779.9949478,1
71524859.172513,-4199974.9191247,16795218.338981,-13484146.902606,2247695.0512067,1
71567412.717588,-4493056.5690495,16857899.417647,-13510580.71935,2236703.4903677,1
71564213.865466,-5052893.9622201,17006006.332128,-13609843.152702,2241053.888863,1
71611034.962911,-5527059.8889711,17142640.148568,-13720453.532893,2263551.2070017,1
71791488.792306,-5611347.1451692,17179284.278063,-13766025.499344,2288723.8307627,1
72052841.161547,-5430302.8826527,17144347.756161,-13744920.807375,2297759.0217122,1
72227343.701915,-5445711.0436051,17158186.793194,-13739138.003789,2290404.8554896,1
72199155.322889,-5943559.1129939,17291501.791756,-13814152.752989,2282877.4408518,1
72040110.679937,-6646321.3494126,17453338.64525,-13925496.817904,2285823.9861061,1
71942262.723251,-6967768.148497,17489051.933362,-13958289.957425,2291576.1001143,1
70164790.982988,-1950479.5055937,16001694.495832,-12947878.648552,2214877.4176289,1
70270692.250919,-1718572.458834,15904367.582673,-12889959.542412,2218169.0278347,1
70468479.47708,-1499840.5584735,15890432.584502,-12872808.023359,2220215.1487125,1
70594984.245744,-1911664.9454686,16002426.682996,-12914206.797655,2197042.512657,1
70621530.841338,-3022676.9216406,16244422.915227,-13054827.851321,2180591.0101868,1
70722349.623189,-4105553.4505421,16490043.031622,-13238053.079271,2200063.3530104,1
