time,dT,max_v,mdot,p_drop,pump,total_fission_source,total_power,lambda
0,0,2.0256344243068,0,-6965.8333264474,1,63.242544832291,2999968739.9724,0
0.25,97.567901304246,2.0259006516694,19229.813438148,-6972.5378516531,1,63.242544832291,2999968739.9724,4.0226890061244e-13
0.5,97.567763338336,2.0256954897433,19228.723366883,-6972.8360553993,1,63.242544832291,2999968739.9724,-5.479707121085e-13
