time,dT,max_v,mdot,p_drop,pump,total_fission_source,total_power,lambda
0,0,2.0256344243068,0,-6817.7149509796,1,63.242544832291,2999968739.9724,0
0.25,97.567901304403,2.0259006516623,19229.81343812,-6821.7560429288,1,63.242545075603,2999968739.972,-8.9178508146092e-13
0.5,97.567763374176,2.0256954893142,19228.72336278,-6822.1701120845,1,63.24253683538,2999968348.6604,1.5396169219622e-13
