time,P_in,P_out,T_in,T_out,_PipeHeatRemovalRate,htc_avg,mfr,rho_in,rho_out,v_in,v_out
0,7000000,7000000,873.15,873.15,0,1263.647725962,0.0064875673999454,3.8241795215652,3.8241795215652,15,15
1,7001171.1343354,6999999.9949388,873.15,1127.9156087954,9282.4242637078,1329.0597137456,0.0064886429060957,3.8248134924115,2.9675562142565,15,19.686377505315
2,7001102.2493695,6999999.9941769,873.15,1138.5906502217,8626.9129510721,1302.8934665024,0.006488579645976,3.8247762029254,2.9399554957482,15,19.351445552473
3,7001125.6645049,6999999.9943442,873.15,1135.4924414027,8826.1051943969,1310.7033781794,0.0064886011491347,3.8247888782371,2.947913049163,15,19.453199106754
4,7001125.3176486,6999999.9943886,873.15,1135.2242463554,8836.4422298237,1311.1910363055,0.0064886008306012,3.8247886904735,2.9486039159,15,19.45849119814
5,7001125.3510915,6999999.994386,873.15,1135.2513327402,8835.1570299452,1311.1351665622,0.0064886008613133,3.8247887085771,2.9485341270595,15,19.457834070079
6,7001125.3558087,6999999.994385,873.15,1135.2548123969,8835.0884467452,1311.1306350192,0.0064886008656453,3.8247887111307,2.9485251618638,15,19.457798730412
7,7001125.3555746,6999999.994385,873.15,1135.2546265788,8835.0956848971,1311.1309750208,0.0064886008654304,3.824788711004,2.9485256406153,15,19.457802435774
8,7001125.355533,6999999.994385,873.15,1135.2545975549,8835.0956540122,1311.1309962917,0.0064886008653921,3.8247887109814,2.9485257153941,15,19.457802423963
9,7001125.3555345,6999999.994385,873.15,1135.2545989412,8835.0956001313,1311.1309937584,0.0064886008653935,3.8247887109822,2.9485257118222,15,19.457802396379
10,7001125.3555347,6999999.994385,873.15,1135.2545990854,8835.0956063246,1311.1309938183,0.0064886008653937,3.8247887109824,2.9485257114509,15,19.457802399509
