time,P_in,P_out,T_in,T_out,_PipeHeatRemovalRate,htc_avg,mfr,rho_in,rho_out,v_in,v_out
0,7000000,7000000,873.15,873.15,0,1263.647725962,0.0032437834131593,3.8241795215652,3.8241795215652,15,15
1,7001167.9032611,6999999.9946653,873.15,1127.1473080262,4624.8474741163,1305.3249341361,0.0032443196825676,3.8248117433347,2.9695626730116,15,19.669836525589
2,7001101.9903494,6999999.9940883,873.15,1138.2376834286,4313.0062444646,1294.7748062134,0.003244289417195,3.8247760627101,2.9408599012887,15,19.35103540138
3,7001123.7427518,6999999.9942186,873.15,1135.0922193913,4404.3251586791,1297.9040032507,0.0032442994052927,3.8247878379349,2.9489441343145,15,19.444375048408
4,7001123.7564469,6999999.9942519,873.15,1134.7861312907,4410.9409789414,1298.1084585625,0.0032442994115811,3.8247878453484,2.9497331904225,15,19.451144950348
5,7001123.7550383,6999999.9942502,873.15,1134.8136186118,4410.2673189961,1298.0869767871,0.0032442994109343,3.8247878445859,2.9496623143701,15,19.450456103469
6,7001123.7548152,6999999.9942494,873.15,1134.8183448479,4410.1860955945,1298.0846487756,0.0032442994108319,3.8247878444651,2.949650128114,15,19.450372855122
7,7001123.754816,6999999.9942494,873.15,1134.8181985264,4410.1896288618,1298.0847576347,0.0032442994108322,3.8247878444656,2.9496505053918,15,19.450376468323
8,7001123.7548196,6999999.9942494,873.15,1134.8181452249,4410.1903824384,1298.0847779462,0.0032442994108339,3.8247878444675,2.9496506428253,15,19.450377241987
9,7001123.7548196,6999999.9942494,873.15,1134.8181451857,4410.1903729651,1298.0847776242,0.0032442994108339,3.8247878444675,2.9496506429264,15,19.450377232359
10,7001123.7548196,6999999.9942494,873.15,1134.8181456619,4410.1903672662,1298.084777478,0.0032442994108339,3.8247878444675,2.9496506416985,15,19.450377226498
