time,fuel_temp_avg,fuel_temp_max,fuel_temp_min,integrated_power,power_scaling,scaled_power_avg
0,1008.1753670632,1210.0250877744,633.44140812226,225000,3.694989465597e+14,12559575.685913
1,1008.1753708789,1210.0250917954,633.44140970542,225000.2349409,3.694989465597e+14,12559588.800393
2,1008.1852576619,1210.034837216,633.44119074461,224966.22168204,3.694989465597e+14,12557690.168842
3,1008.2077540539,1210.0740216875,633.440515933,224889.94165837,3.694989465597e+14,12553432.192262
