time,T_flow_in,T_flow_out,bypass_fraction,core_balance,coupling_its_primary,e_flow_in_m,e_flow_out,h,inlet_mdot,inlet_temp_fluid,inlet_vel_y_pp,mass_flow_OR,mass_flow_out,mass_flow_plenum,max_Tf,max_vy,num_fixed_point,outlet_pressure,plenum_fraction,power,pressure_drop,pressure_in
-200000,-0,873.15,0,0,0,0,8575233563.1164,0,976,873.15,0.2960766880296,2694.361144661,4064.996438599,842.90405776936,0,0,0,200000,0,236687756.50496,0,200000
-199999.85,873.15000099772,873.24120870007,0.47055773087286,236472684.93061,1,-2058901672.7526,2059116744.327,0.27052069320789,1956.5529836392,892.51168959787,0.2960766880296,459.2643458567,976.00000111524,421.7444573468,874.87085895191,0.21196128231601,0,185625.85147197,0.43211522219763,236687756.50496,-110130.78616649,310130.78616649
-199999.55,445.21738860486,873.28679902239,0.14658530669746,282020356.132,1,-2104556846.6636,2059224247.0366,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,143.0672595002,976.00000111524,782.13207659185,884.80603646194,0.27601264088711,0,185625.85147197,0.80136483165793,236687756.50496,-163598.21384882,349224.06532079
-199998.95,892.51169061772,874.75065681498,0.069074994347259,320644727.06913,1,-4218931329.4856,4134974358.9215,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,135.14888643942,1956.5529858749,1746.0881120453,891.96060261609,0.62173030589312,0,185625.85147197,0.89243078242757,236687756.50496,-317669.24940259,503295.10087455
-199997.75,892.51169061772,880.33576435934,0.035353274946601,294243744.90602,1,-4218931329.4856,4161375341.0846,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,69.170555657228,1956.5529858749,1850.2733513026,895.2846007713,0.66564505455192,0,185625.85147197,0.94568016540336,236687756.50496,-310858.11739866,496483.96887062
-199995.35,892.51169061772,890.44993024374,0.028897381692723,246433758.97686,1,-4218931329.4856,4209185327.0137,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,56.539258434863,1956.5529858749,1867.2429488231,906.11433917192,0.67525406111789,0,185625.85147197,0.95435337673118,236687756.50496,-309916.72565054,495542.5771225
-199990.55,892.51169061772,904.66058415772,0.027360076120613,179259542.98741,1,-4218931329.4856,4276359543.0032,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,53.531438627548,1956.5529858749,1868.926681991,930.53636252605,0.67528800518843,0,185625.85147197,0.95521393771776,236687756.50496,-309018.73570274,494644.58717471
-199980.95,892.51169061772,920.24132280875,0.026969232264071,105608892.58416,1,-4218931329.4856,4350010193.4064,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,52.76673191302,1956.5529858749,1866.9779332653,965.36600237195,0.67286736970924,0,185625.85147197,0.95421792649818,236687756.50496,-308362.39008991,493988.24156187
-199961.75,892.51169061772,930.37942133444,0.027215350551293,57685776.293415,1,-4218931329.4856,4397933309.6972,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,53.248275382764,1956.5529858749,1863.9179412118,1003.489956473,0.6703914979393,0,185625.85147197,0.9526539555372,236687756.50496,-308073.65749708,493699.50896905
-199923.35,892.51169061772,934.31960279663,0.027485168224051,39060412.381161,1,-4218931329.4856,4416558673.6094,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,53.776187956039,1956.5529858749,1862.0770210354,1022.348573287,0.6690558647492,0,185625.85147197,0.95171305580705,236687756.50496,-308005.2764677,493631.12793966
-199846.55,892.51169061772,936.25445798448,0.027560887328962,29914289.96603,1,-4218931329.4856,4425704796.0246,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,53.924336396842,1956.5529858749,1861.3770779582,1028.1405747249,0.66844391230739,0,185625.85147197,0.95135531283649,236687756.50496,-307997.54170244,493623.39317441
-199692.95,892.51169061772,938.2520171461,0.02754735972194,20471763.859432,1,-4218931329.4856,4435147322.1312,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,53.89786891693,1956.5529858749,1860.8400794507,1031.1853877343,0.66790228100956,0,185625.85147197,0.95108085131597,236687756.50496,-307993.13054912,493618.98202108
-199385.75,892.51169061772,940.23033478462,0.027752416408996,11120193.04855,1,-4218931329.4856,4444498892.942,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,54.299073190264,1956.5529858749,1859.6586818435,1034.4904105745,0.66704945035996,0,185625.85147197,0.95047703551558,236687756.50496,-307982.6201877,493608.47165967
-198771.35,892.51169061772,941.60256459048,0.028672494843853,4633618.8258119,1,-4218931329.4856,4450985467.1648,0.27052069320789,1956.5529836392,892.51168959787,0.59353455671139,56.099255399221,1956.5529858749,1857.1478123408,1037.679560926,0.66599817617177,0,185625.85147197,0.94919372270943,236687756.50496,-307969.21235469,493595.06382666
