time,Bypassrho,Bypassv,Core_inlet_T,Core_inlet_T_reversal,Core_inlet_mdot,Core_inlet_pressure,Core_inlet_rho,Core_inlet_v,Core_outlet_T,Core_outlet_mdot,Core_outlet_p,Core_outlet_rho,Core_outlet_v,DHXTubeBot,DHXTubeTop,DHX_flow,DHX_q,DHXshellBot,DHXshellTop,core_inlet:massflow,core_inlet:pressure,core_inlet:temperature,core_inlet:velocity,core_outlet:massflow,core_outlet:pressure,core_outlet:temperature,core_outlet:velocity,Branch030:pressure,Branch030:rho,Branch030:temperature,Branch030:velocity,Branch260:pressure,Branch260:rho,Branch260:temperature,Branch260:velocity,Branch270:pressure,Branch270:rho,Branch270:temperature,Branch270:velocity,Branch280:pressure,Branch280:rho,Branch280:temperature,Branch280:velocity,Branch501:pressure,Branch501:rho,Branch501:temperature,Branch501:velocity,Branch502:pressure,Branch502:rho,Branch502:temperature,Branch502:velocity,Branch601:pressure,Branch601:rho,Branch601:temperature,Branch601:velocity,Branch602:pressure,Branch602:rho,Branch602:temperature,Branch602:velocity,Branch603:pressure,Branch603:rho,Branch603:temperature,Branch603:velocity,Branch604:pressure,Branch604:rho,Branch604:temperature,Branch604:velocity,Branch605:pressure,Branch605:rho,Branch605:temperature,Branch605:velocity,Branch606:pressure,Branch606:rho,Branch606:temperature,Branch606:velocity,Branch607:pressure,Branch607:rho,Branch607:temperature,Branch607:velocity,Branch609:pressure,Branch609:rho,Branch609:temperature,Branch609:velocity,Branch610:pressure,Branch610:rho,Branch610:temperature,Branch610:velocity,Branch611:pressure,Branch611:rho,Branch611:temperature,Branch611:velocity,Branch612:pressure,Branch612:rho,Branch612:temperature,Branch612:velocity,Branch613:pressure,Branch613:rho,Branch613:temperature,Branch613:velocity,Branch614:pressure,Branch614:rho,Branch614:temperature,Branch614:velocity,Branch615:pressure,Branch615:rho,Branch615:temperature,Branch615:velocity,Diode608:pressure,Diode608:rho,Diode608:temperature,Diode608:velocity,Pump:pressure,Pump:pump_head,Pump:rho,Pump:temperature,Pump:velocity,cover_gas1:pressure,cover_gas2:pressure,pool1:level,pool1:pressure,pool1:rho,pool1:temperature,pool1:velocity,pool1:volume,pool2:level,pool2:pressure,pool2:rho,pool2:temperature,pool2:velocity,pool2:volume
0,1987.12,1.993,885.838,850,1966.1662927657,200000,1980.928256,2.92686,950,976,188485,1949.6172,0.50061109432149,830,830,53.961792719868,-4299875.8943736,870,870,1966.1662927657,202912,885.838,2.92686,975.9998161092,188485,950,0.500611,170000,1939.8572,970,2.04,100000,1939.8572,970,2.052,250000,1987.12,873.15,1.784,340000,1987.12,873.15,0.388,100000,1939.8572,970,2.052,100000,1987.12,873.15,1.796,460000,1939.8572,970,1.783,520000,1939.8572,970,1.207,250000,1987.12,873.15,2.818,310000,1987.12,873.15,1.796,310000,1987.12,873.15,1.796,190000,1987.12,873.15,1.796,180000,1987.12,873.15,1.796,130000,1987.12,873.15,0.767,100000,1987.12,873.15,1.796,100000,1987.12,873.15,1.796,100000,1987.12,873.15,1.796,100000,1987.12,873.15,1.796,100000,1987.12,873.15,1.796,100000,1987.12,873.15,1.796,230000,1987.12,873.15,0.767,270000,462000,1939.8572,970,1.783,200000,90000,0.4,100000,1997.0996,852.7,0,0.9,0.4,100000,1939.8572,970,0,0.9
2.5,1981.1749513345,-1.8146785681056,873.93610240138,850,1958.8028369249,200000,1986.7363820281,2.9073741803108,950,976,185704.36543998,1949.6172,0.50061109432149,873.68380231019,837.0805081402,-44.643665294358,-15365.126135173,871.94143917722,860.19209477607,1958.8028369249,199999.99999992,873.93610240138,2.9073741803108,976.00000000134,185704.36543998,950,0.50061109432218,180100.32019683,1946.7577109971,955.85960861251,1.9859275413625,109689.989254,1940.6840095729,968.30571808839,1.4485897713886,128349.4823275,1987.1433026564,873.10224865483,2.8563559728381,215145.72633119,1986.6569011061,874.09897314315,0.74260738979961,99398.07573447,1939.8627568918,969.98861292654,3.2863680832099,218553.19145458,1988.3253637249,870.67999236698,0.20011115719197,556200.59360262,1939.8571999318,970.00000013975,2.8552601732164,624298.01855377,1939.857199907,970.00000019049,1.9330528476127,136219.42022441,1977.4641964996,892.93648258282,4.3944414493244,187883.41415031,1972.3632688538,903.38920316851,4.394441449362,198482.90955831,1976.3516541539,895.21628247145,2.800830750465,70079.190741437,1986.8069105837,873.7915766728,2.8008307504647,65463.091880406,1987.1172902447,873.15555277723,2.8008307505107,82993.348028389,1993.4042029836,860.27253486972,0.63366839424418,287190.14912491,2004.7219119912,837.08050821479,0.17200315548387,219054.94943956,1987.1206990063,873.14856761001,0.20008392650617,168764.03173383,1987.120003322,873.14999319269,0.20008392678975,219212.37477855,1993.2455964581,860.59754824162,0.16666302273509,219796.83618389,1987.1205811163,873.14880918781,0.16666302292674,336454.06262127,1987.1199997236,873.15000056646,0.16666302297246,130189.26250853,1987.7097776825,871.94143917517,0.63370481862983,557474.43819734,462000,1939.8572006048,969.99999876058,2.855260173193,200000,90000,0.4,207828.63043209,1997.0996,852.7,0,0.9,0.4,97604.240223973,1939.8572,970,0,0.9
5,1940.801892504,-1.8139409888977,883.68063501653,850,1968.0661248387,200000,1981.9810501119,2.9281319143011,950,976,185567.19795032,1949.6172,0.50061109432149,873.26587534353,843.58473018311,-44.078460607581,692646.28235511,871.94688985766,895.32071674506,1968.0661248387,200000.00000144,883.68063501653,2.9281319143011,976.00000000045,185567.19795032,950,0.50061109432172,179959.11700792,1948.8271518161,951.61895119643,1.9838187047919,109530.99383091,1946.0543754767,957.30086992486,1.4490603217155,128414.54388818,1987.0342365758,873.32574472164,2.8798198957257,215221.1751756,1981.904449232,883.83760403272,0.74794183588831,99284.182313897,1940.1446680748,969.41092607616,3.3037009601547,218585.0923655,1989.5282625708,868.21503571564,0.08920377468129,556186.75325061,1939.8572006452,969.99999867781,2.870304737977,624375.59747113,1939.8572005446,969.99999888398,1.943238237762,134625.35727796,1983.1606659692,881.26338940736,4.4322645221981,186373.18753707,1981.9124308016,883.82124835742,4.4322645222444,197310.23389524,1978.812847113,890.1728542766,2.824937574313,69786.349991389,1976.5972359337,894.7130411195,2.8249375743706,65428.535420032,1986.3993946216,874.62665036551,2.8249375743653,83218.632424519,1976.020358669,895.89516666188,0.63114998528258,286155.31528347,2001.547851657,843.58473021104,0.064238039712949,218739.95381093,1987.1213670559,873.14719865597,0.08918162543046,168214.93643799,1987.1200063766,873.14998693317,0.089181625420507,218958.86205179,1998.3382943009,850.16169200626,0.061491646634224,219132.70512002,1987.1210020775,873.14794656247,0.061491646638177,335235.50455647,1987.11999707,873.15000600409,0.061491646641764,130416.65484109,1987.7071177491,871.94688985847,0.6298876612071,557393.94707971,462000,1939.8572033169,969.99999320301,2.8703047379621,200000,90000,0.4,207828.63043195,1997.0996,852.7,0,0.9,0.4,97604.240224084,1939.8572,970,0,0.9
7.5,1949.2424023825,-1.8118976102189,882.80776473124,850,1961.0758157966,200000,1982.4070108112,2.9171046449868,950,976,185610.70850972,1949.6172,0.50061109432149,873.9043884903,851.7784913076,-43.648430886353,1976566.0889639,871.37051138431,983.19914146919,1961.0758157966,200000.00000001,882.80776473124,2.9171046449868,975.99999999994,185610.70850972,950,0.50061109432146,180001.51079056,1949.3990324569,950.44706463741,1.983236727941,109534.29050643,1948.7140327687,951.85075252324,1.4491091044608,128383.24145377,1983.3156927193,880.94571164077,2.8669914840409,215168.7217768,1982.3566071732,882.91105087457,0.74512913839429,99373.876306706,1942.0714616619,965.46257856174,3.2884752776462,218590.60581336,1990.5925173283,866.03418580259,0.049151923305655,556224.33045975,1939.8572721289,969.99985219498,2.8570455926191,624348.29959009,1939.8572033234,969.99999318972,1.9342616026209,135528.88714833,1985.4694874419,876.5321978649,4.4124679834397,187365.9192991,1984.9773944982,877.54058504477,4.4124679834413,198178.55453397,1983.7753052481,880.00388268825,2.8123200994181,70034.079115664,1977.9634578915,891.91340595994,2.8123200994186,65639.377317574,1976.7255829312,894.45003497713,2.8123200994206,83154.772217069,1933.4720339954,983.08435656688,0.63874617648741,286064.02137181,1997.5492962221,851.7784913481,0.028495026571663,218668.88913013,1987.1219171727,873.14607136751,0.049131425720259,168091.63751784,1987.1200110315,873.14997739457,0.049131425717332,219021.1312059,2002.5225291241,841.58744031956,0.026164220700158,219101.50964073,1987.1212673851,873.14740289939,0.026164220751127,335078.47240692,1987.1199960439,873.15000810668,0.026164220752161,130282.09713089,1987.9883904439,871.3705113854,0.63506125951761,557466.22129588,462000,1939.8576019139,969.99917640601,2.857045592615,200000,90000,0.4,207828.630432,1997.0996,852.7,0,0.9,0.4,97604.240223996,1939.8572,970,0,0.9
10,1949.4186072982,-1.8123225711781,892.54799575432,850,1956.5532745286,200000,1977.6537780719,2.9173723612214,950,976,185623.68101768,1949.6172,0.50061109432149,875.00957560491,858.29233386722,-43.749180382339,2543594.0746932,870.23440599658,954.59695937395,1956.5532745286,199999.99999988,892.54799575432,2.9173723612214,975.99999999999,185623.68101768,950,0.50061109432149,180014.17481857,1949.5569401486,950.123483302,1.9830760923132,109535.07085997,1949.3657794454,950.51520605447,1.4489291403082,128513.64660226,1973.6515415951,900.74930001009,2.8679720622642,215133.21010942,1977.2657433275,893.34314891902,0.74486339678879,99357.301304551,1943.5356311967,962.46223115439,3.2900189459182,218592.17740806,1991.5436719024,864.08509856076,0.02888786377002,556199.98701364,1939.8615109228,969.99116614171,2.8584249001624,624319.46614752,1939.8574895238,969.99940671352,1.9351954139765,136140.65483107,1986.021062678,875.40192074186,4.413506057305,187963.76062808,1986.0228838437,875.39818884488,4.4135060573053,198771.45483852,1985.7057715747,876.04800906829,2.8129817237059,70406.20363498,1984.0907372772,879.35750557945,2.8129817237059,65944.676056495,1977.4036420674,893.06056953397,2.8129817237061,83279.769040707,1947.482092386,954.37522052055,0.63561482865235,286067.15855936,1994.3705411225,858.29233376543,0.0127241326026,218631.46076597,1987.1224345309,873.14501120717,0.028870825880386,168027.15552763,1987.120020082,873.1499588483,0.028870825882057,219086.6893696,2005.8908629255,834.68511695598,0.0098081315820426,219122.59182744,1987.1239705947,873.14186353549,0.0098081317336273,335039.76995267,1987.1200491818,873.14989921765,0.0098081317327848,130349.03748359,1988.5428098737,870.23440599651,0.63088665710633,557455.56106886,462000,1939.8757344708,969.96201952703,2.8584249001612,200000,90000,0.4,207828.630432,1997.0996,852.7,0,0.9,0.4,97604.240223999,1939.8572,970,0,0.9
