time,average_T_UO2,average_T_fuel_matrix,average_T_shell,max_T_UO2,max_T_fuel_matrix_mesoscale
0,0,0,0,0,0
1,908.64266761254,891.0055312634,889.75748942759,915.76822063989,895.89287754996
