time,anisotropic_swelling_factor,burnup_avg,burnup_max,contact_pressure_max,disp_x_cladding_exterior_avg,disp_x_cladding_exterior_max,disp_x_cladding_interior_avg,disp_x_cladding_interior_max,disp_x_cladding_interior_min,disp_x_fuel_radial_surface_avg,disp_x_fuel_radial_surface_max,disp_y_fuel_bottom_surface_avg,disp_y_fuel_bottom_surface_max,disp_y_fuel_top_surface_avg,disp_y_fuel_top_surface_max,fg_percent,fg_produced,fg_released,fission_rate_avg,flux_clad,flux_fuel,interconnected_porosity_fuel_avg,linear_heat_generation_rate,max_cdf,max_fuel_elongation,max_wastagethickness,max_wst_burnup,max_wst_temp,plenum_pressure,plenum_ratio,porosity_fuel_avg,porosity_fuel_max,porosity_fuel_min,porosity_sodium_logging_avg,power_integral,strain_axial_fuel_avg,strain_gas_swelling_fuel_avg,strain_hot_pressing_fuel_avg,strain_solid_swelling_fuel_avg,strain_volumetric_fuel_avg,stress_hydro_cladding_avg,stress_hydro_cladding_max,stress_hydro_cladding_min,stress_hydro_fuel_avg,stress_hydro_fuel_max,stress_hydro_fuel_min,stress_vonmises_cladding_avg,stress_vonmises_cladding_max,stress_vonmises_cladding_min,stress_vonmises_fuel_avg,stress_vonmises_fuel_max,stress_vonmises_fuel_min,temp_cladding_avg,temp_cladding_inside_right_avg,temp_cladding_inside_right_max,temp_cladding_max,temp_cladding_min,temp_cladding_outside_right_avg,temp_fuel_avg,temp_fuel_centerline_avg,temp_fuel_centerline_max,temp_fuel_centerline_min,temp_fuel_max,temp_fuel_min,temp_fuel_surface_avg,temp_fuel_surface_max,temp_fuel_surface_min,temp_gas_avg,temp_inside_surfaces_avg,temp_sodium_avg,time_step_limit,volume_cladding_interior,volume_fuel,volume_plenum,volume_sodium
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84116,-1.4486781094961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,298,298,298,0,0,-5.2001635878606e-06,7.5333631555321e-06,-1.7399040182979e-06
60,1.0001463565527,1.7839958516994e-10,1.9498618653349e-10,0,1.1695080694329e-05,1.1707340675616e-05,1.0168482946668e-05,1.0179275359246e-05,1.0136837747694e-05,1.0922128792575e-05,1.0943836111075e-05,-1.6476132397891e-07,-1.5756895931176e-07,0.0017043602516599,0.001704361913545,0,1.6728030329993e-11,0,2.1403369379418e+17,55.887975851744,-46.862152487661,0,1.038861343,0,0.001704361913545,3.678365239782e-20,1.9135653677819e-10,645.13593812897,84116,-1.4248533583987,1.0076513947006e-10,1.0087123847906e-10,1.005268145684e-10,0,35.616327073402,0.0049709099241292,7.6513947013631e-13,0,2.6759937775491e-10,0.014875794471251,-159914.07118906,894981.73254694,-1235599.3458416,-93359.416307743,613950.02486931,-529153.0558317,732833.81818004,2629643.4334535,67791.576873117,420538.49985257,754928.19321393,140926.23025185,644.81541382782,644.7766668096,645.11195652956,645.14901813975,643.21094068425,644.8991376057,644.16638887947,643.93594459214,645.15,643.19983664187,644.91582069956,643.3203016795,644.401927134,644.94694256248,643.81618658372,644.91082796228,644.66348403953,644.91082796228,7200,1.453852481692e-05,-5.2781009434212e-06,7.5205198552013e-06,-1.8854742688472e-06
