time,DP_SubchannelDelta,Mean_Temp,T1,T2,T3,T4,T5,T6,T7,T8,Total_power
0,0,0,0,0,0,0,0,0,0,0,0
1,149331.30956397,671.81213532897,656.7146585608,658.39163507667,681.12608405124,694.10632879167,706.05091778339,706.04971300105,681.12508931053,656.7143848844,337883.33333334
