time,CH1UP_outlet_T,CH1_inlet_T,CH1_inlet_T_0,CH1_outlet_T,CH1_outlet_T_0,CH1_outlet_flow,CH1_velocity,CH3_outlet_T,CH3_outlet_flow,CH3_velocity,CH4_outlet_T,CH4_outlet_flow,CH4_velocity,CH5_outlet_T,CH5_outlet_flow,CH5_velocity,Core_Radial_Expansion_Reactivity,DHX_flow,DHX_heatremoval,IHX_heatremoval,IHX_inlet_T,IHX_primaryflow,IHX_secondaryflow,NaHX_heatremoval,Total_Reactivity_Feedback,cover_gas:pressure,feedback-Axial,feedback-coolant,feedback-doppler,feedback-ext,feedback-total,max_Tci_Ref,max_Tci_core,max_Tco_Ref,max_Tco_core,max_Tcoolant_Ref,max_Tcoolant_core,max_Tf_Ref,max_Tf_core,pump_flow,reactor:decay_heat
-500,628.15,628.15,0,628.15,0,4.2615129066553,1,628.15,25.566307807074,1,628.15,127.82721148403,1,628.15,133.24974496401,1,0,20.772246432506,0,0,628.15,662.98086530414,-894.93761713378,0,0,101237.0534,0,0,0,0,0,628.15,628.15,628.15,628.15,628.15,628.15,628.15,628.15,114.24735537878,16820017.447682
-490,820.07312650131,636.76847147457,636.76867904419,820.30685802345,820.23966005311,24.110670893754,5.6705348659225,786.08744679903,129.54284081095,5.078385044727,784.34727881737,573.26484679992,4.4947957420791,628.12118919752,33.208841553122,0.24866303639334,0,5.4351364402523,28476.646196684,282057072.39756,792.34397227991,1272.8149082273,-1259.329530401,-171923746.29034,-1.8347471326798e-07,102394.65870097,-2.2369397589881e-08,2.3384550319604e-08,-1.844898659977e-07,0,-1.8347471326798e-07,655.3269285485,840.07892227609,655.15952876061,825.49275568121,655.15211316396,820.30685802345,656.36234090798,903.83322554035,1267.3417369918,16820017.447682
-39,820.17534209539,636.76866228973,636.76866360931,820.1753895568,820.17360240017,24.133481754148,5.6760049058426,786.26529293412,129.66264402293,5.0831901133699,784.61033872113,573.78302325487,4.4989796416297,804.33204631957,33.2158056931,0.24983035804708,0,0.53836382347221,156.24129768375,249495507.84195,792.37120747187,1260.3499437189,-1259.8694856821,-249470875.6612,-3.1553012560913e-09,101807.01494707,-4.4607615270977e-10,1.1939440670816e-09,-3.903169170463e-09,0,-3.1553012560913e-09,806.83679218414,839.97310923086,806.42283944736,825.36763687867,806.32701314563,820.1753895568,808.30080674911,903.75098214521,1260.3719305344,16820017.447682
