time,CH1UP_outlet_T,CH1_inlet_T,CH1_outlet_T,CH1_outlet_flow,CH1_velocity,CH2_outlet_T,CH2_outlet_flow,CH2_velocity,CH3_outlet_T,CH3_outlet_flow,CH3_velocity,CH4_outlet_T,CH4_outlet_flow,CH4_velocity,CH5_outlet_T,CH5_outlet_flow,CH5_velocity,Core_Radial_Expansion_Reactivity,DHX_flow,DHX_heatremoval,IHX_heatremoval,IHX_inlet_T,IHX_primaryflow,IHX_secondaryflow,NaHX_heatremoval,Total_Reactivity_Feedback,feedback-Axial,feedback-coolant,feedback-doppler,feedback-ext,feedback-total,max_Tci_Ref,max_Tci_core,max_Tco_Ref,max_Tco_core,max_Tcoolant_Ref,max_Tcoolant_core,max_Tf_Ref,max_Tf_core,pump_flow,reactor:decay_heat
0,820.17637992954,636.7686615592,820.17637922973,24.133355982432,5.6759753517415,800.39629404244,504.26860840953,5.1572298752338,786.26612823585,129.66198216313,5.0831641872211,784.61115916296,573.78014381317,4.4989570845054,806.061887356,33.214252413679,0.24982997335913,0,0.49031698252087,4.1421564918461e-07,0.99795311977093,792.37121593614,1260.3649344717,-1259.869774445,0,0,0,0,0,0,0,806.80492927499,839.97411709673,806.39089725428,825.36863863056,806.29505260662,820.17637922973,808.26922866548,903.75185205485,1260.3917604001,16820017.447682
1,820.59768534684,636.69952027848,823.94539382211,23.10596121203,5.4321069267632,800.65630378662,483.09082029094,4.9388540775526,786.48952965355,124.22398516584,4.8683687836195,784.74260424393,550.04642136905,4.3114886778571,806.0908727577,31.894991018261,0.2398818470491,-3.6406808629339e-05,0.64981247075102,0.0026100742043103,0.99287312407752,792.37107307623,1256.9835426595,-1230.2642237441,0,-3.8944916004499e-05,-6.1931966965738e-07,2.8040084778588e-06,-3.9150185503001e-06,-6.6756e-06,-3.4486978881786e-05,806.82701054475,842.91414024097,806.42489840775,828.9297796129,806.33255359779,823.94539382211,808.26891197193,905.19435884797,1212.0358186861,16817435.576508
2,824.01280009662,636.6161301583,829.29743505456,22.06289368022,5.1861589893571,803.15323695669,461.64860580644,4.7189003006967,788.69457740888,118.72172299825,4.6520414566654,786.35148595982,526.09264083058,4.122988911577,806.11807135736,30.584539883464,0.23001788925656,-8.8166586018117e-05,1.2441034139315,0.003419246623328,0.9763493121074,792.39185348669,1253.6343640554,-1181.2372944323,0,-9.2924118687519e-05,-1.5950924714373e-06,6.5559987884134e-06,-9.603480762167e-06,-1.33512e-05,-9.6536351114033e-05,806.89166400833,847.87804472809,806.50613192279,834.23310120732,806.4179545463,829.29743505456,808.28209010617,907.70817922084,1158.6108128792,16794044.06279
3.5,831.5357753178,636.5486011262,836.25033765902,20.615053780963,4.8458881360919,809.62259569556,431.84610774656,4.4142959159406,794.56082986285,111.07475268736,4.3524180245566,791.75923099613,492.75687443709,3.8616863577174,806.15559055825,28.76170111698,0.21629676486824,-0.00015557860841539,3.1483541568272,0.0027909460088963,0.93227879808194,792.50983954458,1242.9675528011,-1107.4331613641,0,-0.00016102019765836,-2.3884308290333e-06,1.0068938098826e-05,-1.2647253120977e-05,-2.33646e-05,-0.00016149180364178,807.04294985544,854.39452163273,806.68182090818,841.14006817097,806.5998402915,836.25033765902,808.35339384297,910.88211662794,1084.5676434885,16725725.230267
6,842.26991908438,636.49761850044,846.27036196802,18.51074016608,4.351606217616,818.88659736475,388.44861241802,3.9709904489445,802.97749359596,99.936102160571,3.9162203349721,799.87615198832,444.10788152383,3.480679484205,806.21007748584,26.088835951922,0.19618273749316,-0.00025292131635254,7.0795066554476,0.0029964505654834,0.8390317044217,792.91553821572,1212.8940002746,-998.07789760213,0,-0.00025449875633095,-3.8033145046373e-06,1.6891039105192e-05,-1.6702421289145e-05,-4.00536e-05,-0.0002815495231323,807.40336403734,863.62734020274,807.07753674587,851.06035274078,807.00400884304,846.27036196802,808.59264594772,914.56150749996,976.65245822708,16557168.881472
8.5,849.71432323899,636.48632644428,852.95509679503,16.811432975235,3.9523755690076,825.42382023388,353.32859767815,3.6122301192009,808.93940905337,90.918635115945,3.563091928383,805.9034511993,403.48540305162,3.1625044826329,806.25468014661,23.910845249184,0.1797953830356,-0.00031795709835238,9.7195524120154,0.0040250275626479,0.74034562007502,793.48565914456,1171.3478074571,-907.15387415521,0,-0.0003103458099028,-4.238360553238e-06,2.1215716016042e-05,-1.1154510196039e-05,-5.67426e-05,-0.00035700859512781,807.82965506664,869.38299264568,807.53348768908,857.57044151149,807.46701090541,852.95509679503,808.91486860029,915.05834398336,887.99353223803,16310391.740981
11,855.40409264322,636.51386898078,857.65269117147,15.537817222915,3.6534488749146,830.29683721561,326.00977715819,3.3332086523365,813.41601595155,83.890040076893,3.2879124751135,810.39034638868,373.51982301607,2.9279879621086,806.29135149792,22.26720014622,0.16743232657234,-0.00036380802645338,10.854948583583,0.0047677268346474,0.64510826556222,794.1306891979,1122.3711045777,-835.58989563746,0,-0.00034582542630941,-4.4553148734192e-06,2.4763986401025e-05,-4.6929395407706e-06,-7.34316e-05,-0.0004161260611076,808.29410620676,873.34435269642,808.02153028929,862.12960163333,807.96053506461,857.65269117147,809.29435458978,914.52557264637,820.72695411216,16038417.349455
21,875.37251265841,637.43674960077,877.05329165824,11.516583134677,2.7086662404573,847.52680373001,241.68108750311,2.4716217282646,829.09248441317,62.210152548843,2.4387911582922,825.31554475365,278.63329497331,2.1847546499613,806.38947744837,17.060353171924,0.12825988579378,-0.00055654400831339,11.551562392388,0.0052820779519659,0.34659256729752,797.06060121166,897.85129970588,-627.46465815704,0,-0.00051600950486987,-6.1966401161079e-06,3.6824326264423e-05,7.7160280663111e-08,-0.0001401876,-0.00064686925558413,810.49400932086,889.94125393354,810.29379851937,880.90399737521,810.2498563147,877.05329165824,811.24202097572,918.80071721289,610.20338400311,15172984.951767
31,880.62838986513,639.77040723412,885.37918619806,9.0347287469143,2.1256010221788,851.84860684832,191.58714790716,1.9602219651904,833.09426255289,49.331722699971,1.9348311872524,827.67468947894,221.93495691459,1.7409539536666,806.42813387114,13.826745345601,0.10394430100225,-0.00064734271836763,11.751925601748,0.0054536426948172,0.18822182125891,799.86140337556,673.03005296494,-494.10122828379,0,-0.00057954270613348,-5.3092251866818e-06,4.3679622204951e-05,2.8757392318978e-05,-0.0002069436,-0.00074991853605903,812.52868494296,895.71469014287,812.3722907822,888.54772867549,812.33821348652,885.37918619806,813.116114464,917.53476528341,484.61492424682,14077633.039913
41,883.67957256552,642.8516092569,885.27268920348,7.4180124709665,1.7470377699035,854.07718454237,157.75078555486,1.6156147260099,835.37621391393,40.625915382156,1.5949278091633,829.93238947727,183.39162367049,1.440052552192,806.44336289073,11.593107670551,0.08715527290318,-0.00065916245742723,11.81595326381,0.0055592846421051,0.11402993025462,802.23002901791,498.21306058326,-402.26931606842,0,-0.00056201697142791,-4.0835771400614e-06,4.6467558528388e-05,5.4959741759157e-05,-0.0002736996,-0.00081446844433559,814.24649330962,893.83510547048,814.11906824641,887.97955188413,814.09124359202,885.27268920348,814.72407566903,911.48217020732,399.83953331045,13110054.636038
