time,P_in,P_out,T_in,T_out,_PipeHeatRemovalRate,htc_avg,mfr,rho_in,rho_out,v_in,v_out
-250000,7000000,7000000,873.15,873.15,0,1263.6479047316,0.0032437834131593,3.8241795215652,3.8241795215652,15,15
-240000,7001123.7588556,6999999.9944158,873.15,1134.8173544343,4410.2121202544,1298.0856810192,0.0032442994126871,3.8247878466523,2.9496526818846,15,19.450399464644
-230000,7001123.7522936,6999999.9944157,873.15,1134.8185403158,4410.1794742546,1298.084581009,0.003244299409674,3.8247878431001,2.949649624186,15,19.450366088994
-220000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-210000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-200000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-190000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-180000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-170000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-160000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-150000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-140000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-130000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-120000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-110000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-100000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-90000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-80000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-70000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-60000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-50000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-40000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-30000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-20000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
-10000,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
0,7001123.754481,6999999.9944158,873.15,1134.8181450279,4410.1903561178,1298.0849476748,0.0032442994106784,3.8247878442842,2.9496506434028,15,19.450377214071
