time,Lambda,rho,beta-0,lambda-0,beta-1,lambda-1,beta-2,lambda-2,beta-3,lambda-3,beta-4,lambda-4,beta-5,lambda-5,n,c-0,c-1,c-2,c-3,c-4,c-5
0,0.00129087200736,-1.00078613737e-05,0.000173543770622,0.013336,0.000992223535674,0.0327389985,0.000883246870215,0.120779999,0.001946325779,0.302780002,0.000854130235758,0.849489987,0.000337184815529,2.85299993,1,10.0809221103,23.4779920442,5.66505202172,4.97972275501,0.778901694338,0.0915552103083
0.1,0.00129087636411,-1.00076174318e-05,0.000173544143135,0.013336,0.000992224968269,0.0327389985,0.000883248529447,0.120779999,0.00194632969612,0.302780002,0.000854131417348,0.849489987,0.000337185438604,2.85299993,0.999449582462,10.0809184264,23.4779709615,5.66503327473,4.97968172218,0.778883969421,0.0915486614977
0.2,0.00129087488547,-1.0007616934e-05,0.000173544166064,0.013336,0.000992225056692,0.0327389985,0.000883248639692,0.120779999,0.00194632996662,0.302780002,0.000854131519453,0.849489987,0.00033718548879,2.85299993,0.999044866829,10.0809083092,23.4779131542,5.66498221699,4.97957088949,0.778837394441,0.0915329427288
0.3,0.00129087385184,-1.00076166331e-05,0.000173544176065,0.013336,0.000992225096255,0.0327389985,0.000883248689227,0.120779999,0.00194633008988,0.302780002,0.000854131568447,0.849489987,0.000337185512458,2.85299993,0.998743093357,10.0808934742,23.47782851,5.6649078269,4.97941109719,0.778772317819,0.091513177857
0.4,0.0012908731379,-1.0007616415e-05,0.000173544181201,0.013336,0.000992225117077,0.0327389985,0.000883248715379,0.120779999,0.0019463301558,0.302780002,0.000854131595787,0.849489987,0.000337185525483,2.85299993,0.998513146418,10.080875097,23.4777237962,5.66481630219,4.97921672019,0.778695754109,0.0914923323155
0.5,0.00129087263958,-1.00076162599e-05,0.000173544184298,0.013336,0.000992225129821,0.0327389985,0.000883248731416,0.120779999,0.00194633019653,0.302780002,0.000854131613092,0.849489987,0.000337185533665,2.85299993,0.998333640927,10.0808540004,23.4776037525,5.66471198954,4.9789978275,0.778612492987,0.0914720469092
0.6,0.00129087228784,-1.00076161496e-05,0.000173544186373,0.013336,0.000992225138416,0.0327389985,0.000883248742237,0.120779999,0.00194633022409,0.302780002,0.000854131624912,0.849489987,0.000337185539237,2.85299993,0.998189820686,10.0808307647,23.4774717222,5.66459796013,4.97876151814,0.778525795555,0.0914531498675
0.7,0.00129087203696,-1.00076160708e-05,0.000173544187853,0.013336,0.000992225144546,0.0327389985,0.000883248749956,0.120779999,0.00194633024376,0.302780002,0.000854131633345,0.849489987,0.000337185543213,2.85299993,0.99807146037,10.0808058021,23.4773300826,5.66447640237,4.97851283329,0.778437870068,0.0914359835399
0.8,0.00129087203696,-1.00076160708e-05,0.000173544187853,0.013336,0.000992225144546,0.0327389985,0.000883248749956,0.120779999,0.00194633024376,0.302780002,0.000854131633345,0.849489987,0.000337185543213,2.85299993,0.99807146037,10.0807800792,23.4771843746,5.66435229397,4.97826283529,0.77835341065,0.091421799263
0.9,0.00129087203696,-1.00076160708e-05,0.000173544187853,0.013336,0.000992225144546,0.0327389985,0.000883248749956,0.120779999,0.00194633024376,0.302780002,0.000854131633345,0.849489987,0.000337185543213,2.85299993,0.99807146037,10.0807543905,23.4770391429,5.66422967554,4.97802029328,0.778275829679,0.0914111356841
