time,area_pp_reactor_inlet,bypass_mfr,core_volume,outlet_mfr,set_inlet_mfr,total_power
0,2.5509732347149,0,0,0,0,250000000.03158
1,2.5509732347149,-1.1884278472885,77.754418176347,95.471509632831,96,250000000
3,2.5509732347149,-1.1972438932012,77.754418176347,95.98424360711,96,250000000
7,2.5509732347149,-1.2118964883461,77.754418176347,96.056645843999,96,250000000
15,2.5509732347149,-1.2191966435168,77.754418176347,96.035361189781,96,250000000
31,2.5509732347149,-1.2154642006143,77.754418176347,96.002662449364,96,250000000
63,2.5509732347149,-1.2139322866656,77.754418176347,96.000327882006,96,250000000
127,2.5509732347149,-1.2136664948874,77.754418176347,96.000004989334,96,250000000
255,2.5509732347149,-1.2136446090732,77.754418176347,95.999985419811,96,250000000
511,2.5509732347149,-1.2136358648087,77.754418176347,95.999990472699,96,250000000
1023,2.5509732347149,-1.213630869358,77.754418176347,95.999997169909,96,250000000
2047,2.5509732347149,-1.2136302124436,77.754418176347,95.99999951384,96,250000000
4095,2.5509732347149,-1.2136305770417,77.754418176347,95.999999878421,96,250000000
8191,2.5509732347149,-1.2136306839008,77.754418176347,95.999999942046,96,250000000
10000,2.5509732347149,-1.2136306592689,77.754418176347,95.999999955456,96,250000000
