time,Burnup_avg,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,avg_power_density,decay_power,eigenvalue,max_T_solid,power_peak,power_scaling,prompt_power,total_power
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,652.94468914809,898.81317887,1124.6497017131,885.82447768094,1121.446610018,669.98273577458,2.8796796543624e-10,3215251.3755938,16065000,0.99581407833407,1113.5779297401,2.1236996159398,8.1236466579056e+17,233935000,250000000
2,0,652.94468914809,898.81317887,1124.6497017131,885.82447768094,1121.446610018,669.98273577458,2.8796796543624e-10,3215251.3755938,16065000,0.99581407833407,1113.5779297401,2.1236996159398,8.1236466579056e+17,233935000,250000000
