time,Burnup_avg,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,avg_power_density,decay_power,eigenvalue,max_T_solid,power_peak,power_scaling,prompt_power,total_power
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.8671548445616e+14,652.94462685728,898.83833029968,1124.6569600588,885.84897716049,1121.4517161002,669.71816514275,1.1985307516763e-10,3215251.3755938,16065000,0.99582402339277,1113.5807609411,1.9902849210454,1.9518481246544e+18,233935000,250000000
2,2.8671548445616e+14,652.94462685728,898.83833029968,1124.6569600588,885.84897716049,1121.4517161002,669.71816514275,1.1985307516763e-10,3215251.3755938,16065000,0.99582402339277,1113.5807609411,1.9902849210454,1.9518481246544e+18,233935000,250000000
