time,clad_temp_max,clad_temp_min,duct_temp_avg,duct_temp_max,duct_temp_min,flux_integral_duct,flux_integral_rod,fuel_temp_max,fuel_temp_min,gap_temp_max,gap_temp_min,heat_flux_l2_difference,heat_source_duct,heat_source_rod,heat_source_rod_duct,nek_bulk_temp_pp,reflB_temp_max,reflB_temp_min,reflT_temp_max,reflT_temp_min
0.01,740.68991113496,694.07648481927,0.5051981002619,695.50693035424,693.21989698113,4146.3327678543,207407.76869506,1523.3775589926,730.20729455758,1525.3306283318,938.74213933519,2236.4851037268,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238662,679.01971829527,750.54018237965,679.01971830185
0.02,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.03,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.04,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.05,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.06,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.07,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.08,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.09,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
0.1,740.68991113574,694.07648481939,0.5051981002618,695.5069303132,693.2198969813,4146.3327674601,207407.76869447,1523.3775590575,730.20729456197,1525.3306284118,938.74213956694,2236.4851037074,4365.6850594784,203937.00787403,208302.69293351,289200.58809579,750.54018238735,679.01971829933,750.54018238735,679.01971829933
