id,vel_x,vel_y,x,y,z
0.83,-0.093176893606059,0.0048706623748758,1.005,0.83,0
0.84,-0.093928441159658,0.0051498084719057,1.005,0.84,0
0.85,-0.094658090717259,0.0054388316761929,1.005,0.85,0
0.86,-0.095364634834711,0.0057377897932716,1.005,0.86,0
0.87,-0.096046828358799,0.0060467239190385,1.005,0.87,0
0.88,-0.096703390532872,0.0063656578546172,1.005,0.88,0
0.89,-0.09733300484481,0.0066945979972235,1.005,0.89,0
0.9,-0.097934318904837,0.0070335324253372,1.005,0.9,0
0.91,-0.098505944675511,0.0073824298236495,1.005,0.91,0
0.92,-0.099046458847458,0.007741238487199,1.005,0.92,0
0.93,-0.099554403257583,0.0081098853958546,1.005,0.93,0
0.94,-0.10002828522942,0.0084882752649021,1.005,0.94,0
0.95,-0.10046657787592,0.0088762892489369,1.005,0.95,0
0.96,-0.1008677212824,0.0092737837615782,1.005,0.96,0
0.97,-0.10123012355608,0.0096805897988205,1.005,0.97,0
0.98,-0.10155216141953,0.010096512276225,1.005,0.98,0
0.99,-0.10183218077432,0.010521329168881,1.005,0.99,0
1,-0.10206849736424,0.010954790593935,1.005,1,0
1.01,-0.10225939750937,0.011396617933871,1.005,1.01,0
1.02,-0.1024031388445,0.011846502996279,1.005,1.02,0
1.03,-0.10249795105043,0.012304107108457,1.005,1.03,0
1.04,-0.10254203682518,0.012769060260278,1.005,1.04,0
1.05,-0.1025335728821,0.013240960420049,1.005,1.05,0
1.06,-0.10247071084302,0.013719372936485,1.005,1.06,0
1.07,-0.10235157808258,0.014203829951712,1.005,1.07,0
1.08,-0.1021742785721,0.014693829852521,1.005,1.08,0
1.09,-0.10193689370576,0.015188836807395,1.005,1.09,0
1.1,-0.10163748305395,0.015688280387374,1.005,1.1,0
1.11,-0.10127408503438,0.016191555212392,1.005,1.11,0
1.12,-0.10084471759956,0.016698020609774,1.005,1.12,0
1.13,-0.10034737897726,0.017207000374284,1.005,1.13,0
1.14,-0.099780048361024,0.017717782681238,1.005,1.14,0
1.15,-0.099140686517153,0.018229620136545,1.005,1.15,0
1.16,-0.098427236282357,0.018741729974133,1.005,1.16,0
1.17,-0.097637622893061,0.019253294396485,1.005,1.17,0
1.18,-0.096769754111651,0.019763460982154,1.005,1.18,0
1.19,-0.095821520256906,0.020271343107369,1.005,1.19,0
1.2,-0.094790794242599,0.020776020473384,1.005,1.2,0
1.21,-0.093675431542283,0.021276539840163,1.005,1.21,0
1.22,-0.092473270006118,0.021771915977127,1.005,1.22,0
1.23,-0.091182129477233,0.022261132826502,1.005,1.23,0
1.24,-0.089799811149269,0.022743144851996,1.005,1.24,0
1.25,-0.088324096651474,0.023216878494471,1.005,1.25,0
1.26,-0.086752746969574,0.023681233701866,1.005,1.26,0
1.27,-0.085083501275618,0.024135085614683,1.005,1.27,0
1.28,-0.083314075619027,0.024577286491472,1.005,1.28,0
1.29,-0.08144216141475,0.025006667896976,1.005,1.29,0
1.3,-0.079465423676458,0.025422043146593,1.005,1.3,0
1.31,-0.07738149895379,0.025822209971937,1.005,1.31,0
1.32,-0.075187992984175,0.026205953343692,1.005,1.32,0
1.33,-0.072882478154057,0.026572048436349,1.005,1.33,0
1.34,-0.070462490825826,0.026919263796626,1.005,1.34,0
1.35,-0.067925528515654,0.027246364776143,1.005,1.35,0
1.36,-0.06526904689063,0.027552117249717,1.005,1.36,0
1.37,-0.062490456560698,0.027835291613848,1.005,1.37,0
1.38,-0.059587119657165,0.02809466703661,1.005,1.38,0
1.39,-0.05655634622937,0.028329035914709,1.005,1.39,0
1.4,-0.053395390543347,0.028537208520561,1.005,1.4,0
1.41,-0.050101447358665,0.028718017870488,1.005,1.41,0
1.42,-0.046671648219237,0.028870324854529,1.005,1.42,0
1.43,-0.043103057777337,0.028993023647054,1.005,1.43,0
