time,A_avg_T_aux,A_int_T_ext,A_int_master_flux,DT_inner,DT_outer,Integral_BC_Cond,Integral_BC_RelErr,Integral_BC_Total,T_cond_inner,T_cond_outer,T_evap_inner,T_evap_outer,T_inner_avg,T_inner_max,T_inner_min,T_wall_var_avg,ZeroPP,catastrophic_pp,condenser_boundary_integral,evaporator_boundary_integral,hp_boiling_limit,hp_capillary_limit,hp_entrainment_limit,hp_sonic_limit,hp_viscous_limit,operational_pp,recoverable_pp
-50000,800,1440,27283.704530039,-1.1368683772162e-12,-1.1368683772162e-12,0,0,0,800,800,800,800,800,800,800,799.99999999998,0,0,0,0,33420287.679108,15793.543360822,4260.5665504575,3510.4034606705,18381.695631363,1,0
-45000,814.58819489013,28747.418395754,27283.704530039,10.317535539506,14.565779336157,1797.4341610668,0.0014275009281411,2.5658389331954,802.85683430184,800.03027201393,813.17436984135,814.59605135008,809.40861339692,815.85622961576,801.85942254176,799.99999999998,0,1,-1797.4341610668,1800,29395267.043264,16831.031205566,4531.0528930892,4027.3793742654,24053.071663671,1,1
-40000,814.61686006824,28747.467096955,27283.704530039,10.338579279869,14.594396076315,1801.2751093871,0.00070789263695765,-1.2751093870702,802.86284678442,800.03033670238,813.20142606429,814.6247327787,809.42799044487,815.88909354465,801.86337225278,799.99999999998,0,1,-1801.2751093871,1800,29387593.323267,16833.202916075,4531.6194297686,4028.5050844423,24066.23099469,1,1
-35000,814.60739178926,28747.451010099,27283.704530039,10.33162826334,14.584943798669,1800.0063053658,3.5029687573455e-06,-0.0063053658507215,802.86086065904,800.03031533345,813.19248892238,814.61525913212,809.4215898207,815.87823822038,801.86206752447,799.99999999998,0,1,-1800.0063053658,1800,29390127.841614,16832.485541098,4531.4322871501,4028.1332114724,24061.883484197,1,1
-30000,814.60733755558,28747.450918547,27283.704530039,10.331588602943,14.584889654456,1799.9991616685,4.6573991769653e-07,0.00083833146140933,802.86084945679,800.03031521314,813.19243805973,814.61520486759,809.4215534419,815.87817628188,801.86206017333,799.99999999998,0,1,-1799.9991616685,1800,29390142.247632,16832.481463846,4531.4312235121,4028.1310979631,24061.858776576,1,1
-25000,814.60733755558,28747.450918547,27283.704530039,10.331588602943,14.584889654456,1799.9991616685,4.6573991769653e-07,0.00083833146140933,802.86084945679,800.03031521314,813.19243805973,814.61520486759,809.4215534419,815.87817628188,801.86206017333,799.99999999998,0,1,-1799.9991616685,1800,29390142.247632,16832.481463846,4531.4312235121,4028.1310979631,24061.858776576,1,1
-20000,814.60733755558,28747.450918547,27283.704530039,10.331588602943,14.584889654456,1799.9991616685,4.6573991769653e-07,0.00083833146140933,802.86084945679,800.03031521314,813.19243805973,814.61520486759,809.4215534419,815.87817628188,801.86206017333,799.99999999998,0,1,-1799.9991616685,1800,29390142.247632,16832.481463846,4531.4312235121,4028.1310979631,24061.858776576,1,1
-15000,814.60733755558,28747.450918547,27283.704530039,10.331588602943,14.584889654456,1799.9991616685,4.6573991769653e-07,0.00083833146140933,802.86084945679,800.03031521314,813.19243805973,814.61520486759,809.4215534419,815.87817628188,801.86206017333,799.99999999998,0,1,-1799.9991616685,1800,29390142.247632,16832.481463846,4531.4312235121,4028.1310979631,24061.858776576,1,1
-10000,814.60733755558,28747.450918547,27283.704530039,10.331588602943,14.584889654456,1799.9991616685,4.6573991769653e-07,0.00083833146140933,802.86084945679,800.03031521314,813.19243805973,814.61520486759,809.4215534419,815.87817628188,801.86206017333,799.99999999998,0,1,-1799.9991616685,1800,29390142.247632,16832.481463846,4531.4312235121,4028.1310979631,24061.858776576,1,1
-5000,814.60733755558,28747.450918547,27283.704530039,10.331588602943,14.584889654456,1799.9991616685,4.6573991769653e-07,0.00083833146140933,802.86084945679,800.03031521314,813.19243805973,814.61520486759,809.4215534419,815.87817628188,801.86206017333,799.99999999998,0,1,-1799.9991616685,1800,29390142.247632,16832.481463846,4531.4312235121,4028.1310979631,24061.858776576,1,1
0,814.60733755558,28747.450918547,27283.704530039,10.331588602943,14.584889654456,1799.9991616685,4.6573991769653e-07,0.00083833146140933,802.86084945679,800.03031521314,813.19243805973,814.61520486759,809.4215534419,815.87817628188,801.86206017333,799.99999999998,0,1,-1799.9991616685,1800,29390142.247632,16832.481463846,4531.4312235121,4028.1310979631,24061.858776576,1,1
