time,Decay_heat_tot,FRR_avg,Fiss_power_tot,NI_avg,NXe_avg,T_fuel_avg,T_fuel_max,T_fuel_max_kernel,T_mod_avg,Transient_decay_heat_tot,Tt_pow,decay_heat_scaling_factor,flux0_avg,flux1_avg,power_scaling,reactor_total_power_check,time_step_pp
0,25704000,1.5227462528016e+17,374296000,0.33175069043678,0.07787578788483,1068.5408919207,1247.0803003369,0,1056.4813199294,25704000,400000000,1,9.6559601422205e+17,9.7173573573805e+17,3.5029071963569e+18,400000000,0
0.01,25704000,1.5468317789186e+17,380247320.25531,0.33175069197852,0.077875786971834,1068.127648862,1203.3628659493,1206.8418088438,1056.1651375779,25685359.4592,406360014.8068,0.9992748,1.0387813833407e+18,9.7514273443569e+17,3.5029071963569e+18,405932679.71451,0.01
