time,BR-10_moderator_Reactivity,BR-11_moderator_Reactivity,BR-12_moderator_Reactivity,BR-13_moderator_Reactivity,BR-14_moderator_Reactivity,BR-15_moderator_Reactivity,BR-16_moderator_Reactivity,BR-17_moderator_Reactivity,BR-18_moderator_Reactivity,BR-19_moderator_Reactivity,BR-1_moderator_Reactivity,BR-20_moderator_Reactivity,BR-2_moderator_Reactivity,BR-3_moderator_Reactivity,BR-4_moderator_Reactivity,BR-5_moderator_Reactivity,BR-6_moderator_Reactivity,BR-7_moderator_Reactivity,BR-8_moderator_Reactivity,BR-9_moderator_Reactivity,F-10:fuel_Fuel_Doppler_Reactivity,F-10:moderator_moderator_Reactivity,F-10:reflector_moderator_Reactivity,F-11:fuel_Fuel_Doppler_Reactivity,F-11:moderator_moderator_Reactivity,F-11:reflector_moderator_Reactivity,F-12:fuel_Fuel_Doppler_Reactivity,F-12:moderator_moderator_Reactivity,F-12:reflector_moderator_Reactivity,F-13:fuel_Fuel_Doppler_Reactivity,F-13:moderator_moderator_Reactivity,F-13:reflector_moderator_Reactivity,F-14:fuel_Fuel_Doppler_Reactivity,F-14:moderator_moderator_Reactivity,F-14:reflector_moderator_Reactivity,F-15:fuel_Fuel_Doppler_Reactivity,F-15:moderator_moderator_Reactivity,F-15:reflector_moderator_Reactivity,F-1:fuel_Fuel_Doppler_Reactivity,F-1:moderator_moderator_Reactivity,F-1:reflector_moderator_Reactivity,F-2:fuel_Fuel_Doppler_Reactivity,F-2:moderator_moderator_Reactivity,F-2:reflector_moderator_Reactivity,F-3:fuel_Fuel_Doppler_Reactivity,F-3:moderator_moderator_Reactivity,F-3:reflector_moderator_Reactivity,F-4:fuel_Fuel_Doppler_Reactivity,F-4:moderator_moderator_Reactivity,F-4:reflector_moderator_Reactivity,F-5:fuel_Fuel_Doppler_Reactivity,F-5:moderator_moderator_Reactivity,F-5:reflector_moderator_Reactivity,F-6:fuel_Fuel_Doppler_Reactivity,F-6:moderator_moderator_Reactivity,F-6:reflector_moderator_Reactivity,F-7:fuel_Fuel_Doppler_Reactivity,F-7:moderator_moderator_Reactivity,F-7:reflector_moderator_Reactivity,F-8:fuel_Fuel_Doppler_Reactivity,F-8:moderator_moderator_Reactivity,F-8:reflector_moderator_Reactivity,F-9:fuel_Fuel_Doppler_Reactivity,F-9:moderator_moderator_Reactivity,F-9:reflector_moderator_Reactivity,R-10_moderator_Reactivity,R-11_moderator_Reactivity,R-12_moderator_Reactivity,R-13_moderator_Reactivity,R-14_moderator_Reactivity,R-15_moderator_Reactivity,R-16_moderator_Reactivity,R-17_moderator_Reactivity,R-18_moderator_Reactivity,R-19_moderator_Reactivity,R-20_moderator_Reactivity,R-21_moderator_Reactivity,R-22_moderator_Reactivity,R-23_moderator_Reactivity,R-4_moderator_Reactivity,R-5_moderator_Reactivity,R-6_moderator_Reactivity,R-7_moderator_Reactivity,R-8_moderator_Reactivity,R-9_moderator_Reactivity,TotalHeatRemovalRate_1,TotalMassFlowRateInlet_1,Total_Reactivity_Feedback,max_Tkernel_F1,max_Tsolid_F1,mean_Tsolid_F1,reactor:decay_heat,C1,C2,C3,C4,C5,C6,Pf,junc_CH10_CH15:pressure,junc_CH10_CH15:rho,junc_CH10_CH15:temperature,junc_CH10_CH15:velocity,junc_CH11_CH16:pressure,junc_CH11_CH16:rho,junc_CH11_CH16:temperature,junc_CH11_CH16:velocity,junc_CH12_CH17:pressure,junc_CH12_CH17:rho,junc_CH12_CH17:temperature,junc_CH12_CH17:velocity,junc_CH13_CH18:pressure,junc_CH13_CH18:rho,junc_CH13_CH18:temperature,junc_CH13_CH18:velocity,junc_CH14_CH19:pressure,junc_CH14_CH19:rho,junc_CH14_CH19:temperature,junc_CH14_CH19:velocity,junc_CH15_CH20:pressure,junc_CH15_CH20:rho,junc_CH15_CH20:temperature,junc_CH15_CH20:velocity,junc_CH1_CH3:pressure,junc_CH1_CH3:rho,junc_CH1_CH3:temperature,junc_CH1_CH3:velocity,junc_CH2_CH5:pressure,junc_CH2_CH5:rho,junc_CH2_CH5:temperature,junc_CH2_CH5:velocity,junc_CH3_CH6:pressure,junc_CH3_CH6:rho,junc_CH3_CH6:temperature,junc_CH3_CH6:velocity,junc_CH4_CH8:pressure,junc_CH4_CH8:rho,junc_CH4_CH8:temperature,junc_CH4_CH8:velocity,junc_CH5_CH9:pressure,junc_CH5_CH9:rho,junc_CH5_CH9:temperature,junc_CH5_CH9:velocity,junc_CH6_CH10:pressure,junc_CH6_CH10:rho,junc_CH6_CH10:temperature,junc_CH6_CH10:velocity,junc_CH7_CH12:pressure,junc_CH7_CH12:rho,junc_CH7_CH12:temperature,junc_CH7_CH12:velocity,junc_CH8_CH13:pressure,junc_CH8_CH13:rho,junc_CH8_CH13:temperature,junc_CH8_CH13:velocity,junc_CH9_CH14:pressure,junc_CH9_CH14:rho,junc_CH9_CH14:temperature,junc_CH9_CH14:velocity,junc_F10_F13:pressure,junc_F10_F13:rho,junc_F10_F13:temperature,junc_F10_F13:velocity,junc_F11_F14:pressure,junc_F11_F14:rho,junc_F11_F14:temperature,junc_F11_F14:velocity,junc_F12_CH4:pressure,junc_F12_CH4:rho,junc_F12_CH4:temperature,junc_F12_CH4:velocity,junc_F13_F15:pressure,junc_F13_F15:rho,junc_F13_F15:temperature,junc_F13_F15:velocity,junc_F14_CH7:pressure,junc_F14_CH7:rho,junc_F14_CH7:temperature,junc_F14_CH7:velocity,junc_F15_CH11:pressure,junc_F15_CH11:rho,junc_F15_CH11:temperature,junc_F15_CH11:velocity,junc_F1_F6:pressure,junc_F1_F6:rho,junc_F1_F6:temperature,junc_F1_F6:velocity,junc_F2_F7:pressure,junc_F2_F7:rho,junc_F2_F7:temperature,junc_F2_F7:velocity,junc_F3_F8:pressure,junc_F3_F8:rho,junc_F3_F8:temperature,junc_F3_F8:velocity,junc_F4_F9:pressure,junc_F4_F9:rho,junc_F4_F9:temperature,junc_F4_F9:velocity,junc_F5_CH1:pressure,junc_F5_CH1:rho,junc_F5_CH1:temperature,junc_F5_CH1:velocity,junc_F6_F10:pressure,junc_F6_F10:rho,junc_F6_F10:temperature,junc_F6_F10:velocity,junc_F7_F11:pressure,junc_F7_F11:rho,junc_F7_F11:temperature,junc_F7_F11:velocity,junc_F8_F12:pressure,junc_F8_F12:rho,junc_F8_F12:temperature,junc_F8_F12:velocity,junc_F9_CH2:pressure,junc_F9_CH2:rho,junc_F9_CH2:temperature,junc_F9_CH2:velocity,plenum-in:pressure,plenum-in:rho,plenum-in:temperature,plenum-in:velocity,plenum-out:pressure,plenum-out:rho,plenum-out:temperature,plenum-out:velocity,reactor:power
-172800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6178903.0263555,6.096658258928,0,562.30024839536,533,533,13456013.958145,26.95384935236,56.709835036714,14.603263613543,13.106418088356,1.9307799508315,0.24103059653998,1,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,6000000,5.3429589035461,533,7.186055,200000000
-172799,4.0955849998158e-11,-1.2684675353944e-11,-2.692934010598e-11,-2.8846715988169e-12,7.6019506446e-12,2.774912048194e-11,-8.7968456153549e-12,3.5419256247599e-12,1.4970223639439e-11,2.3630788433474e-11,-4.3357602361141e-11,2.9183625373579e-11,-8.5012485429615e-11,-5.6212490957478e-11,-4.4739547413246e-11,-4.3257156796709e-11,2.4693596700836e-11,-3.6425685501238e-11,-4.6548910200971e-11,1.5562580416526e-12,-9.0066291939599e-08,-6.3823236910096e-09,0,-7.8301210564267e-08,-7.1211941423361e-09,0,-7.5570709672746e-08,-1.1232593611926e-08,0,-4.7383944257023e-08,-2.7574302476627e-09,0,-4.1537712507037e-08,-4.2382447489755e-09,-4.4257536419463e-10,-4.6966954261985e-08,-2.9532191027167e-09,0,-5.1680470975453e-05,-1.0054808730318e-05,1.7116656935411e-06,-4.5795325673281e-05,-9.061364477703e-06,1.2422995788017e-06,-4.6115126819972e-05,-1.0189152763527e-05,1.013026073702e-06,-3.935330383246e-05,-1.2958148278132e-05,-1.29560100337e-06,-1.7124815208824e-05,-1.1590124467306e-05,7.7193386168521e-06,-1.181736338954e-07,-8.7973765171057e-09,0,-1.04331211593e-07,-9.1869478098089e-09,3.7953524454799e-10,-1.0268325256752e-07,-1.261113567403e-08,0,-8.7568754066962e-08,-1.4612050305119e-08,-4.5380235005985e-09,3.5811353882309e-21,0,3.1086287522908e-12,0,0,2.7939833174082e-12,0,0,2.1164201793135e-12,0,0,2.7171369515384e-12,0,0,2.2485718356978e-07,7.9196800993486e-18,2.7326325894308e-11,-1.0780922821141e-20,0,1.0584559479503e-11,8937.5433693007,7.0618643155576,-0.00024418431665768,568.37202342717,539.34428609621,537.3803595002,13456013.958145,26.95384935236,56.709835036714,14.603263613543,13.106418088356,1.9307799508315,0.24103059653998,1,6014881.605487,5.3501081785479,533.5995081371,12.995604511989,6014856.9565578,5.3490220513617,533.70752405961,13.106985876683,6014873.9312878,5.3494940389526,533.66113655863,12.921725980608,6014867.5974274,5.3498573147315,533.6237130029,12.957459630557,6014864.1585241,5.3499373334129,533.61528857378,12.979143923986,6014861.9303409,5.3504766399775,533.56038018384,12.994175451335,6014902.0430031,5.3496971042033,533.6430330047,12.997128352223,6014898.2472147,5.349212247245,533.69189587433,12.981719437495,6014895.229857,5.3498374720621,533.62818472758,12.99661573,6014895.7771214,5.3492684553843,533.68597193542,12.959533836124,6014891.2732855,5.3493678259958,533.675487097,12.981182304089,6014888.4173529,5.3499744711145,533.61367906659,12.996107818296,6014896.4352046,5.349018434852,533.71140412988,12.923333677593,6014888.5299785,5.349425476127,533.66939286543,12.95899242335,6014884.299996,5.3495195822581,533.65946720428,12.980650599448,6015166.7883838,5.3483459797007,533.80372140724,8.3111479213004,6015174.3723662,5.348845911236,533.75364748637,8.2847033541829,6015167.6668667,5.3493394123613,533.7029640066,8.3073839334515,6015159.700759,5.3485853605301,533.77878956651,8.3106370441715,6015167.379888,5.3490758915477,533.72968276401,8.2841957770712,6015152.6119022,5.348779816662,533.7584198569,8.3101905589442,6015180.9566349,5.3476653120356,533.87409333472,8.3124615113715,6015188.3518781,5.348208009049,533.81964781964,8.2859734226259,6015181.8119188,5.3487391092413,533.76515038492,8.3086238830055,6015177.8887641,5.3489588649465,533.74249559328,8.3222644763582,6015175.0573991,5.3497874639676,533.65815557836,8.3314595184836,6015173.8739026,5.3480445328445,533.83495693727,8.3117485115147,6015181.3633784,5.3485634772812,533.78293881049,8.2852857889489,6015174.7403269,5.3490704577841,533.73088922186,8.3079591910843,6015170.7676984,5.3492855527604,533.70870583041,8.3216007336945,6015809.9288735,5.3568391114781,533.00000047728,2.2328984987202,6015269.8254038,5.3525974555449,533.38161219843,2.0475504950629,200000000
-172798.5,3.0976518589561e-11,-9.575891056145e-12,-2.0323765362341e-11,-2.1820968094055e-12,5.7656700998653e-12,2.1039558805723e-11,-6.6779599217889e-12,2.6884494955152e-12,1.1388323334808e-11,1.8023207208866e-11,-3.2489176073682e-11,2.225548831664e-11,-6.3871631029542e-11,-4.2395707894684e-11,-3.358247243882e-11,-3.2683723285706e-11,1.8652118005435e-11,-2.7336955177559e-11,-3.5122459463039e-11,1.1775195322149e-12,-4.4508993473663e-08,-3.5855310294488e-09,0,-3.8701738266174e-08,-4.0005999553713e-09,0,-3.7355136545984e-08,-6.3081417129401e-09,0,-2.3410619256224e-08,-1.5477027525028e-09,0,-2.0523556621651e-08,-2.377890529586e-09,-2.8408633460499e-10,-2.3198229094692e-08,-1.6558821676349e-09,0,-2.5447505502235e-05,-5.6147750553316e-06,1.0933007078722e-06,-2.2556495686996e-05,-5.0593097779134e-06,7.9346045238563e-07,-2.2721136528827e-05,-5.6885365963596e-06,6.4700278648241e-07,-1.9391826787276e-05,-7.2343862163535e-06,-8.2764695036499e-07,-8.4081862791412e-06,-6.3919163179225e-06,4.8828697744998e-06,-5.841645746811e-08,-4.9477553474793e-09,0,-5.1582861506755e-08,-5.1668314963637e-09,2.4416219312853e-10,-5.0778138708102e-08,-7.0931947394269e-09,0,-4.3301952516061e-08,-8.2152873857133e-09,-2.9189796611855e-09,-1.0265921446262e-20,0,2.3638636709416e-12,0,0,2.1271052813518e-12,0,0,1.614818519588e-12,0,0,2.0838762157871e-12,0,0,1.6394007856297e-07,4.2775770668868e-18,2.0419605217626e-11,7.4351191869937e-21,0,8.0390719816023e-12,127273.50083037,7.0675539703532,-0.00012220092092993,571.5168639703,542.48656074029,539.49834359879,13456013.958145,26.95384935236,56.709835036714,14.603263613543,13.106418088356,1.9307799508315,0.24103059653998,1,6014871.0612034,5.3460895073025,534.00656716744,13.153281801524,6014863.6356848,5.3443000609589,534.18777712864,13.194605417887,6014881.8861921,5.3450630852997,534.11183722962,13.011555217841,6014874.0491424,5.345657598171,534.05071940285,13.07272442906,6014869.3643801,5.34577690563,534.0381787546,13.116850159145,6014865.9849552,5.3466948685903,533.94461655375,13.152728616361,6014876.3254561,5.3454211178633,534.07495381828,13.1539141783,6014878.490297,5.34459076545,534.15954594718,13.118045153832,6014874.5715191,5.3456485465781,534.05168572291,13.153696595534,6014882.1848006,5.344694041822,534.14937624748,13.073717416049,6014876.6251855,5.3448436201087,534.13367621604,13.117785536413,6014872.8167693,5.3458713154374,534.02889301862,13.153485852007,6014889.3742953,5.3442853379228,534.19156643568,13.012405077445,6014880.0939295,5.3449497343359,534.12319893666,13.073450226021,6014874.7592779,5.3450911162381,534.10835349535,13.117533896652,6015159.6672743,5.3430191414861,534.34441109496,8.3656195174475,6015164.7258712,5.3438463643959,534.26072705137,8.3413503701963,6015153.3541657,5.3446683707826,534.17613591273,8.3803952602582,6015153.3883647,5.3434257009713,534.30249844337,8.3653820713097,6015158.5062965,5.3442373392247,534.22041710898,8.3411214945475,6015147.1043833,5.3437582230225,534.26812082131,8.3652521481285,6015172.2044056,5.3418744758287,534.46199201099,8.3665805101266,6015177.1468824,5.3427728543652,534.37102259913,8.3422319869735,6015166.0570039,5.3436572216162,534.28008055225,8.3812237758164,6015157.7110978,5.3440208113813,534.24236301503,8.4092888582093,6015150.5057672,5.3454289410315,534.09857347454,8.4317616431607,6015165.9396551,5.3425104665095,534.39671881962,8.3660066239918,6015170.9399834,5.3433693947344,534.30978878405,8.3417037586987,6015159.7086599,5.3442136631749,534.22293151355,8.3807353353172,6015151.2562855,5.3445697187858,534.18597824815,8.4088016353636,6015743.1983865,5.356780529505,533.00000033415,2.2426851799978,6015320.1271809,5.3498835989893,533.6613082701,2.0679093031516,200000000
