burnup_limit_weight,data:Tfuel_max:value,data:Trpv_max:value,data:converged,data:eigenvalue:value,data:peaking_factor:value,data:pebble_power_max:value,enrichment,filling_factor,kernel_radius,pebble_unloading_rate,total_power
147.6,900,508.23197980171,True,0.96482902892705,2.1942748968959,3713.1394874157,0.155,0.093440455164731,0.00015,0.025,200000000
147.6,900,509.09602212571,True,0.98917523684139,2.1981473530527,2620.1458799426,0.155,0.093440455164731,0.0003,0.025,200000000
147.6,900,508.18311951935,True,0.95150115389266,2.2883538208016,4170.2141559814,0.155,0.05,0.0002125,0.025,200000000
147.6,900,509.25340028366,True,0.96503357083741,2.3054456616191,2512.1061248673,0.155,0.15,0.0002125,0.025,200000000
147.6,900,508.21366683253,True,0.69129413181355,2.0139357231275,2865.9808939867,0.05,0.093440455164731,0.0002125,0.025,200000000
147.6,900,508.77751413427,True,1.0993388216657,1.9836679044209,2451.3611888479,0.2,0.093440455164731,0.0002125,0.025,200000000
147.6,900,508.52740819759,True,1.0066019794553,1.9610471487991,2713.0927691707,0.155,0.093440455164731,0.0002125,0.016666666666667,200000000
147.6,900,508.73083064444,True,1.0188598579597,1.8376281007615,2504.6028248738,0.155,0.093440455164731,0.0002125,0.05,200000000
131.2,900,508.64904416613,True,1.0441228410567,1.8943397227304,2412.3521930299,0.155,0.093440455164731,0.0002125,0.025,200000000
164,900,508.58988362644,True,0.97995963618312,1.8564585767508,2784.1833194849,0.155,0.093440455164731,0.0002125,0.025,200000000
147.6,900,494.00213901227,True,1.0147092219692,1.866518659881,2313.5190655974,0.155,0.093440455164731,0.0002125,0.025,180000000
147.6,900,523.17229465423,True,1.011103832378,1.8926292167048,2861.602675756,0.155,0.093440455164731,0.0002125,0.025,220000000
