time,fuel_temp_avg,fuel_temp_max,fuel_temp_min,integrated_power,power_scaling,scaled_power_avg
0,1186.87,1186.87,1186.87,225000,3.6622787943082e+14,12559575.685913
0.05,1186.87,1186.87,1186.87,-17371.334386747,3.6622787943082e+14,-969673.72886958
