time,Tavg_brefl,Tavg_fuel,Tavg_hp_holes,Tavg_monolith,Tavg_trefl,Tmax_brefl,Tmax_fuel,Tmax_hp_holes,Tmax_monolith,Tmax_trefl,hp_holes_area,hp_holes_perimeter,power
0,1200.0000000001,1200.0000000001,1073.1499999999,1200.0000000001,1200,1200,1200,1073.15,1200,1200,0.84898143145272,0.067379478686724,139904.4199786
0.01,1174.3956770499,1167.7967182436,1073.1499999999,1165.5694041462,1088.609410305,1181.0695028405,1198.5510605576,1073.15,1196.8928890889,1127.906131138,0.84898143145272,0.067379478686724,139904.4199786
