time,max_v,mdot,mu_value,lambda
0,0,0,0,1e-06
0.3,0.22366872879353,1487.1838077397,0.69150563516939,5.5248760945849e-14
0.6,0.39865450313515,2937.4637529293,0.29099615444783,-1.9362039769051e-13
