time,dT,max_v,total_fission_source,total_power,lambda
0,0,0,0,0,0
2,23.911263351928,2.0616181188972,63.033273173711,2999999199.1713,2.0170763547067e-12
4,50.98597482476,2.0602959773526,63.033273173711,2999999199.1713,5.208356357055e-13
