time,center_duct_heat_loss_00,center_duct_heat_loss_01,center_duct_heat_loss_02,center_duct_heat_loss_03,center_duct_heat_loss_04,center_duct_heat_loss_05,center_duct_heat_loss_06
0,0,0,0,0,0,0,0
1,-48335.480132032,8046.47077085,8062.2608044834,8062.0526955454,8062.1298831017,8050.6867115546,8061.731448558
