time,DP_SubchannelDelta,Mean_Temp,Total_Net_Power_Through_Duct,Total_coolant_power,temp-1,temp-2,temp-3,temp-4,temp-5,temp-6,temp-7,temp-8
0,0,0,-49213.073997724,0,0,0,0,0,0,0,0,0
1,455943.18043497,707.7814334613,-49213.073997724,1951823.3829239,700.00830026908,709.23779319724,715.09880335779,718.18151546223,718.1814963427,716.06650734145,707.5546733425,699.99668725754
