time,fuel_cP,fuel_k,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_heat_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_cP,monolith_k,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power
0,1092.782703556,23.926419971636,843.06691154118,867.27564614817,813.58727884437,834.57975765646,332859.97513885,841.75543730946,863.08797325244,813.97358380247,1665.3967105341,35.61824296124,839.57176680723,865.78426022514,811.43216037347,345600
1,1092.7828874314,23.926398202273,843.06896731938,867.27604813865,813.58880775218,834.59849124146,327074.00341649,841.75689018211,863.088291239,813.98006953304,1665.3969255739,35.617473839404,839.57813405839,865.78469813575,811.45755506118,345599.25197183
1,1092.7828874272,23.926398211052,843.06896725509,867.27604806729,813.58880745313,834.5984912219,327074.00312581,841.75689017877,863.08829123222,813.98006948824,1665.3969255726,35.617473839501,839.57813403601,865.78469810429,811.45755505604,345599.21716329
1,1092.7828872011,23.926398216535,843.06896690067,867.27604741629,813.58880726837,834.59849114412,327074.00166891,841.7568901564,863.0882911751,813.98006945338,1665.3969253544,35.617473839573,839.57813392286,865.78469775525,811.45755505234,345599.01319168
1,1092.7828871168,23.926398219373,843.0689667583,867.276047166,813.58880717224,834.59849111275,327074.00109086,841.75689014748,863.08829115313,813.9800694352,1665.3969252728,35.617473839611,839.57813387745,865.78469762092,811.4575550504,345598.93171433
1,1092.782887069,23.926398221044,843.06896667642,867.27604702375,813.58880711562,834.59849109469,327074.00075861,841.75689014235,863.08829114064,813.98006942446,1665.3969252266,35.617473839633,839.57813385133,865.7846975446,811.45755504926,345598.88486703
1,1092.7828870437,23.926398222013,843.06896663186,867.27604694779,813.58880708276,834.59849108485,327074.00057836,841.75689013956,863.08829113398,813.98006941821,1665.3969252022,35.617473839646,839.57813383713,865.78469750384,811.45755504859,345598.85941058
1,1092.7828870307,23.926398222572,843.06896660809,867.27604690821,813.58880706376,834.59849107959,327074.0004826,841.75689013808,863.0882911305,813.9800694146,1665.3969251896,35.617473839654,839.57813382955,865.78469748259,811.45755504821,345598.8458518
1,1092.7828870242,23.926398222896,843.0689665955,867.27604688781,813.58880705277,834.5984910768,327074.00043216,841.7568901373,863.08829112871,813.9800694125,1665.3969251832,35.617473839658,839.57813382553,865.78469747164,811.45755504799,345598.83868756
1,1092.7828870209,23.926398223082,843.06896658885,867.27604687737,813.58880704641,834.59849107532,327074.00040563,841.75689013688,863.08829112779,813.98006941129,1665.39692518,35.61747383966,839.57813382341,865.78469746603,811.45755504786,345598.83490987
1,1092.7828870192,23.926398223191,843.06896658533,867.27604687205,813.58880704273,834.59849107453,327074.00039171,841.75689013667,863.08829112732,813.98006941058,1665.3969251784,35.617473839662,839.57813382229,865.78469746317,811.45755504778,345598.8329179
