time,fuel_temp_avg,fuel_temp_max,fuel_temp_min,integrated_power,mod_temp_avg,mod_temp_max,mod_temp_min,power_scaling,scaled_power_avg
0,842.40738936222,862.25002279184,820.18616161229,345600,841.22741467945,859.26280466756,821.80204413355,1.277408863022e+15,2182696.3624031
1,842.40873804707,862.25116188976,820.18762375484,345597.84153949,841.22839285028,859.26351633056,821.80335937452,1.277408863022e+15,2182682.7302738
2,842.41236349847,862.25447224204,820.19121999729,345593.71119616,841.23130374666,859.26608288178,821.80757654976,1.277408863022e+15,2182656.6443786
3,842.41770300588,862.26031872135,820.19585266967,345585.61798957,841.23599748843,859.27160081809,821.81362484599,1.277408863022e+15,2182605.5303376
4,842.42364768391,862.26869338984,820.20007305421,345574.17181628,841.24163588172,859.28088800791,821.81961494226,1.277408863022e+15,2182533.2400575
5,842.42932815842,862.27961412981,820.20314483319,345560.63597426,841.24737967867,859.29446679755,821.82449396038,1.277408863022e+15,2182447.7521144
