time,H_in,H_out,Tout,Tout_weighted,avg_Hw_outer,avg_T,avg_Twall,delta_H,max_T,mdot_in,mdot_out,min_Twall
0,2611273.1359206,2611273.1359206,500,2.5,0,500,510,-2.887099981308e-11,500,0.00034050956708257,0.00034050956708257,510
0.01,2484468.1015569,2543770.7913404,487.07496380007,2.4353748190004,387.74534491894,487.59968782161,510,3676.7667665795,487.91112300018,0.031726072851525,0.71718279732149,510
0.03,2397333.890655,2548459.0000225,488.01534207657,2.4400767103829,172.87985806287,485.60986751828,510,9369.7567807823,488.01534207657,0.029598013203189,-0.32596472252813,510
0.07,2362632.7216804,2552947.5245406,488.88909485866,2.4444454742933,46.788605169321,487.49314316884,510,11799.517777333,488.88909485866,0.030656385302578,-0.047727465728627,510
0.15,2354674.4046584,2556623.6587734,489.59720929484,2.4479860464742,70.582187226594,486.94932386481,510,12520.853755131,489.59720929484,0.031286452905126,0.05063869925835,510
0.31,2365126.8011033,2559714.9654266,490.19281695786,2.4509640847893,50.940502864639,486.54495573842,510,12064.466188048,490.19281695786,0.031027673783709,0.027605172651948,510
0.63,2368563.7999311,2563180.9297843,490.86041197256,2.4543020598628,52.826243362833,485.55214101842,510,12066.2620509,490.86041197256,0.030992960878855,0.029620996329449,510
1.27,2368197.7095914,2569319.7114711,492.04283951584,2.4602141975792,53.053414769598,483.38228351545,510,12469.564116541,492.04283951584,0.030998073168835,0.029694973463644,510
2.55,2368040.0915807,2579770.4975765,494.05578809231,2.4702789404616,53.327469431525,478.98600802248,510,13127.285171736,494.05578809231,0.031000032752517,0.02974429794843,510
5.11,2368041.6931944,2577336.0980125,493.58689621735,2.4679344810868,53.675988345429,471.48352073247,510,12976.25309872,493.58689621735,0.031000016100444,0.030093800735662,510
10.23,2368043.3261959,2517599.9460121,482.08053637275,2.4104026818637,53.830656922701,465.83325596687,510,9272.5104286068,482.08053637275,0.030999994682023,0.031053347812393,510
20.47,2368043.332565,2489055.6254777,476.58243035991,2.3829121517995,53.746502811347,467.18286868192,510,7502.7621605887,476.58243035991,0.030999994601543,0.031346908210569,510
40.95,2368043.3283056,2510184.3755502,480.65214853348,2.4032607426674,53.699942067509,468.75253306326,510,8812.7449291602,480.65214853348,0.030999994657994,0.031014532614536,510
50,2368043.3283141,2512816.9678127,481.15923731735,2.4057961865868,53.705981885093,468.63685791001,510,8975.9656489107,481.15923731735,0.03099999465585,0.030987324114626,510
