time,H_in,H_out,Tout,Tout_weighted,avg_Hw_outer,avg_T,avg_Twall,delta_H,max_T,mdot_in,mdot_out,min_Twall
0,2368668.1115704,3093082.4582304,592.91666666667,2.9645833333333,0,523.15,500,44913.68949292,592.91666666667,0.38590604456479,0.29574690982955,500
0.01,2365497.9879611,3089845.2966807,592.30464495697,2.9615232247849,73.291575060797,522.30745543739,500,44909.533140616,592.30464495697,0.031689320647842,0.041600770286746,500
0.03,2371304.4515553,3086810.7516598,591.72034243696,2.9586017121848,23.518976599525,522.6273642037,500,44361.390606477,591.72034243696,0.030303721221896,-0.012531460370496,500
0.07,2368199.6326753,3078682.1428729,590.15454228794,2.9507727114397,66.071871888537,521.32224435125,500,44049.915632253,590.15454228794,0.031113838315188,0.035188939700543,500
0.15,2367589.0079426,3064046.3453799,587.33552970335,2.9366776485168,51.373562882225,519.14282804641,500,43180.354921117,587.33552970335,0.03099648711835,0.022767979942562,500
0.31,2367890.8336824,3035748.1439724,581.88456931513,2.9094228465756,51.93862508972,515.176848103,500,41407.153237984,581.88456931513,0.030998269337256,0.023378575033835,500
0.63,2367942.1491335,2981774.3183989,571.48763660477,2.8574381830238,52.630399232526,507.86221867199,500,38057.594494458,571.48763660477,0.031000135784765,0.024407953474954,500
1.27,2367937.6550035,2884563.7854231,552.76376275143,2.7638188137572,53.072811739395,495.58465738724,500,32030.820086013,552.76376275143,0.030999948817186,0.025634791387296,500
2.55,2367934.814956,2727048.6223862,522.42367650668,2.6121183825334,53.696777381306,478.63183616767,500,22265.056060676,522.42367650668,0.030999995525398,0.027774174627005,500
5.11,2367934.7997914,2531096.4050889,484.68025384824,2.4234012692412,54.168906997638,463.9524787443,500,10116.019528443,484.68025384824,0.030999995865819,0.030551814848387,500
10.23,2367934.8292779,2424180.6638925,464.08754477023,2.3204377238511,54.20119957162,461.24650432531,500,3487.241746106,464.08754477023,0.03099999547927,0.032017838010528,500
20.47,2367934.8293091,2460103.3040547,471.00620189836,2.3550310094918,54.064713806265,465.18944811967,500,5714.4454342284,471.060923783,0.030999995478117,0.03137261739445,500
40.95,2367934.8292828,2491179.8016976,476.99157181108,2.3849578590554,54.039101523969,466.23778035248,500,7641.1882897204,476.99157181108,0.030999995473914,0.030936074030075,500
81.91,2367934.829312,2488203.0999597,476.41822754793,2.3820911377396,54.048018109376,465.96441798971,500,7456.632780157,476.41822754793,0.030999995473761,0.030985154081901,500
163.83,2367934.8293065,2486884.8572503,476.16432165319,2.3808216082659,54.048876588956,465.92840324783,500,7374.9017325131,476.16432165319,0.030999995475719,0.031003119365438,500
327.67,2367934.8293065,2486968.5795417,476.18044732147,2.3809022366074,54.048737828205,465.93309854351,500,7380.0925145788,476.18044732147,0.03099999547281,0.03100187315117,500
