time,H_in,H_out,Tout,Tout_weighted,avg_Hw_inner,avg_Hw_outer,avg_T,avg_Twall,avg_Twall1,avg_Twall2,delta_H,max_T,max_Twall1,max_Twall2,mdot_in,mdot_out,min_Twall1,min_Twall2
0,2368802.711461,3092947.851778,592.89074074074,18.868095271372,0,0,523.15,500,600,500,285759.51373618,592.89074074074,600,500,0.042876021253106,0.032862194697363,600,500
0.01,2371411.8607311,3081920.7165014,590.7776194898,18.800847513323,595.39785785712,439.97459385774,524.30698715925,500,600,500,280378.41287075,590.7776194898,600,500,0.011965103680939,0.009202563700137,600,500
0.03,2370787.4658588,3058640.2733028,586.29300104374,18.658129467178,674.20773485987,496.17351636717,525.39950950972,500,600,500,271437.96572497,586.29300104374,600,500,0.011917889008368,0.010913428621934,600,500
0.07,2368259.771998,3013013.9350525,577.5040367234,18.378430351072,672.47110037899,496.47606874973,525.10132354959,500,600,500,254430.53589112,577.5040367234,600,500,0.011974238767258,0.011332488593239,600,500
0.15,2368965.9396581,2935112.4112337,562.4988503046,17.900906808436,635.95793201978,470.2808439172,522.68461832715,500,600,500,223410.65542479,562.4988503046,600,500,0.011958606453854,0.010627831751868,600,500
0.31,2369282.1534414,2815257.7653727,539.412481422,17.166208528272,646.8747121648,477.95865401991,518.38851694024,500,600,500,175989.26915105,543.75472104079,600,500,0.011957454343879,0.011427692390042,600,500
0.63,2369235.0150581,2712446.3932592,519.60984039576,16.536011272972,656.7799532903,484.99000864064,516.17994712447,500,600,500,135436.82209969,543.25618989661,600,500,0.011958015017683,0.012213862755393,600,500
1.27,2369224.1724055,2719980.1217747,521.06099873703,16.582192789996,656.65399141683,484.86143819022,517.00140151139,500,600,500,138414.03325295,543.06010620377,600,500,0.011958074215872,0.012160573573713,600,500
2.55,2369225.613982,2750732.853845,526.98435889611,16.770697207637,654.71236920306,483.48669403488,517.59010947182,500,600,500,150548.99533314,543.03208805729,600,500,0.011958055318109,0.0119554579047,600,500
5.11,2369226.014904,2750575.7106322,526.95409297843,16.769734028119,654.60538129544,483.41639339341,517.54111830154,500,600,500,150486.8258413,543.04151103364,600,500,0.011958050744664,0.011954755313601,600,500
10.23,2369225.9449479,2748985.6987225,526.64785076721,16.759988206805,654.70785141998,483.48836390097,517.51524341267,500,600,500,149859.40874738,543.04159658659,600,500,0.011958051788306,0.011965065707136,600,500
20.47,2369225.9376012,2749027.681587,526.65593682699,16.760245536758,654.7093702215,483.48934563222,517.51635542135,500,600,500,149875.97877132,543.04146245063,600,500,0.011958051876261,0.011964888572963,600,500
